 ,Area,Mean,Min,Max
1,63,0.000,0,0
2,13,0.000,0,0
3,26,0.000,0,0
4,74,0.000,0,0
5,26,0.000,0,0
6,46,0.000,0,0
7,71,0.000,0,0
8,42,0.000,0,0
9,31,0.000,0,0
10,11,0.000,0,0
11,31,0.000,0,0
12,32,0.000,0,0
13,50,0.000,0,0
14,34,0.000,0,0
15,99,0.000,0,0
16,21,12.143,0,255
17,44,0.000,0,0
18,33,0.000,0,0
19,32,0.000,0,0
20,15,0.000,0,0
21,47,0.000,0,0
22,112,13.661,0,255
23,52,0.000,0,0
24,16,0.000,0,0
25,18,0.000,0,0
26,28,0.000,0,0
27,31,0.000,0,0
28,36,0.000,0,0
29,32,0.000,0,0
30,44,0.000,0,0
31,38,0.000,0,0
32,25,0.000,0,0
33,27,0.000,0,0
34,20,0.000,0,0
35,14,0.000,0,0
36,35,0.000,0,0
37,10,0.000,0,0
38,54,0.000,0,0
39,38,0.000,0,0
40,54,0.000,0,0
41,41,0.000,0,0
42,58,0.000,0,0
43,20,0.000,0,0
44,34,0.000,0,0
45,65,0.000,0,0
46,63,0.000,0,0
47,56,0.000,0,0
48,33,0.000,0,0
49,185,0.000,0,0
50,63,0.000,0,0
51,50,0.000,0,0
52,26,0.000,0,0
53,25,0.000,0,0
54,72,0.000,0,0
55,40,0.000,0,0
56,38,0.000,0,0
57,19,0.000,0,0
58,63,0.000,0,0
59,11,0.000,0,0
60,36,0.000,0,0
61,15,0.000,0,0
62,66,0.000,0,0
63,72,0.000,0,0
64,14,0.000,0,0
65,26,0.000,0,0
66,45,0.000,0,0
67,13,0.000,0,0
68,44,0.000,0,0
69,93,0.000,0,0
70,69,0.000,0,0
71,54,0.000,0,0
72,38,0.000,0,0
73,65,0.000,0,0
74,16,0.000,0,0
75,120,0.000,0,0
76,31,0.000,0,0
77,21,0.000,0,0
78,11,0.000,0,0
79,56,0.000,0,0
80,34,0.000,0,0
81,42,0.000,0,0
82,62,0.000,0,0
83,100,0.000,0,0
84,60,0.000,0,0
85,37,0.000,0,0
86,72,0.000,0,0
87,39,0.000,0,0
88,68,3.750,0,255
89,40,0.000,0,0
90,75,0.000,0,0
91,43,0.000,0,0
92,47,0.000,0,0
93,40,0.000,0,0
94,27,0.000,0,0
95,92,0.000,0,0
96,11,0.000,0,0
97,42,0.000,0,0
98,40,0.000,0,0
99,29,0.000,0,0
100,70,7.286,0,255
101,32,0.000,0,0
102,63,0.000,0,0
103,76,0.000,0,0
104,39,0.000,0,0
105,29,0.000,0,0
106,28,0.000,0,0
107,14,0.000,0,0
108,37,0.000,0,0
109,18,0.000,0,0
110,48,0.000,0,0
111,34,0.000,0,0
112,50,0.000,0,0
113,43,0.000,0,0
114,21,0.000,0,0
115,20,0.000,0,0
116,54,0.000,0,0
117,11,0.000,0,0
118,47,0.000,0,0
119,33,0.000,0,0
120,58,0.000,0,0
121,40,0.000,0,0
122,38,0.000,0,0
123,17,0.000,0,0
124,42,0.000,0,0
125,33,7.727,0,255
126,118,0.000,0,0
127,31,0.000,0,0
128,23,0.000,0,0
129,70,0.000,0,0
130,55,0.000,0,0
131,25,0.000,0,0
132,18,0.000,0,0
133,36,7.083,0,255
134,15,0.000,0,0
135,22,0.000,0,0
136,48,0.000,0,0
137,44,0.000,0,0
138,77,0.000,0,0
139,25,0.000,0,0
140,49,0.000,0,0
141,44,0.000,0,0
142,42,0.000,0,0
143,30,0.000,0,0
144,35,0.000,0,0
145,69,0.000,0,0
146,50,0.000,0,0
147,54,0.000,0,0
148,24,0.000,0,0
149,43,0.000,0,0
150,44,0.000,0,0
151,17,0.000,0,0
152,12,0.000,0,0
153,54,0.000,0,0
154,21,0.000,0,0
155,19,0.000,0,0
156,59,0.000,0,0
157,27,0.000,0,0
158,31,8.226,0,255
159,30,0.000,0,0
160,84,0.000,0,0
161,68,0.000,0,0
162,11,0.000,0,0
163,47,0.000,0,0
164,27,0.000,0,0
165,13,0.000,0,0
166,12,0.000,0,0
167,31,0.000,0,0
168,66,11.591,0,255
169,55,0.000,0,0
170,16,0.000,0,0
171,41,0.000,0,0
172,28,0.000,0,0
173,33,0.000,0,0
174,41,0.000,0,0
175,40,0.000,0,0
176,12,0.000,0,0
177,23,0.000,0,0
178,47,0.000,0,0
179,40,0.000,0,0
180,17,0.000,0,0
181,36,0.000,0,0
182,20,0.000,0,0
183,59,0.000,0,0
184,92,0.000,0,0
185,50,0.000,0,0
186,10,0.000,0,0
187,59,0.000,0,0
188,37,0.000,0,0
189,67,0.000,0,0
190,13,0.000,0,0
191,12,0.000,0,0
192,64,0.000,0,0
193,52,0.000,0,0
194,16,0.000,0,0
195,12,0.000,0,0
196,78,0.000,0,0
197,50,0.000,0,0
198,51,0.000,0,0
199,62,0.000,0,0
200,75,0.000,0,0
201,35,0.000,0,0
202,18,0.000,0,0
203,30,0.000,0,0
204,59,0.000,0,0
205,37,0.000,0,0
206,47,0.000,0,0
207,42,0.000,0,0
208,25,0.000,0,0
209,52,0.000,0,0
210,43,0.000,0,0
211,45,0.000,0,0
212,50,5.100,0,255
213,22,0.000,0,0
214,41,0.000,0,0
215,11,0.000,0,0
216,39,0.000,0,0
217,19,0.000,0,0
218,62,0.000,0,0
219,128,1.992,0,255
220,26,0.000,0,0
221,38,0.000,0,0
222,144,0.000,0,0
223,45,0.000,0,0
224,36,0.000,0,0
225,29,0.000,0,0
226,30,0.000,0,0
227,35,0.000,0,0
228,48,0.000,0,0
229,77,0.000,0,0
230,10,0.000,0,0
231,60,0.000,0,0
232,14,0.000,0,0
233,34,0.000,0,0
234,57,0.000,0,0
235,82,0.000,0,0
236,16,0.000,0,0
237,75,0.000,0,0
238,13,0.000,0,0
239,16,0.000,0,0
240,32,0.000,0,0
241,32,0.000,0,0
242,29,0.000,0,0
243,56,0.000,0,0
244,25,0.000,0,0
245,33,0.000,0,0
246,80,0.000,0,0
247,36,0.000,0,0
248,43,0.000,0,0
249,23,0.000,0,0
250,22,0.000,0,0
251,17,0.000,0,0
252,48,0.000,0,0
253,18,0.000,0,0
254,66,0.000,0,0
255,53,0.000,0,0
256,51,0.000,0,0
257,70,0.000,0,0
258,107,0.000,0,0
259,61,4.180,0,255
260,22,0.000,0,0
261,52,0.000,0,0
262,53,0.000,0,0
263,33,0.000,0,0
264,67,0.000,0,0
265,45,0.000,0,0
266,31,0.000,0,0
267,18,0.000,0,0
268,55,0.000,0,0
269,52,0.000,0,0
270,61,0.000,0,0
271,61,0.000,0,0
272,56,0.000,0,0
273,39,0.000,0,0
274,35,0.000,0,0
275,54,0.000,0,0
276,22,0.000,0,0
277,39,0.000,0,0
278,48,0.000,0,0
279,37,0.000,0,0
280,10,0.000,0,0
281,69,0.000,0,0
282,18,0.000,0,0
283,33,0.000,0,0
284,54,0.000,0,0
285,50,0.000,0,0
286,30,0.000,0,0
287,39,6.538,0,255
288,42,0.000,0,0
289,42,0.000,0,0
290,62,0.000,0,0
291,49,0.000,0,0
292,32,0.000,0,0
293,55,0.000,0,0
294,17,0.000,0,0
295,44,0.000,0,0
296,29,0.000,0,0
297,42,0.000,0,0
298,13,0.000,0,0
299,31,0.000,0,0
300,64,0.000,0,0
301,32,0.000,0,0
302,92,0.000,0,0
303,38,0.000,0,0
304,21,0.000,0,0
305,33,0.000,0,0
306,49,0.000,0,0
307,23,11.087,0,255
308,49,0.000,0,0
309,49,0.000,0,0
310,16,0.000,0,0
311,59,0.000,0,0
312,35,0.000,0,0
313,26,0.000,0,0
314,11,0.000,0,0
315,21,0.000,0,0
316,41,0.000,0,0
317,23,0.000,0,0
318,48,0.000,0,0
319,30,0.000,0,0
320,25,0.000,0,0
321,81,12.593,0,255
322,49,0.000,0,0
323,13,0.000,0,0
324,106,0.000,0,0
325,55,0.000,0,0
326,17,45.000,0,255
327,20,0.000,0,0
328,39,0.000,0,0
329,30,0.000,0,0
330,70,0.000,0,0
331,40,0.000,0,0
332,46,5.543,0,255
333,39,0.000,0,0
334,62,0.000,0,0
335,72,0.000,0,0
336,24,0.000,0,0
337,33,0.000,0,0
338,39,0.000,0,0
339,11,0.000,0,0
340,45,0.000,0,0
341,60,0.000,0,0
342,49,0.000,0,0
343,28,0.000,0,0
344,23,0.000,0,0
345,66,0.000,0,0
346,13,0.000,0,0
347,12,0.000,0,0
348,73,0.000,0,0
349,99,0.000,0,0
350,49,0.000,0,0
351,33,0.000,0,0
352,44,0.000,0,0
353,51,0.000,0,0
354,41,0.000,0,0
355,45,0.000,0,0
356,33,0.000,0,0
357,18,0.000,0,0
358,35,0.000,0,0
359,65,0.000,0,0
360,49,0.000,0,0
361,27,0.000,0,0
362,98,0.000,0,0
363,14,0.000,0,0
364,60,0.000,0,0
365,78,0.000,0,0
366,19,0.000,0,0
367,22,0.000,0,0
368,82,0.000,0,0
369,101,0.000,0,0
370,66,0.000,0,0
371,14,0.000,0,0
372,38,0.000,0,0
373,86,0.000,0,0
374,71,0.000,0,0
375,93,0.000,0,0
376,33,0.000,0,0
377,56,0.000,0,0
378,116,0.000,0,0
379,53,0.000,0,0
380,62,0.000,0,0
381,48,0.000,0,0
382,26,0.000,0,0
383,50,0.000,0,0
384,11,0.000,0,0
385,41,0.000,0,0
386,14,0.000,0,0
387,28,0.000,0,0
388,15,0.000,0,0
389,24,0.000,0,0
390,19,0.000,0,0
391,34,0.000,0,0
392,31,0.000,0,0
393,25,0.000,0,0
394,30,0.000,0,0
395,31,0.000,0,0
396,16,0.000,0,0
397,39,0.000,0,0
398,46,0.000,0,0
399,96,0.000,0,0
400,46,0.000,0,0
401,31,0.000,0,0
402,40,0.000,0,0
403,27,0.000,0,0
404,59,0.000,0,0
405,55,0.000,0,0
406,33,0.000,0,0
407,35,0.000,0,0
408,37,0.000,0,0
409,41,0.000,0,0
410,100,0.000,0,0
411,17,0.000,0,0
412,74,0.000,0,0
413,58,0.000,0,0
414,30,0.000,0,0
415,31,0.000,0,0
416,25,0.000,0,0
417,51,0.000,0,0
418,36,0.000,0,0
419,43,0.000,0,0
420,64,0.000,0,0
421,56,0.000,0,0
422,18,0.000,0,0
423,43,0.000,0,0
424,30,0.000,0,0
425,17,0.000,0,0
426,51,0.000,0,0
427,66,0.000,0,0
428,25,0.000,0,0
429,57,0.000,0,0
430,62,0.000,0,0
431,20,0.000,0,0
432,78,0.000,0,0
433,21,0.000,0,0
434,18,0.000,0,0
435,11,0.000,0,0
