Square_number,Circle_number,Center_x,Center_y,Diameter_nm
1,6,382,30,
1,11,333,50,
1,12,75,30,
1,13,36,30,
1,13,266,60,
1,15,92,20,
1,15,200,40,
1,19,115,40,
1,38,396,20,
1,39,116,50,
1,40,202,50,
1,41,268,50,
1,41,327,60,
1,43,69,50,
1,44,35,30,
1,44,164,40,
1,64,368,20,
1,68,350,70,
1,70,268,40,
1,70,308,40,
1,75,93,50,
1,76,162,50,
1,87,47,140,
1,93,302,40,
1,96,339,40,
1,97,39,20,
1,98,200,30,
1,102,45,20,
1,102,79,40,
1,120,363,30,
1,122,333,30,
1,125,225,50,
1,132,51,60,
1,133,143,30,
1,153,376,30,
1,155,278,40,
1,156,240,20,
1,158,6,40,
1,158,136,40,
1,159,164,30,
1,159,362,50,
1,161,84,40,
1,161,206,30,
1,180,386,20,
1,181,346,20,
1,181,370,20,
1,182,165,30,
1,183,274,10,
1,192,91,30,
1,212,394,30,
1,216,204,40,
1,216,278,90,
1,216,364,60,
1,219,42,50,
1,219,112,40,
1,221,89,20,
1,222,151,30,
1,224,79,40,
1,240,396,10,
1,241,251,30,
1,242,341,40,
1,243,226,80,
1,243,300,10,
1,244,183,20,
1,247,165,10,
1,248,73,40,
1,248,140,30,
1,248,380,10,
1,250,40,30,
1,250,98,30,
1,271,374,30,
1,271,386,30,
1,272,235,20,
1,274,305,20,
1,276,94,20,
1,276,326,30,
1,278,128,30,
1,279,74,40,
1,280,52,30,
1,280,187,30,
1,281,259,30,
1,294,57,30,
1,297,392,20,
1,302,144,30,
1,302,315,30,
1,302,341,20,
1,304,208,30,
1,305,109,60,
1,307,250,80,
1,309,12,30,
1,315,64,20,
1,327,302,40,
1,329,386,40,
1,330,330,20,
1,331,258,40,
1,332,3,30,
1,335,58,50,
1,336,156,30,
1,337,127,20,
1,337,205,20,
1,338,26,60,
1,342,86,20,
1,359,382,50,
1,360,262,20,
1,361,341,40,
1,362,194,30,
1,365,211,20,
1,365,363,30,
1,366,70,20,
1,366,128,30,
1,369,6,20,
1,378,93,20,
1,381,258,30,
1,384,302,30,
1,387,391,50,
1,391,318,20,
1,393,327,30,
1,393,341,20,
1,394,262,40,
1,396,291,30,
1,397,106,30,
2,419,328,50,
2,421,215,20,
2,421,281,40,
2,421,349,60,
2,421,377,30,
2,424,189,60,
2,424,239,30,
2,426,141,40,
