Square_number,Circle_number,Center_x,Center_y,Diameter_nm
1,22,334,30,
1,25,254,30,
1,26,97,30,
1,27,363,20,
1,31,386,30,
1,37,339,20,
1,42,366,10,
1,46,168,20,
1,48,96,30,
1,48,332,20,
1,49,24,20,
1,50,202,30,
1,53,390,20,
1,57,345,40,
1,59,264,30,
1,63,240,30,
1,67,151,30,
1,68,212,30,
1,72,41,50,
1,77,319,50,
1,83,391,40,
1,86,127,50,
1,87,233,20,
1,91,210,60,
1,91,298,50,
1,99,30,30,
1,100,239,20,
1,104,249,20,
1,105,336,20,
1,107,395,20,
1,111,99,50,
1,112,171,40,
1,112,376,10,
1,113,356,50,
1,118,90,10,
1,118,267,20,
1,129,255,30,
1,130,9,30,
1,132,204,60,
1,133,18,20,
1,134,169,40,
1,135,95,70,
1,140,191,20,
1,159,39,50,
1,160,301,30,
1,164,382,40,
1,165,127,50,
1,165,213,50,
1,168,149,60,
1,172,386,20,
1,174,302,50,
1,176,219,20,
1,186,70,40,
1,187,211,20,
1,189,198,30,
1,191,243,40,
1,195,85,20,
1,195,367,50,
1,196,65,20,
1,199,191,50,
1,203,170,60,
1,225,74,40,
1,244,147,40,
1,252,62,40,
1,254,288,50,
1,254,385,60,
1,261,324,20,
1,262,298,30,
1,271,157,40,
1,272,76,30,
1,274,281,30,
1,277,114,30,
1,278,15,80,
1,280,371,30,
1,281,93,40,
1,283,173,30,
1,287,191,40,
1,295,327,40,
1,303,278,40,
1,304,164,30,
1,304,175,40,
1,306,97,30,
1,307,26,80,
1,309,113,50,
1,309,199,30,
1,310,70,40,
1,310,333,30,
1,311,366,30,
1,320,37,30,
1,323,60,30,
1,327,210,20,
1,331,321,40,
1,332,124,40,
1,335,62,20,
1,336,235,60,
1,339,299,20,
1,339,385,40,
1,340,151,50,
1,341,39,40,
1,354,331,20,
1,358,26,30,
1,359,201,40,
1,364,73,50,
1,364,363,60,
1,365,162,30,
1,367,253,50,
1,368,92,40,
1,374,270,40,
1,375,19,30,
1,382,187,80,
1,384,65,30,
1,385,95,40,
1,386,352,60,
1,393,250,50,
1,397,293,40,
2,416,320,30,
2,420,231,30,
2,421,254,20,
2,424,41,50,
2,426,213,40,
2,426,299,40,
2,436,119,50,
2,443,204,20,
2,451,59,10,
2,452,187,20,
2,453,16,40,
2,455,172,40,
2,462,269,20,
2,465,78,20,
2,465,344,20,
2,470,185,30,
2,474,275,40,
2,475,168,30,
2,481,252,70,
2,482,110,60,
2,486,332,50,
2,487,74,60,
2,492,380,20,
2,497,319,40,
2,499,35,20,
2,499,209,30,
2,504,57,10,
2,508,227,30,
2,508,321,50,
2,521,302,10,
2,522,121,60,
2,525,208,20,
2,537,337,50,
2,538,175,40,
2,540,358,20,
2,541,8,40,
2,546,285,10,
2,548,371,0,
2,549,278,20,
2,551,200,20,
2,556,83,60,
2,565,85,20,
2,567,376,10,
2,569,328,30,
2,570,204,40,
2,571,241,30,
2,589,126,20,
2,595,38,40,
2,597,231,60,
2,617,337,40,
2,617,365,20,
2,624,24,20,
2,627,347,40,
2,628,169,10,
2,629,94,40,
2,629,366,10,
2,630,265,40,
2,632,37,10,
2,636,195,20,
2,644,393,20,
2,645,15,20,
2,645,355,40,
2,647,286,70,
2,649,26,30,
2,650,110,40,
2,653,77,50,
2,655,207,20,
2,661,52,10,
2,669,183,40,
2,681,209,60,
2,683,61,30,
2,683,127,30,
2,685,233,40,
2,687,35,50,
2,701,155,60,
2,707,245,30,
2,712,165,20,
2,717,179,20,
2,719,346,40,
2,727,243,10,
2,733,29,30,
2,737,372,20,
2,739,393,10,
2,742,157,40,
2,752,68,30,
2,764,145,30,
2,765,127,30,
2,766,37,40,
2,784,298,30,
2,787,26,40,
3,817,334,50,
3,820,194,50,
3,826,370,40,
3,833,66,20,
3,836,57,20,
3,845,305,30,
3,850,204,40,
3,852,38,40,
3,854,155,50,
3,857,305,40,
3,860,347,30,
3,861,58,40,
3,870,266,40,
3,879,225,40,
3,885,247,50,
3,885,325,20,
3,889,99,30,
3,890,365,50,
3,900,252,30,
3,901,212,30,
3,901,281,50,
3,905,191,30,
3,907,160,40,
3,912,374,30,
3,926,121,30,
3,933,41,40,
3,941,144,30,
3,943,391,30,
3,948,309,20,
3,961,239,40,
3,961,380,40,
3,962,288,30,
3,964,85,50,
3,987,78,30,
3,993,187,60,
3,998,240,30,
3,999,219,50,
3,1009,169,30,
3,1013,300,20,
3,1014,228,30,
3,1015,372,60,
3,1016,58,60,
3,1022,124,30,
3,1023,316,70,
3,1029,386,20,
3,1030,63,50,
3,1051,238,10,
3,1052,184,50,
3,1060,369,30,
3,1068,206,20,
3,1070,251,20,
3,1073,277,30,
3,1076,161,40,
3,1081,329,10,
3,1083,246,10,
3,1086,199,40,
3,1090,377,50,
3,1091,158,40,
3,1103,235,50,
3,1105,336,30,
3,1108,57,20,
3,1108,386,60,
3,1111,142,30,
3,1116,183,20,
3,1139,152,30,
3,1139,248,40,
3,1141,170,50,
3,1143,370,60,
3,1145,82,40,
3,1154,239,30,
3,1157,194,30,
3,1159,223,30,
3,1160,109,20,
3,1161,256,60,
3,1162,93,20,
3,1163,274,30,
