Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,120,40,494.00000000000006
1,2,133,100,304.0
1,3,221,43,380.0
1,4,70,70,304.0
1,5,33,101,266.0
1,6,73,137,304.0
1,7,4,192,456.0
1,8,227,416,361.0
1,9,421,234,323.00000000000006
1,10,351,372,304.0
1,11,328,416,323.00000000000006
1,12,154,389,817.0
1,13,316,283,114.0
1,14,409,109,152.0
1,15,425,53,152.0
1,16,382,82,95.0
1,17,388,69,38.0
1,18,316,371,76.0
1,19,276,283,285.0
1,20,16,327,475.0
1,21,126,146,456.0
1,22,144,271,304.0
1,23,231,271,304.0
1,24,236,308,380.0
1,25,207,341,285.0
2,26,579,75,323.00000000000006
2,27,601,47,285.0
2,28,686,107,266.0
2,29,724,62,190.0
2,30,752,56,114.0
2,31,816,77,228.0
2,32,872,47,266.0
2,33,612,152,247.00000000000003
2,34,737,159,247.00000000000003
2,35,759,190,228.0
2,36,877,120,247.00000000000003
2,37,877,158,247.00000000000003
2,38,811,183,190.0
2,39,833,261,247.00000000000003
2,40,851,285,209.00000000000003
2,41,754,277,247.00000000000003
2,42,788,263,228.0
2,43,833,407,285.0
2,44,519,397,323.00000000000006
2,45,470,429,323.00000000000006
2,46,514,349,285.0
2,47,792,118,228.0
2,48,462,181,247.00000000000003
2,49,736,304,304.0
2,50,829,359,247.00000000000003
2,51,805,333,209.00000000000003
2,52,607,379,266.0
2,53,854,226,190.0
2,54,788,21,285.0
2,55,514,163,285.0
2,56,570,197,247.00000000000003
2,57,659,170,247.00000000000003
2,58,701,192,285.0
2,59,756,229,247.00000000000003
2,60,802,221,266.0
3,61,932,24,95.0
3,62,906,54,95.0
3,63,948,45,247.00000000000003
3,64,1009,80,247.00000000000003
3,65,1042,42,228.0
3,66,1065,75,285.0
3,67,977,121,228.0
3,68,1034,121,190.0
3,69,977,153,228.0
3,70,965,200,76.0
3,71,998,233,342.0
3,72,958,234,228.0
3,73,932,278,190.0
3,74,900,317,285.0
3,75,962,322,190.0
3,76,968,291,228.0
3,77,1054,235,228.0
3,78,1106,240,247.00000000000003
3,79,1089,159,285.0
3,80,1120,296,285.0
3,81,1129,335,247.00000000000003
3,82,1130,382,209.00000000000003
3,83,1076,402,209.00000000000003
3,84,1171,149,247.00000000000003
3,85,1136,90,152.0
3,86,1172,96,190.0
3,87,1156,61,247.00000000000003
3,88,1128,52,247.00000000000003
3,89,1222,28,228.0
3,90,1271,5,247.00000000000003
3,91,1339,50,171.0
3,92,1243,86,228.0
3,93,1234,52,190.0
3,94,1290,122,228.0
3,95,1268,168,209.00000000000003
3,96,1252,197,57.0
3,97,1270,216,228.0
3,98,1329,236,209.00000000000003
3,99,1339,209,190.0
3,100,1304,287,209.00000000000003
3,101,1242,314,190.0
3,102,1294,324,228.0
3,103,1289,362,247.00000000000003
3,104,1331,376,228.0
3,105,1278,415,247.00000000000003
3,106,1261,446,171.0
3,107,1220,443,228.0
3,108,1219,395,171.0
3,109,1191,339,133.0
3,110,1175,313,190.0
3,111,1150,218,171.0
3,112,1213,219,133.0
3,113,1149,260,171.0
3,114,1049,443,228.0
3,115,1154,412,190.0
4,116,358,495,418.00000000000006
4,117,424,515,437.0
4,118,165,528,171.0
4,119,145,523,95.0
4,120,95,836,399.00000000000006
4,121,221,810,342.0
4,122,336,878,266.0
4,123,403,772,114.0
4,124,393,784,57.0
4,125,21,865,323.00000000000006
4,126,48,768,361.0
4,127,258,731,76.0
4,128,72,626,76.0
4,129,403,560,342.0
4,130,442,603,323.00000000000006
4,131,398,615,399.00000000000006
4,132,14,807,361.0
5,133,484,651,361.0
5,134,474,558,361.0
5,135,465,513,285.0
5,136,478,478,266.0
5,137,532,486,266.0
5,138,601,591,342.0
5,139,723,495,361.0
5,140,777,559,304.0
5,141,702,601,494.00000000000006
5,142,662,644,342.0
5,143,747,698,304.0
5,144,576,747,361.0
5,145,540,704,285.0
5,146,711,760,247.00000000000003
5,147,818,729,266.0
5,148,876,727,361.0
5,149,837,598,418.00000000000006
5,150,761,646,437.0
5,151,892,556,266.0
5,152,640,726,266.0
5,153,692,672,304.0
5,154,815,787,304.0
5,155,847,792,247.00000000000003
5,156,858,868,285.0
5,157,879,820,247.00000000000003
5,158,830,821,228.0
5,159,570,841,304.0
5,160,665,883,266.0
5,161,814,675,304.0
5,162,802,469,247.00000000000003
5,163,846,485,190.0
5,164,521,810,380.0
5,165,522,778,304.0
