Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,243,15,342.0
1,2,296,180,152.0
1,3,312,163,76.0
1,4,298,159,38.0
1,5,280,230,76.0
1,6,393,400,76.0
1,7,66,383,95.0
1,8,64,428,95.0
1,9,131,327,114.0
2,10,502,57,228.0
2,11,461,86,171.0
2,12,527,126,171.0
2,13,617,172,228.0
2,14,640,319,152.0
2,15,684,315,95.0
2,16,691,228,76.0
2,17,840,311,95.0
2,18,878,38,152.0
2,19,739,16,152.0
2,20,891,245,76.0
2,21,474,261,133.0
2,22,713,417,95.0
2,23,784,366,76.0
2,24,770,367,76.0
2,25,881,25,57.0
3,26,1069,194,228.0
3,27,924,445,133.0
3,28,1226,358,152.0
3,29,1341,226,190.0
4,30,19,811,285.0
4,31,51,715,152.0
4,32,128,864,171.0
4,33,3,685,190.0
4,34,237,788,133.0
4,35,360,723,95.0
4,36,106,738,76.0
4,37,113,684,57.0
4,38,109,629,38.0
4,39,22,687,76.0
5,40,526,817,57.0
5,41,477,871,95.0
5,42,851,603,76.0
5,43,490,511,38.0
5,44,557,521,57.0
5,45,546,528,57.0
5,46,581,519,38.0
5,47,597,724,57.0
