 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,300,355.000,7.917,33.541,68,0,153.435,15.000
2,25,857.500,2.500,7.071,171,0,135.000,5.000
3,350,1070.000,6.071,31.623,211,0,161.565,15.000
4,125,1208.500,4.500,18.028,240,0,146.310,10.000
5,50,1755.000,2.500,11.180,350,0,153.435,5.000
6,75,1969.167,4.167,14.142,393,2,45.000,10.000
7,300,2184.583,6.667,29.155,434,0,149.036,15.000
8,1600,2689.297,15.938,62.650,532,0,151.390,35.000
9,1200,3073.750,15.938,72.111,609,0,146.310,35.777
10,4700,3463.032,28.298,141.156,684,11,22.932,70.000
11,500,4458.500,6.750,41.231,888,2,14.036,15.000
12,325,4659.038,5.962,31.623,929,2,18.435,15.000
13,1125,4877.389,16.389,51.478,971,1,150.945,33.204
14,1225,5078.622,14.031,51.478,1011,0,150.945,30.000
15,750,5187.000,6.333,65.192,1031,0,175.601,15.000
16,3750,5476.267,45.933,99.624,1090,0,107.526,55.000
17,2450,5584.592,24.235,70.711,1111,0,135.000,53.666
18,2125,5845.971,15.382,85.147,1161,0,176.634,40.000
19,225,6039.722,3.056,40.311,1204,0,172.875,10.000
20,150,6089.167,3.333,26.926,1215,0,158.199,10.000
21,25,6107.500,2.500,7.071,1221,0,135.000,5.000
22,1375,6409.773,17.500,50.000,1278,0,143.130,40.000
23,225,6506.389,4.722,30.414,1298,0,170.538,15.000
24,25,6722.500,2.500,7.071,1344,0,135.000,5.000
25,525,7114.405,6.786,41.231,1419,0,165.964,15.000
26,1450,7623.017,13.276,63.246,1518,0,161.565,30.000
27,100,7722.500,3.750,15.811,1543,0,161.565,10.000
28,25,8057.500,2.500,7.071,1611,0,135.000,5.000
29,200,8068.125,8.750,29.155,1611,3,30.964,15.000
30,475,8512.763,14.079,32.016,1701,0,128.660,24.749
31,400,8630.938,12.188,32.016,1724,0,128.660,20.801
32,1150,8785.435,16.848,46.098,1754,0,130.601,35.000
33,75,8960.833,4.167,14.142,1791,0,135.000,10.000
34,1000,9474.250,10.250,53.852,1890,4,21.801,25.000
35,150,11625.000,9.167,25.000,2323,0,126.870,13.868
36,625,11899.500,11.300,35.355,2377,0,135.000,25.000
37,100,11991.250,3.750,18.028,2397,2,33.690,10.000
38,25,12312.500,2.500,7.071,2462,0,135.000,5.000
39,100,1572.500,10.000,18.028,313,1,146.310,10.000
40,25,4842.500,17.500,7.071,968,3,135.000,5.000
41,50,8032.500,20.000,11.180,1606,3,116.565,5.000
42,325,7356.731,32.115,29.155,1469,5,149.036,19.415
43,150,3731.667,31.667,18.028,745,5,123.690,14.142
44,1300,4138.942,47.692,49.244,826,5,113.962,37.593
45,1200,5331.667,48.438,54.083,1063,6,123.690,35.000
46,25,7102.500,27.500,7.071,1420,5,135.000,5.000
47,850,8697.353,45.735,60.208,1735,5,138.366,26.248
48,100,9202.500,31.250,15.811,1839,6,161.565,10.000
49,650,11350.192,41.538,39.051,2267,6,140.194,28.284
50,25,177.500,32.500,7.071,35,6,135.000,5.000
51,100,5270.000,35.000,14.142,1053,6,135.000,10.000
52,1650,6240.076,48.030,72.801,1241,7,164.055,33.234
