Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,355.0,7.917000000000001,75.0
2,1,857.5,2.5,25.0
2,2,1070.0,6.071000000000001,75.0
2,3,1208.5,4.5,50.0
3,1,1755.0,2.5,25.0
3,2,1969.1670000000001,4.167,50.0
3,3,2184.583,6.667000000000001,75.0
3,4,2689.297,15.937999999999999,175.0
3,5,3073.75,15.937999999999999,178.885
3,6,3463.032,28.298000000000002,350.0
3,7,4458.5,6.75,75.0
3,8,4659.038,5.962000000000001,75.0
3,9,4877.389,16.389,166.02
3,10,5078.622,14.030999999999999,150.0
3,11,5187.0,6.332999999999999,75.0
3,12,5476.267,45.933,275.0
3,13,5584.592,24.235,268.33000000000004
3,14,5845.971,15.382,200.0
3,15,6039.722,3.056,50.0
3,16,6089.1669999999995,3.333,50.0
3,17,6107.5,2.5,25.0
3,18,6409.773,17.5,200.0
3,19,6506.389,4.7219999999999995,75.0
3,20,6722.5,2.5,25.0
3,21,7114.405,6.7860000000000005,75.0
3,22,7623.017,13.276,150.0
3,23,7722.5,3.75,50.0
3,24,8057.5,2.5,25.0
3,25,8068.125,8.75,75.0
3,26,8512.763,14.079,123.745
3,27,8630.938,12.187999999999999,104.005
3,28,8785.435,16.848,175.0
3,29,8960.833,4.167,50.0
3,30,9474.25,10.25,125.0
3,31,11625.0,9.167,69.34
3,32,11899.5,11.3,125.0
3,33,11991.25,3.75,50.0
3,34,12312.5,2.5,25.0
2,4,1572.5,10.0,50.0
3,35,4842.5,17.5,25.0
3,36,8032.5,20.0,25.0
3,37,7356.731,32.115,97.07499999999999
3,38,3731.667,31.666999999999998,70.71000000000001
3,39,4138.942,47.692,187.96500000000003
3,40,5331.6669999999995,48.438,175.0
3,41,7102.5,27.5,25.0
3,42,8697.353000000001,45.735,131.24
3,43,9202.5,31.25,50.0
3,44,11350.192,41.538000000000004,141.42000000000002
1,2,177.5,32.5,25.0
3,45,5270.0,35.0,50.0
3,46,6240.076,48.03,166.17000000000002
3,47,7220.0,32.5,25.0
3,48,6301.184,46.711000000000006,100.0
3,49,6631.5,40.5,50.0
3,50,7112.5,37.5,25.0
3,51,9150.0,40.0,50.0
3,52,10390.259,50.948,150.0
3,53,3181.25,43.75,50.0
3,54,3778.627,69.824,247.485
3,55,10824.341999999999,54.07899999999999,125.0
1,3,71.5,52.5,75.0
3,56,3533.6540000000005,67.5,194.45499999999998
1,4,667.206,58.088,75.0
3,57,1881.875,57.5,75.0
3,58,2002.5,52.5,25.0
3,59,2775.0,68.125,175.0
3,60,5171.852,70.46300000000001,200.0
3,61,8589.038,61.731,125.0
3,62,11422.5,58.5,75.0
2,5,1055.0,62.5,50.0
2,6,1264.42,82.411,250.0
3,63,1862.5,60.0,50.0
3,64,2107.5,57.5,25.0
3,65,2118.333,64.167,75.0
3,66,6327.5,57.5,25.0
3,67,10042.5,63.333,67.08
3,68,3292.5,62.5,25.0
3,69,4837.5,62.5,25.0
3,70,6919.375,68.438,100.0
3,71,9947.024,81.31,102.96
3,72,11352.702,89.975,268.33000000000004
3,73,3309.228,93.98100000000001,210.835
3,74,5265.8330000000005,70.833,50.0
3,75,9401.333,83.667,222.95000000000002
1,5,421.048,102.37899999999999,318.2
2,7,1512.28,101.73100000000001,257.15
2,8,1080.9289999999999,94.35700000000001,176.77499999999998
3,76,2969.643,89.10700000000001,150.0
3,77,7873.7,89.9,150.0
3,78,11145.417,87.917,90.95
1,6,514.722,88.056,75.0
1,7,559.1669999999999,89.72200000000001,88.39
3,79,2177.065,94.022,125.0
3,80,5362.5,82.5,25.0
3,81,7070.0,82.5,25.0
2,9,1472.5,90.0,25.0
3,82,1847.0829999999999,95.417,83.20499999999998
3,83,2459.022,100.978,125.0
1,8,80.278,96.389,75.0
2,10,1456.25,95.0,50.0
3,84,2108.0,116.875,125.0
3,85,2484.167,94.167,50.0
3,86,2606.25,96.25,50.0
3,87,2624.167,94.167,50.0
3,88,1753.3139999999999,109.709,115.205
3,89,2592.5,100.0,25.0
3,90,2664.7729999999997,107.273,113.225
3,91,6055.093000000001,109.537,141.42000000000002
3,92,6224.8240000000005,140.528,228.845
3,93,6460.0,103.43799999999999,86.965
3,94,8045.357,103.929,50.0
3,95,10301.731,104.80799999999999,100.0
3,96,12097.5,97.5,25.0
3,97,2553.0879999999997,111.765,125.0
3,98,3975.6079999999997,123.581,245.96500000000003
3,99,7160.1,127.15,267.37
3,100,9167.083,106.25,75.0
3,101,11045.0,107.5,50.0
2,11,1390.2939999999999,116.176,100.0
3,102,5045.0,110.0,50.0
3,103,6516.875,112.5,55.9
3,104,7301.25,108.75,50.0
3,105,1841.297,147.31,221.35999999999999
3,106,3589.0,120.0,70.71000000000001
3,107,3607.5,112.5,25.0
3,108,5779.444,125.27799999999999,106.065
3,109,9534.929,128.5,159.1
3,110,2816.613,138.952,225.0
3,111,4432.5,127.5,75.0
3,112,5083.3,132.9,190.06500000000003
3,113,9239.167,120.833,50.0
1,9,335.0,122.5,25.0
3,114,4336.096,162.325,346.59
3,115,8871.071,127.85700000000001,100.0
3,116,1707.0410000000002,167.683,250.0
3,117,8415.0,129.5,50.0
3,118,8948.5,140.7,141.42000000000002
3,119,9812.778,142.917,167.70499999999998
3,120,10322.5,130.0,25.0
1,10,159.5,137.5,50.0
3,121,3654.5690000000004,147.155,150.0
3,122,12352.25,150.625,166.02
1,11,705.0,140.0,35.355000000000004
2,12,1262.5,140.0,25.0
3,123,2398.306,157.339,225.0
3,124,6665.203,150.878,122.575
3,125,10168.5,142.5,67.08
3,126,3439.69,161.119,225.0
3,127,4699.833,153.167,100.0
3,128,5995.357,149.643,100.0
3,129,8739.107,174.375,275.0
1,12,117.23700000000001,163.816,110.67999999999999
3,130,2118.5,158.5,100.0
3,131,3165.0,147.5,25.0
3,132,4882.093,184.695,281.86
3,133,6733.571,158.214,125.0
3,134,10961.667,150.833,75.0
2,13,1584.297,174.609,200.0
3,135,3210.0,152.5,25.0
3,136,5832.5,155.833,44.72
3,137,11233.409,158.409,100.0
2,14,1280.0,167.5,78.26
3,138,10102.5,157.5,25.0
3,139,12052.5,162.5,25.0
1,13,95.0,165.0,35.355000000000004
2,15,1415.0,165.0,50.0
3,140,5454.464,175.179,150.0
3,141,5607.944,186.05599999999998,150.0
3,142,5757.5,162.5,25.0
3,143,6781.071,166.071,67.08
3,144,7207.115,170.192,97.01499999999999
3,145,7782.5,165.0,25.0
3,146,8334.341999999999,171.447,100.0
3,147,8369.5,168.167,100.0
3,148,5169.465,200.361,350.0
3,149,6877.5,172.5,55.9
3,150,6972.2919999999995,175.625,100.0
3,151,7170.0,172.5,50.0
3,152,7455.5,179.0,134.16500000000002
3,153,9030.222,199.889,247.485
1,14,424.038,181.34599999999998,100.0
3,154,4185.0,172.5,25.0
3,155,6832.5,172.5,25.0
3,156,2081.121,188.87900000000002,150.0
3,157,3345.417,191.905,200.0
3,158,6314.028,198.19400000000002,225.0
3,159,9301.196,187.283,125.0
1,15,89.265,194.118,125.0
3,160,2655.833,193.69,117.875
3,161,2858.929,186.78599999999997,75.0
3,162,4605.357,196.071,73.545
3,163,7032.5,183.75,50.0
3,164,7842.5,190.833,118.585
3,165,11022.5,188.333,100.0
3,166,11385.0,185.0,50.0
1,16,372.5,187.5,25.0
1,17,680.0,192.5,75.0
3,167,2315.242,202.66099999999997,200.0
3,168,7061.786,189.643,50.0
3,169,7096.590999999999,196.136,78.26
3,170,7682.8330000000005,211.36700000000002,225.0
3,171,10764.643,193.929,70.71000000000001
3,172,12427.5,187.5,25.0
3,173,1968.125,207.292,134.16500000000002
3,174,2982.7940000000003,204.55900000000003,123.745
3,175,3650.833,195.833,50.0
3,176,4952.639,216.94400000000002,175.0
3,177,9380.833,201.167,100.0
1,18,36.875,206.875,83.20499999999998
1,19,427.5,197.5,25.0
3,178,2889.792,209.167,123.745
3,179,12420.5,210.167,100.0
1,20,407.5,202.5,25.0
3,180,2220.25,212.75,118.585
3,181,4022.5,202.5,25.0
3,182,4696.167,221.167,175.0
1,21,417.5,207.5,25.0
3,183,5750.565,222.66099999999997,163.70999999999998
3,184,10347.5,207.5,25.0
3,185,2001.786,221.78599999999997,94.87
3,186,3106.667,218.333,70.71000000000001
3,187,4035.833,217.5,44.72
3,188,5392.5,212.5,25.0
3,189,5585.0,220.0,44.72
3,190,7127.5,215.0,25.0
2,16,1161.364,274.091,274.71999999999997
2,17,1334.286,230.71400000000003,106.065
3,191,2434.423,228.269,88.39
3,192,3063.5,219.5,50.0
3,193,3791.105,235.75599999999997,175.0
3,194,5331.875,225.0,75.0
3,195,1716.925,247.27,260.89000000000004
3,196,2054.528,252.36,332.525
3,197,3299.7729999999997,233.636,125.0
3,198,4508.686,242.5,200.0
3,199,5483.214,239.235,200.0
3,200,1861.5620000000001,241.875,175.0
3,201,3904.3,240.7,125.0
3,202,5317.5,227.5,25.0
3,203,6752.885,248.39700000000002,235.0
3,204,2902.5,232.5,25.0
3,205,6002.065,245.97799999999998,134.16500000000002
3,206,8929.745,249.847,189.73499999999999
3,207,3520.0,244.167,89.445
3,208,3845.278,250.093,150.0
3,209,7007.5,237.5,25.0
3,210,9324.527,264.189,212.13
2,18,1285.0,262.857,100.0
3,211,3178.73,257.91,200.0
3,212,4154.318,247.045,75.0
3,213,4619.907,256.389,150.0
3,214,6374.683000000001,269.472,245.96500000000003
3,215,7737.5,247.5,55.9
3,216,8089.1669999999995,245.833,50.0
3,217,11529.015,258.258,173.34500000000003
2,19,1352.5,247.5,25.0
3,218,3255.0,247.5,25.0
3,219,3267.5,247.5,25.0
3,220,5835.0,247.5,25.0
3,221,6112.5,247.5,25.0
3,222,6649.0380000000005,255.577,94.87
3,223,9607.5,247.5,25.0
3,224,12334.508,273.893,347.535
3,225,4414.712,271.25,187.21
3,226,6591.611,265.056,150.0
3,227,9821.962,280.654,175.0
3,228,10081.9,268.5,125.0
3,229,10824.038,263.846,150.0
1,22,847.1669999999999,265.5,100.0
3,230,4361.094,284.453,223.60500000000002
3,231,7909.079000000001,265.395,100.0
3,232,8082.5,257.5,25.0
3,233,8603.097,281.903,194.45499999999998
3,234,9057.149,277.237,210.0
3,235,2726.0,277.625,169.77499999999998
3,236,5385.064,277.885,159.1
3,237,11733.5,268.0,75.0
3,238,2895.0,270.0,50.0
3,239,5874.5,275.5,100.0
3,240,6477.5,267.5,25.0
3,241,8082.5,267.5,25.0
1,23,114.069,296.127,194.98000000000002
2,20,1404.318,280.455,90.95
3,242,3400.5,281.5,104.005
3,243,7117.5,275.0,25.0
3,244,7286.036999999999,287.256,175.0
2,21,936.442,301.827,175.0
2,22,1447.5,280.0,50.0
3,245,6983.25,311.5,300.0
3,246,11896.071000000002,285.0,100.0
1,24,347.87,293.796,125.0
3,247,2955.0,282.5,25.0
3,248,4691.5,285.5,50.0
3,249,4851.25,300.781,150.0
2,23,1687.955,297.5,75.0
3,250,3775.667,326.58299999999997,175.0
3,251,5484.736999999999,310.921,192.93499999999997
3,252,5701.272,309.605,221.88000000000002
3,253,6779.8330000000005,317.58299999999997,194.45499999999998
3,254,7718.241,301.574,125.0
3,255,2950.0,292.5,25.0
3,256,5132.5,292.5,25.0
3,257,6300.8330000000005,295.83299999999997,50.0
3,258,10615.75,309.5,145.51999999999998
2,24,1286.4289999999999,343.85699999999997,194.02999999999997
2,25,1545.9620000000002,311.218,175.0
3,259,2744.808,307.115,100.0
3,260,4712.5,333.977,225.0
3,261,8675.5,308.3,125.0
3,262,10189.453000000001,316.25,218.28000000000003
3,263,5641.6669999999995,306.66700000000003,70.71000000000001
3,264,7113.632,323.16,197.64
3,265,9741.25,315.938,150.0
2,26,1383.9289999999999,319.286,134.16500000000002
3,266,2870.962,319.423,78.26
3,267,2984.559,318.08799999999997,100.0
3,268,3570.417,332.39599999999996,157.65
3,269,4832.289000000001,353.592,260.0
3,270,5832.0,321.83299999999997,150.0
3,271,6213.5,312.5,67.08
3,272,8416.289,329.711,256.07500000000005
3,273,4946.25,316.25,50.0
3,274,7642.143,324.82099999999997,155.0
3,275,11075.0,319.5,88.39
3,276,2766.5,326.16700000000003,100.0
3,277,4287.024,347.5,99.48500000000001
3,278,5330.357,324.643,100.0
3,279,7391.6669999999995,332.778,100.625
3,280,12350.681999999999,322.045,75.0
3,281,5597.5,322.5,25.0
3,282,6082.5,334.23900000000003,134.16500000000002
3,283,6568.661999999999,347.14599999999996,265.165
3,284,10910.0,322.5,25.0
3,285,11705.278,329.167,75.0
1,25,722.5,331.389,75.0
3,286,2077.5,327.5,25.0
3,287,3294.342,343.64,175.0
3,288,7273.5,329.5,50.0
3,289,7712.5,327.5,25.0
3,290,8002.5,330.0,25.0
3,291,11218.928999999998,332.5,75.0
3,292,11281.786,341.548,125.0
3,293,2826.071,346.684,175.0
3,294,6483.946999999999,364.671,261.54
3,295,6833.929,334.64300000000003,50.0
3,296,6872.5,332.5,25.0
3,297,8833.5,335.5,50.0
3,298,10767.716999999999,347.60900000000004,176.77499999999998
2,27,1469.295,352.37199999999996,145.34500000000003
2,28,1555.2779999999998,347.5,75.0
3,299,2301.5,340.5,50.0
3,300,3108.929,357.32099999999997,150.0
3,301,4958.827,365.051,142.3
3,302,6897.5,337.5,25.0
3,303,6932.5,344.545,100.0
3,304,9418.167,345.167,100.0
3,305,11450.0,337.5,25.0
2,29,1087.5,342.5,25.0
3,306,2620.625,354.167,141.42000000000002
3,307,4048.833,363.667,124.74000000000001
3,308,5961.111,352.778,122.98499999999999
3,309,6175.0,345.0,50.0
3,310,7587.1,353.9,150.0
3,311,8306.0,351.25,125.0
3,312,8973.5,347.5,75.0
3,313,11782.763,354.079,122.98499999999999
1,26,340.833,356.786,125.0
1,27,621.21,362.01599999999996,141.42000000000002
3,314,3000.0,355.0,50.0
3,315,3221.9190000000003,368.721,250.0
3,316,5105.833,349.167,50.0
3,317,7778.0830000000005,359.5,150.0
3,318,10484.375,351.875,75.0
3,319,10639.235,366.88800000000003,194.45499999999998
3,320,11450.0,347.5,25.0
3,321,2197.5,357.5,75.0
3,322,2534.5589999999997,359.265,100.0
3,323,7130.8330000000005,355.833,50.0
3,324,8467.5,357.5,25.0
3,325,8800.938,369.375,140.0
3,326,12569.167,354.167,50.0
3,327,1732.5,357.5,25.0
3,328,3527.5,357.5,25.0
3,329,5868.243,388.58099999999996,224.345
3,330,7940.227,364.31800000000004,100.0
3,331,9737.5,368.63599999999997,123.745
3,332,3482.8379999999997,383.986,225.0
3,333,4152.115,384.423,150.20999999999998
3,334,5513.611,369.167,88.39
3,335,5545.0,365.0,50.0
3,336,10555.0,362.5,25.0
1,28,795.0,367.5,25.0
3,337,5071.288,387.348,134.16500000000002
3,338,6141.618,375.147,117.875
3,339,3182.5,375.0,25.0
3,340,3442.5,377.5,75.0
3,341,3642.5,372.5,25.0
3,342,7357.0,382.25,122.98499999999999
3,343,8445.0,377.5,25.0
3,344,8712.5,377.5,25.0
3,345,9885.238000000001,408.29400000000004,275.0
3,346,10392.5,383.333,75.0
3,347,3665.5,384.5,50.0
3,348,8547.969000000001,398.43800000000005,125.0
3,349,10180.0,406.042,189.73499999999999
3,350,10367.143,387.5,100.0
3,351,4020.962,421.5,201.245
3,352,4270.0,390.0,50.0
3,353,5155.246,408.69699999999995,212.13
3,354,6340.0,387.5,25.0
3,355,6399.674,398.587,145.51999999999998
3,356,8070.147,403.676,173.92499999999998
3,357,10064.0,402.5,175.0
3,358,10420.625,388.75,50.0
3,359,12058.214,401.214,156.525
2,30,965.0,392.5,25.0
2,31,1183.333,402.083,100.0
3,360,4722.5,392.5,25.0
3,361,5010.071,401.5,125.0
3,362,7229.265,419.485,175.0
3,363,9208.017,405.603,150.0
3,364,2276.389,415.278,200.0
3,365,3233.765,425.61699999999996,334.25
3,366,3878.9709999999995,406.029,125.0
3,367,11560.3,408.7,145.34500000000003
3,368,2782.5,402.5,25.0
3,369,4517.823,415.24199999999996,150.0
3,370,6095.5,411.75,115.205
3,371,6482.866,432.68300000000005,242.68
3,372,6694.47,425.42900000000003,275.0
3,373,8149.536999999999,415.833,123.745
2,32,1557.24,443.084,200.0
3,374,1817.5,407.5,25.0
3,375,2885.357,414.64300000000003,62.405
3,376,5088.75,412.5,50.0
3,377,5828.289000000001,437.23699999999997,173.34500000000003
3,378,7373.281,453.67199999999997,156.945
2,33,859.5160000000001,438.952,224.345
3,379,4258.981,434.537,125.0
3,380,6327.5,417.5,25.0
3,381,6794.1669999999995,423.333,75.0
3,382,3401.176,436.324,150.0
3,383,5283.654,430.577,100.0
3,384,6386.6669999999995,425.833,75.0
2,34,970.8330000000001,441.0,150.0
3,385,11247.75,437.0,125.0
3,386,11290.0,432.5,50.0
3,387,2930.0,435.833,50.0
3,388,2971.7859999999996,437.14300000000003,75.0
3,389,4450.833,440.833,125.0
3,390,4677.5,435.0,50.0
3,391,4862.325,457.23699999999997,197.64
3,392,7047.5,432.5,25.0
3,393,7857.5,432.5,25.0
3,394,11082.661,451.61300000000006,225.0
3,395,11476.5,442.0,75.0
2,35,1088.333,451.667,200.0
3,396,5047.635,456.959,150.0
3,397,5208.75,447.917,100.0
3,398,5549.477,472.384,353.01
3,399,5712.283,452.5,98.47999999999999
3,400,5742.5,440.0,25.0
3,401,6839.435,446.371,125.0
3,402,10737.955,443.409,100.0
3,403,2665.833,444.167,50.0
3,404,5327.5,442.5,25.0
3,405,6129.7,456.9,123.745
3,406,10975.0,442.5,25.0
3,407,2074.1,458.7,134.16500000000002
3,408,5428.869000000001,479.539,335.40999999999997
3,409,5752.5,447.5,25.0
3,410,6405.8330000000005,449.167,50.0
3,411,3700.3720000000003,495.74300000000005,330.135
3,412,4533.654,468.269,89.445
3,413,6083.816,475.395,206.70000000000002
3,414,6972.5,452.5,25.0
3,415,8827.857,461.786,125.0
3,416,10410.0,457.5,50.0
3,417,10781.786,457.85699999999997,75.0
3,418,3402.667,469.667,150.0
3,419,5248.255,478.63199999999995,223.265
