Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,217,219,41.800000000000004
1,2,401,138,41.800000000000004
1,3,375,180,22.8
1,4,264,116,30.400000000000002
1,5,252,102,19.0
1,6,241,105,15.200000000000001
1,7,227,34,11.4
1,8,159,232,15.200000000000001
1,9,138,263,22.8
1,10,103,350,26.6
1,11,122,442,49.400000000000006
1,12,269,400,26.6
1,13,235,352,19.0
1,14,248,339,19.0
1,15,274,334,19.0
1,16,303,287,11.4
1,17,282,284,15.200000000000001
1,18,287,238,26.6
1,19,328,193,15.200000000000001
1,20,341,211,15.200000000000001
1,21,412,259,19.0
1,22,389,283,15.200000000000001
1,23,408,372,11.4
1,24,132,334,15.200000000000001
1,25,187,126,15.200000000000001
1,26,226,95,15.200000000000001
1,27,192,98,15.200000000000001
1,28,196,108,19.0
1,29,207,107,11.4
1,30,258,326,19.0
1,31,214,360,15.200000000000001
1,32,125,396,34.2
1,33,411,172,22.8
1,34,299,95,15.200000000000001
1,35,230,126,30.400000000000002
1,36,168,104,19.0
1,37,429,34,22.8
1,38,440,111,19.0
1,39,304,87,26.6
1,40,343,156,19.0
2,41,461,29,22.8
2,42,528,100,26.6
2,43,475,93,15.200000000000001
2,44,500,132,11.4
2,45,558,147,15.200000000000001
2,46,582,149,22.8
2,47,599,159,19.0
2,48,576,139,7.6000000000000005
2,49,530,198,11.4
2,50,464,233,22.8
2,51,465,223,11.4
2,52,502,246,15.200000000000001
2,53,531,261,26.6
2,54,518,284,15.200000000000001
2,55,494,292,15.200000000000001
2,56,451,244,19.0
2,57,461,281,11.4
2,58,607,294,22.8
2,59,619,395,49.400000000000006
2,60,701,349,22.8
2,61,668,379,41.800000000000004
2,62,821,365,60.800000000000004
2,63,729,98,34.2
2,64,621,191,22.8
2,65,703,152,38.0
2,66,616,16,19.0
2,67,564,97,15.200000000000001
2,68,671,286,15.200000000000001
2,69,718,293,15.200000000000001
2,70,732,295,11.4
2,71,782,268,22.8
2,72,584,398,11.4
2,73,580,37,19.0
2,74,792,162,15.200000000000001
2,75,845,196,15.200000000000001
2,76,751,186,15.200000000000001
2,77,632,234,19.0
2,78,773,361,19.0
2,79,583,417,38.0
2,80,622,441,19.0
2,81,807,401,22.8
2,82,686,61,26.6
2,83,712,33,15.200000000000001
2,84,614,68,26.6
2,85,533,68,15.200000000000001
2,86,843,25,19.0
3,87,927,64,15.200000000000001
3,88,950,84,38.0
3,89,970,96,38.0
3,90,1052,5,38.0
3,91,1159,80,38.0
3,92,1145,93,45.6
3,93,1225,161,53.2
3,94,1114,175,38.0
3,95,1140,187,19.0
3,96,1129,274,34.2
3,97,1202,280,45.6
3,98,1019,290,49.400000000000006
3,99,1032,276,22.8
3,100,911,328,30.400000000000002
3,101,994,252,22.8
3,102,1035,227,15.200000000000001
3,103,1263,361,26.6
3,104,1306,381,19.0
3,105,1212,347,30.400000000000002
3,106,1194,346,15.200000000000001
3,107,1308,92,26.6
3,108,1269,52,22.8
3,109,1229,90,11.4
3,110,1265,287,22.8
3,111,1121,413,26.6
3,112,1052,271,19.0
3,113,1126,440,19.0
3,114,1212,433,19.0
3,115,1194,47,15.200000000000001
3,116,1162,153,11.4
