Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,19,29,26.307692307692307
1,2,68,32,35.07692307692307
1,3,34,72,32.15384615384615
1,4,57,188,11.692307692307692
1,5,42,199,38.0
1,6,40,249,40.92307692307692
1,7,69,239,23.384615384615383
1,8,74,268,29.23076923076923
1,9,50,306,38.0
1,10,67,363,52.61538461538461
1,11,132,345,11.692307692307692
1,12,151,346,11.692307692307692
1,13,119,388,11.692307692307692
1,14,201,357,29.23076923076923
1,15,197,307,32.15384615384615
1,16,216,292,32.15384615384615
1,17,251,289,26.307692307692307
1,18,254,319,29.23076923076923
1,19,312,311,35.07692307692307
1,20,359,335,32.15384615384615
1,21,381,306,38.0
1,22,295,360,35.07692307692307
1,23,270,356,32.15384615384615
1,24,247,345,20.46153846153846
1,25,140,182,38.0
1,26,94,197,35.07692307692307
1,27,358,131,11.692307692307692
1,28,365,143,8.769230769230768
1,29,406,131,11.692307692307692
1,30,354,172,11.692307692307692
1,31,396,163,11.692307692307692
1,32,313,402,11.692307692307692
1,33,260,248,5.846153846153846
1,34,271,234,5.846153846153846
1,35,352,78,8.769230769230768
1,36,191,84,8.769230769230768
1,37,297,8,8.769230769230768
4,38,242,590,23.384615384615383
4,39,323,670,29.23076923076923
4,40,255,692,20.46153846153846
4,41,248,544,40.92307692307692
4,42,238,506,38.0
4,43,237,481,32.15384615384615
4,44,205,479,20.46153846153846
4,45,190,477,8.769230769230768
4,46,197,513,23.384615384615383
4,47,192,575,8.769230769230768
4,48,168,591,11.692307692307692
4,49,222,591,29.23076923076923
4,50,251,573,14.615384615384615
4,51,294,603,26.307692307692307
4,52,301,610,8.769230769230768
4,53,327,583,11.692307692307692
4,54,346,650,14.615384615384615
4,55,349,630,26.307692307692307
4,56,375,597,17.538461538461537
4,57,390,573,14.615384615384615
4,58,381,654,17.538461538461537
4,59,364,649,11.692307692307692
4,60,368,757,14.615384615384615
4,61,355,766,8.769230769230768
4,62,17,743,8.769230769230768
4,63,354,806,8.769230769230768
4,64,296,486,49.69230769230769
4,65,308,543,29.23076923076923
4,66,297,523,29.23076923076923
4,67,368,541,35.07692307692307
4,68,357,454,46.76923076923077
4,69,294,624,17.538461538461537
4,70,300,664,11.692307692307692
4,71,292,642,20.46153846153846
4,72,353,738,17.538461538461537
4,73,346,798,32.15384615384615
4,74,198,604,20.46153846153846
4,75,183,549,26.307692307692307
4,76,219,546,35.07692307692307
4,77,337,720,11.692307692307692
