,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,n=1,,,,,,,,,,,,n=2,,,,,,,,,,,,n=3,,,,,,,,,,,,n=4,,,,,,,,,,,,n=5,,,,,,,,,
,,n=1,n=2,n=3,n=4,n=5,ave,sd,,Square_number,Center_x,Center_y,Diameter_nm,,,,階級値,,,,,Square_number,Center_x,Center_y,Diameter_nm,,,,階級値,,,,,Square_number,Center_x,Center_y,Diameter_nm,,,,階級値,,,,,Square_number,Center_x,Center_y,Diameter_nm,,,,階級値,,,,,Square_number,Center_x,Center_y,Diameter_nm,,,,階級値,,
0,0,0,0,0,0,0,0.0,0.0,,,,,43.84615385,,,,0,0,0,,,2,425,174,35.07692308,,,,0,0,0,,,,,,38,,,,0,0,0,,,,,,67.23076923,,,,0,0,0,,,,,,78.92307692,,,,0,0,0
10,0-9,0,0,0,0,0,0.0,0.0,,,,,35.07692308,,,,10,0-9,0,,,,,,43.84615385,,,,10,0-9,0,,,,,,26.30769231,,,,10,0-9,0,,,,,,32.15384615,,,,10,0-9,0,,,,,,49.69230769,,,,10,0-9,0
20,10-19,1,0,1,0,4,1.2,1.5,,,,,70.15384615,,,,20,10-19,1,,,,,,40.92307692,,,,20,10-19,0,,,,,,35.07692308,,,,20,10-19,1,,,,,,102.3076923,,,,20,10-19,0,,,,,,55.53846154,,,,20,10-19,4
30,20-29,3,1,2,2,1,1.8,0.7,,,,,49.69230769,,,,30,20-29,3,,,,,,,,,,30,20-29,1,,,,,,116.9230769,,,,30,20-29,2,,,,,,43.84615385,,,,30,20-29,2,,,,,,35.07692308,,,,30,20-29,1
40,30-39,3,2,0,3,1,1.8,1.2,,,,,32.15384615,,,,40,30-39,3,,,,,,,,,,40,30-39,2,,,,,,116.9230769,,,,40,30-39,0,,,,,,38,,,,40,30-39,3,,,,,,29.23076923,,,,40,30-39,1
50,40-49,0,0,0,0,1,0.2,0.4,,,,,46.76923077,,,,50,40-49,0,,,,,,,,,,50,40-49,0,,,,,,,,,,50,40-49,0,,,,,,96.46153846,,,,50,40-49,0,,,,,,26.30769231,,,,50,40-49,1
60,50-59,0,0,0,1,0,0.2,0.4,,,,,26.30769231,,,,60,50-59,0,,,,,,,,,,60,50-59,0,,,,,,,,,,60,50-59,0,,,,,,40.92307692,,,,60,50-59,1,,,,,,29.23076923,,,,60,50-59,0
70,60-69,1,0,0,0,1,0.4,0.5,,,,,111.0769231,,,,70,60-69,1,,,,,,,,,,70,60-69,0,,,,,,,,,,70,60-69,0,,,,,,46.76923077,,,,70,60-69,0,,,,,,93.53846154,,,,70,60-69,1
80,70-79,0,0,0,1,0,0.2,0.4,,,,,38,,,,80,70-79,0,,,,,,,,,,80,70-79,0,,,,,,,,,,80,70-79,0,,,,,,87.69230769,,,,80,70-79,1,,,,,,108.1538462,,,,80,70-79,0
90,80-89,0,0,0,2,3,1.0,1.3,,,,,,,,,90,80-89,0,,,,,,,,,,90,80-89,0,,,,,,,,,,90,80-89,0,,,,,,93.53846154,,,,90,80-89,2,,,,,,90.61538462,,,,90,80-89,3
100,90-99,0,0,0,1,1,0.4,0.5,,,,,,,,,100,90-99,0,,,,,,,,,,100,90-99,0,,,,,,,,,,100,90-99,0,,,,,,,,,,100,90-99,1,,,,,,99.38461538,,,,100,90-99,1
110,100-109,1,0,2,0,0,0.6,0.8,,,,,,,,,110,100-109,1,,,,,,,,,,110,100-109,0,,,,,,,,,,110,100-109,2,,,,,,,,,,110,100-109,0,,,,,,26.30769231,,,,110,100-109,0
120,110-119,0,0,0,0,0,0.0,0.0,,,,,,,,9,120,110-119,0,,,,,,,,,3,120,110-119,0,,,,,,,,,5,120,110-119,0,,,,,,,,,10,120,110-119,0,,,,,,,,,12,120,110-119,0
130,120-129,0,0,0,0,0,0.0,0.0,,,,,,,,,130,120-129,0,,,,,,,,,,130,120-129,0,,,,,,,,,,130,120-129,0,,,,,,,,,,130,120-129,0,,,,,,,,,,130,120-129,0
140,130-139,0,0,0,0,0,0.0,0.0,,,,,,,,,140,130-139,0,,,,,,,,,,140,130-139,0,,,,,,,,,,140,130-139,0,,,,,,,,,,140,130-139,0,,,,,,,,,,140,130-139,0
150,140-149,0,0,0,0,0,0.0,0.0,,,,,,,,,150,140-149,0,,,,,,,,,,150,140-149,0,,,,,,,,,,150,140-149,0,,,,,,,,,,150,140-149,0,,,,,,,,,,150,140-149,0
160,150,0,0,0,0,0,0.0,0.0,,,,,,,,,160,150,0,,,,,,,,,,160,150,0,,,,,,,,,,160,150,0,,,,,,,,,,160,150,0,,,,,,,,,,160,150,0
,,9,3,5,10,12,7.8,3.3,,,,,,,,,,合計,9,,,,,,,,,,,合計,3,,,,,,,,,,,合計,5,,,,,,,,,,,合計,10,,,,,,,,,,,合計,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
