Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,254,27,76.0
1,2,46,39,17.538461538461537
1,3,48,28,14.615384615384615
1,4,93,61,8.769230769230768
1,5,86,84,17.538461538461537
1,6,89,97,23.384615384615383
1,7,33,83,29.23076923076923
1,8,20,97,20.46153846153846
1,9,37,108,17.538461538461537
1,10,47,120,14.615384615384615
1,11,51,107,14.615384615384615
1,12,72,123,11.692307692307692
1,13,96,113,11.692307692307692
1,14,104,106,14.615384615384615
1,15,97,134,20.46153846153846
1,16,130,128,23.384615384615383
1,17,96,167,17.538461538461537
1,18,79,164,14.615384615384615
1,19,43,162,17.538461538461537
1,20,33,171,17.538461538461537
1,21,61,194,11.692307692307692
1,22,39,202,32.15384615384615
1,23,67,235,26.307692307692307
1,24,43,241,43.84615384615385
1,25,24,253,29.23076923076923
1,26,29,275,11.692307692307692
1,27,113,274,40.92307692307692
1,28,134,271,40.92307692307692
1,29,138,305,38.0
1,30,166,301,23.384615384615383
1,31,166,288,20.46153846153846
1,32,180,293,14.615384615384615
1,33,203,284,14.615384615384615
1,34,200,276,20.46153846153846
1,35,252,389,32.15384615384615
1,36,270,383,67.23076923076923
1,37,347,358,40.92307692307692
1,38,356,250,38.0
1,39,100,352,29.23076923076923
1,40,40,371,43.84615384615385
1,41,26,326,17.538461538461537
1,42,12,307,14.615384615384615
1,43,88,313,17.538461538461537
1,44,74,329,20.46153846153846
1,45,56,276,14.615384615384615
1,46,266,315,58.46153846153846
1,47,278,327,23.384615384615383
1,48,145,59,26.307692307692307
1,49,153,23,29.23076923076923
1,50,199,119,20.46153846153846
1,51,248,102,20.46153846153846
1,52,165,163,17.538461538461537
1,53,142,200,14.615384615384615
1,54,180,219,26.307692307692307
1,55,194,238,26.307692307692307
1,56,142,244,55.53846153846154
1,57,178,348,35.07692307692307
1,58,149,340,14.615384615384615
1,59,147,369,17.538461538461537
1,60,146,357,11.692307692307692
1,61,157,378,11.692307692307692
1,62,168,390,11.692307692307692
1,63,155,400,20.46153846153846
1,64,133,403,14.615384615384615
1,65,115,398,23.384615384615383
1,66,12,349,20.46153846153846
1,67,4,366,17.538461538461537
1,68,123,210,17.538461538461537
1,69,109,207,17.538461538461537
1,70,103,188,17.538461538461537
1,71,117,177,14.615384615384615
1,72,138,178,14.615384615384615
1,73,142,163,32.15384615384615
1,74,122,52,17.538461538461537
1,75,130,82,32.15384615384615
1,76,197,63,17.538461538461537
1,77,228,82,17.538461538461537
1,78,211,100,20.46153846153846
1,79,252,143,17.538461538461537
1,80,264,117,23.384615384615383
1,81,273,124,23.384615384615383
1,82,274,108,29.23076923076923
1,83,288,86,17.538461538461537
1,84,309,65,29.23076923076923
1,85,293,61,14.615384615384615
1,86,270,71,17.538461538461537
1,87,331,108,20.46153846153846
1,88,328,93,17.538461538461537
1,89,348,81,38.0
1,90,358,99,20.46153846153846
1,91,359,114,14.615384615384615
1,92,378,118,17.538461538461537
1,93,391,133,20.46153846153846
1,94,373,142,17.538461538461537
1,95,361,159,20.46153846153846
1,96,360,182,26.307692307692307
1,97,385,221,26.307692307692307
1,98,404,204,20.46153846153846
1,99,389,13,20.46153846153846
1,100,372,55,26.307692307692307
1,101,385,61,14.615384615384615
1,102,270,160,17.538461538461537
1,103,314,128,17.538461538461537
1,104,296,129,17.538461538461537
1,105,290,160,32.15384615384615
1,106,304,161,17.538461538461537
1,107,307,180,40.92307692307692
1,108,336,174,17.538461538461537
1,109,345,193,14.615384615384615
1,110,340,215,14.615384615384615
1,111,302,269,23.384615384615383
1,112,283,255,23.384615384615383
1,113,281,268,17.538461538461537
1,114,287,282,14.615384615384615
1,115,297,289,8.769230769230768
1,116,317,302,17.538461538461537
1,117,328,319,26.307692307692307
1,118,317,326,29.23076923076923
1,119,312,343,14.615384615384615
1,120,324,349,14.615384615384615
1,121,359,386,17.538461538461537
1,122,344,384,17.538461538461537
1,123,385,401,20.46153846153846
1,124,374,304,17.538461538461537
1,125,227,190,17.538461538461537
1,126,245,172,17.538461538461537
1,127,275,212,26.307692307692307
1,128,250,214,29.23076923076923
1,129,241,258,23.384615384615383
1,130,170,98,20.46153846153846
1,131,166,203,29.23076923076923
1,132,201,207,11.692307692307692
1,133,196,266,29.23076923076923
1,134,246,341,29.23076923076923
1,135,186,318,23.384615384615383
1,136,202,323,11.692307692307692
1,137,201,342,23.384615384615383
1,138,77,301,20.46153846153846
1,139,47,328,14.615384615384615
1,140,44,341,20.46153846153846
1,141,94,244,32.15384615384615
1,142,215,216,23.384615384615383
1,143,176,128,26.307692307692307
1,144,172,147,20.46153846153846
1,145,200,139,58.46153846153846
1,146,404,269,17.538461538461537
1,147,210,8,20.46153846153846
1,148,210,30,14.615384615384615
1,149,200,21,20.46153846153846
1,150,197,37,14.615384615384615
1,151,184,49,11.692307692307692
1,152,225,50,29.23076923076923
1,153,123,12,20.46153846153846
1,154,106,42,20.46153846153846
1,155,303,225,23.384615384615383
1,156,387,320,20.46153846153846
1,157,205,376,26.307692307692307
1,158,227,338,14.615384615384615
1,159,229,298,17.538461538461537
2,160,516,20,87.6923076923077
2,161,598,97,70.15384615384615
2,162,595,56,35.07692307692307
2,163,742,184,73.07692307692308
2,164,776,282,35.07692307692307
2,165,757,364,43.84615384615385
2,166,654,397,17.538461538461537
2,167,707,375,29.23076923076923
2,168,499,284,43.84615384615385
2,169,449,372,29.23076923076923
2,170,461,110,46.76923076923077
2,171,439,24,35.07692307692307
2,172,419,37,26.307692307692307
2,173,464,89,23.384615384615383
2,174,490,69,23.384615384615383
2,175,546,69,20.46153846153846
2,176,469,49,23.384615384615383
2,177,455,37,29.23076923076923
2,178,434,89,17.538461538461537
2,179,415,125,43.84615384615385
2,180,440,135,26.307692307692307
2,181,451,168,32.15384615384615
2,182,479,166,17.538461538461537
2,183,499,173,29.23076923076923
2,184,516,199,32.15384615384615
2,185,496,194,26.307692307692307
2,186,479,211,29.23076923076923
2,187,507,217,11.692307692307692
2,188,529,237,32.15384615384615
2,189,450,243,32.15384615384615
2,190,448,222,23.384615384615383
2,191,427,232,20.46153846153846
2,192,414,208,17.538461538461537
2,193,417,282,23.384615384615383
2,194,463,271,14.615384615384615
2,195,508,324,17.538461538461537
2,196,571,395,23.384615384615383
2,197,631,332,20.46153846153846
2,198,623,346,26.307692307692307
2,199,532,273,26.307692307692307
2,200,612,194,35.07692307692307
2,201,596,224,40.92307692307692
2,202,615,272,20.46153846153846
2,203,645,247,26.307692307692307
2,204,660,249,26.307692307692307
2,205,675,274,17.538461538461537
2,206,675,295,17.538461538461537
2,207,688,321,26.307692307692307
2,208,684,350,17.538461538461537
2,209,566,184,20.46153846153846
2,210,563,169,17.538461538461537
2,211,500,105,17.538461538461537
2,212,510,89,17.538461538461537
2,213,511,78,11.692307692307692
2,214,588,13,35.07692307692307
2,215,626,24,20.46153846153846
2,216,621,60,20.46153846153846
2,217,635,100,20.46153846153846
2,218,689,97,46.76923076923077
2,219,659,115,46.76923076923077
2,220,656,42,23.384615384615383
2,221,710,61,20.46153846153846
2,222,717,79,26.307692307692307
2,223,766,42,23.384615384615383
2,224,775,68,23.384615384615383
2,225,793,77,40.92307692307692
2,226,807,109,29.23076923076923
2,227,775,129,29.23076923076923
2,228,765,154,29.23076923076923
2,229,797,12,43.84615384615385
2,230,537,103,23.384615384615383
2,231,553,119,38.0
2,232,569,147,26.307692307692307
2,233,520,130,49.69230769230769
2,234,471,120,46.76923076923077
2,235,523,178,43.84615384615385
2,236,495,248,23.384615384615383
2,237,423,346,32.15384615384615
2,238,476,366,35.07692307692307
2,239,505,375,35.07692307692307
2,240,533,368,29.23076923076923
2,241,599,351,26.307692307692307
2,242,602,319,32.15384615384615
2,243,575,321,23.384615384615383
2,244,541,388,23.384615384615383
2,245,489,345,26.307692307692307
2,246,620,401,20.46153846153846
2,247,681,386,20.46153846153846
2,248,807,384,29.23076923076923
2,249,807,314,35.07692307692307
2,250,703,220,32.15384615384615
2,251,688,160,32.15384615384615
2,252,667,186,43.84615384615385
2,253,739,122,32.15384615384615
2,254,726,102,20.46153846153846
2,255,743,98,20.46153846153846
2,256,737,16,23.384615384615383
2,257,756,19,20.46153846153846
2,258,749,5,17.538461538461537
2,259,553,331,20.46153846153846
2,260,547,313,17.538461538461537
2,261,547,294,17.538461538461537
2,262,565,296,14.615384615384615
2,263,612,379,14.615384615384615
2,264,645,367,14.615384615384615
2,265,644,344,38.0
2,266,754,244,35.07692307692307
2,267,814,243,35.07692307692307
2,268,798,214,14.615384615384615
2,269,814,161,20.46153846153846
2,270,811,139,14.615384615384615
2,271,657,63,20.46153846153846
2,272,608,159,20.46153846153846
2,273,633,173,23.384615384615383
2,274,589,267,11.692307692307692
2,275,567,258,20.46153846153846
2,276,453,306,35.07692307692307
2,277,478,325,23.384615384615383
2,278,729,338,11.692307692307692
2,279,745,340,14.615384615384615
2,280,810,357,20.46153846153846
2,281,793,360,14.615384615384615
2,282,704,306,29.23076923076923
2,283,717,261,35.07692307692307
2,284,456,392,49.69230769230769
2,285,548,205,29.23076923076923
2,286,626,142,26.307692307692307
2,287,693,10,29.23076923076923
2,288,791,161,23.384615384615383
2,289,796,191,17.538461538461537
2,290,798,45,29.23076923076923
2,291,714,39,52.61538461538461
5,292,737,699,52.61538461538461
