Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,25,10,19.0
1,2,38,24,22.8
1,3,130,36,19.0
1,4,153,76,38.0
1,5,240,53,22.8
1,6,327,71,34.2
1,7,285,79,38.0
1,8,207,130,45.6
1,9,244,124,15.200000000000001
1,10,205,105,15.200000000000001
1,11,126,112,49.400000000000006
1,12,25,100,30.400000000000002
1,13,98,146,30.400000000000002
1,14,84,159,22.8
1,15,27,136,34.2
1,16,57,211,49.400000000000006
1,17,288,200,57.0
1,18,291,249,57.0
1,19,272,250,49.400000000000006
1,20,41,256,30.400000000000002
1,21,98,290,41.800000000000004
1,22,66,291,41.800000000000004
1,23,161,305,60.800000000000004
1,24,205,339,30.400000000000002
1,25,210,362,45.6
1,26,194,388,60.800000000000004
1,27,260,366,64.60000000000001
1,28,70,370,30.400000000000002
1,29,135,372,34.2
1,30,365,292,26.6
1,31,405,278,83.60000000000001
1,32,425,346,57.0
1,33,385,320,30.400000000000002
1,34,322,382,22.8
1,35,379,398,53.2
1,36,176,422,45.6
1,37,113,428,76.0
1,38,428,174,38.0
1,39,397,237,26.6
1,40,323,313,26.6
1,41,118,213,22.8
1,42,147,158,22.8
1,43,157,213,26.6
1,44,190,222,11.4
1,45,211,242,22.8
1,46,200,266,19.0
1,47,23,272,15.200000000000001
1,48,37,300,30.400000000000002
1,49,272,22,15.200000000000001
1,50,323,222,7.6000000000000005
1,51,362,197,15.200000000000001
1,52,420,12,19.0
2,53,552,6,34.2
2,54,664,9,53.2
2,55,676,46,34.2
2,56,722,24,41.800000000000004
2,57,785,40,49.400000000000006
2,58,796,55,30.400000000000002
2,59,864,50,38.0
2,60,828,82,64.60000000000001
2,61,849,122,19.0
2,62,877,150,26.6
2,63,872,98,57.0
2,64,565,87,19.0
2,65,466,214,15.200000000000001
2,66,480,216,19.0
2,67,482,69,22.8
2,68,542,265,22.8
2,69,578,129,26.6
2,70,652,160,30.400000000000002
2,71,603,290,22.8
2,72,598,321,38.0
2,73,565,305,38.0
2,74,555,371,106.4
2,75,568,403,49.400000000000006
2,76,628,403,30.400000000000002
2,77,707,358,22.8
2,78,679,294,19.0
2,79,698,304,22.8
2,80,675,332,79.80000000000001
2,81,553,207,87.4
2,82,640,167,117.80000000000001
2,83,669,407,45.6
2,84,884,307,34.2
2,85,772,382,72.2
2,86,856,421,60.800000000000004
2,87,773,323,38.0
2,88,744,286,38.0
2,89,848,285,11.4
2,90,483,316,41.800000000000004
2,91,779,250,76.0
2,92,645,98,19.0
2,93,711,92,15.200000000000001
2,94,662,66,30.400000000000002
3,95,935,431,30.400000000000002
3,96,957,377,45.6
3,97,1025,409,26.6
3,98,1041,413,34.2
3,99,934,269,34.2
3,100,1025,178,45.6
3,101,1046,57,41.800000000000004
3,102,1080,83,30.400000000000002
3,103,1173,64,53.2
3,104,953,31,45.6
3,105,918,4,57.0
3,106,975,211,30.400000000000002
3,107,1037,119,26.6
3,108,968,258,30.400000000000002
3,109,985,263,30.400000000000002
3,110,1000,258,26.6
3,111,986,281,38.0
3,112,1218,160,26.6
3,113,1265,112,22.8
3,114,1297,103,30.400000000000002
3,115,1321,110,26.6
3,116,1307,326,30.400000000000002
3,117,1303,349,60.800000000000004
3,118,1279,312,49.400000000000006
3,119,1321,431,30.400000000000002
3,120,1336,417,34.2
3,121,1207,442,45.6
3,122,1270,442,26.6
3,123,1121,284,34.2
3,124,1142,247,45.6
3,125,1130,223,53.2
3,126,1083,191,79.80000000000001
3,127,1203,116,87.4
3,128,1267,209,30.400000000000002
3,129,1219,211,26.6
3,130,1194,221,34.2
3,131,1177,191,53.2
3,132,1149,182,49.400000000000006
3,133,1037,324,30.400000000000002
3,134,931,359,26.6
3,135,920,376,30.400000000000002
3,136,996,425,30.400000000000002
3,137,1117,393,68.4
3,138,1201,403,15.200000000000001
3,139,1200,350,19.0
3,140,1271,408,38.0
3,141,1227,340,87.4
4,142,153,505,79.80000000000001
4,143,104,539,30.400000000000002
4,144,40,555,38.0
4,145,16,531,19.0
4,146,24,546,19.0
4,147,8,633,38.0
4,148,17,647,60.800000000000004
4,149,43,724,53.2
4,150,28,617,22.8
4,151,84,641,60.800000000000004
4,152,137,610,64.60000000000001
4,153,160,615,41.800000000000004
4,154,221,545,38.0
4,155,249,591,45.6
4,156,267,501,38.0
4,157,226,485,30.400000000000002
4,158,196,588,22.8
4,159,173,675,34.2
4,160,258,712,30.400000000000002
4,161,322,718,57.0
4,162,295,652,22.8
4,163,381,550,34.2
4,164,327,524,26.6
4,165,337,538,15.200000000000001
4,166,306,540,11.4
4,167,396,608,68.4
4,168,288,451,72.2
4,169,265,776,34.2
4,170,156,721,41.800000000000004
4,171,104,751,38.0
4,172,158,777,22.8
4,173,187,765,22.8
4,174,129,863,38.0
4,175,171,852,76.0
4,176,50,825,64.60000000000001
4,177,101,828,49.400000000000006
4,178,431,764,41.800000000000004
4,179,412,798,45.6
4,180,388,773,41.800000000000004
4,181,394,760,41.800000000000004
4,182,418,734,26.6
4,183,419,676,30.400000000000002
4,184,197,721,26.6
4,185,163,811,22.8
4,186,193,878,26.6
4,187,291,877,34.2
4,188,318,885,41.800000000000004
4,189,3,753,38.0
4,190,49,518,34.2
4,191,224,644,26.6
4,192,143,757,15.200000000000001
4,193,307,581,15.200000000000001
4,194,337,561,11.4
4,195,420,511,19.0
4,196,438,455,26.6
5,197,650,512,87.4
5,198,537,457,34.2
5,199,539,514,15.200000000000001
5,200,511,576,38.0
5,201,568,600,41.800000000000004
5,202,818,524,57.0
5,203,488,653,34.2
5,204,488,683,76.0
5,205,566,722,45.6
5,206,575,706,30.400000000000002
5,207,581,671,41.800000000000004
5,208,641,675,26.6
5,209,715,824,57.0
5,210,599,829,49.400000000000006
5,211,695,584,41.800000000000004
5,212,787,646,30.400000000000002
5,213,809,666,30.400000000000002
5,214,871,672,30.400000000000002
5,215,796,802,26.6
5,216,810,806,30.400000000000002
5,217,810,819,45.6
5,218,878,772,26.6
5,219,872,890,57.0
5,220,635,875,22.8
5,221,511,790,38.0
5,222,568,777,38.0
5,223,592,787,30.400000000000002
5,224,620,785,38.0
5,225,618,740,45.6
5,226,659,786,49.400000000000006
5,227,679,821,41.800000000000004
5,228,639,842,72.2
5,229,790,589,38.0
5,230,809,603,22.8
5,231,799,608,19.0
5,232,853,592,34.2
5,233,709,462,45.6
5,234,720,484,22.8
5,235,749,497,15.200000000000001
5,236,759,507,11.4
5,237,800,486,22.8
5,238,589,576,7.6000000000000005
5,239,562,632,49.400000000000006
5,240,603,635,34.2
5,241,533,657,60.800000000000004
5,242,482,564,11.4
5,243,488,547,15.200000000000001
5,244,488,483,15.200000000000001
5,245,470,462,11.4
5,246,536,855,15.200000000000001
5,247,747,828,22.8
5,248,769,823,15.200000000000001
5,249,464,890,11.4
5,250,486,851,30.400000000000002
