Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,486,171,114.0
1,2,23,27,34.54545454545455
1,3,130,20,62.18181818181818
1,4,239,39,48.36363636363636
1,5,313,15,41.45454545454545
1,6,288,32,34.54545454545455
1,7,285,12,31.09090909090909
1,8,15,158,34.54545454545455
1,9,112,187,31.09090909090909
1,10,219,204,65.63636363636364
1,11,13,312,34.54545454545455
1,12,32,309,27.636363636363637
1,13,18,366,27.636363636363637
1,14,23,378,41.45454545454545
1,15,34,396,34.54545454545455
1,16,101,363,20.727272727272727
1,17,106,482,31.09090909090909
1,18,15,303,127.81818181818181
1,19,172,137,44.90909090909091
1,20,167,126,134.72727272727272
1,21,123,79,31.09090909090909
1,22,114,41,27.636363636363637
1,23,88,99,20.727272727272727
1,24,102,106,20.727272727272727
1,25,292,228,65.63636363636364
1,26,258,176,38.0
1,27,310,177,51.81818181818181
1,28,365,151,38.0
1,29,406,157,38.0
1,30,436,187,48.36363636363636
1,31,280,266,41.45454545454545
1,32,240,289,20.727272727272727
1,33,175,337,27.636363636363637
1,34,264,406,34.54545454545455
1,35,174,436,120.9090909090909
1,36,309,350,20.727272727272727
1,37,337,399,24.18181818181818
1,38,330,319,27.636363636363637
1,39,395,321,20.727272727272727
1,40,406,350,27.636363636363637
1,41,376,400,31.09090909090909
1,42,441,437,27.636363636363637
1,43,444,466,27.636363636363637
1,44,388,482,31.09090909090909
1,45,436,226,38.0
1,46,263,335,55.27272727272727
1,47,226,127,34.54545454545455
1,48,450,43,44.90909090909091
1,49,382,18,110.54545454545455
1,50,427,98,38.0
1,51,419,79,20.727272727272727
1,52,313,101,20.727272727272727
1,53,255,63,31.09090909090909
1,54,418,132,31.09090909090909
1,55,300,310,10.363636363636363
1,56,261,223,10.363636363636363
1,57,224,448,17.272727272727273
1,58,474,428,24.18181818181818
2,59,710,486,58.72727272727273
2,60,912,310,51.81818181818181
2,61,950,299,31.09090909090909
2,62,725,80,86.36363636363636
2,63,674,100,51.81818181818181
2,64,688,140,62.18181818181818
2,65,737,139,82.9090909090909
2,66,550,189,24.18181818181818
2,67,609,183,48.36363636363636
2,68,524,137,31.09090909090909
2,69,599,231,31.09090909090909
2,70,529,309,31.09090909090909
2,71,607,384,31.09090909090909
