Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,210,26,86.36363636363636
1,2,438,18,79.45454545454545
1,3,168,110,48.36363636363636
1,4,227,321,62.18181818181818
1,5,38,36,20.727272727272727
1,6,68,18,20.727272727272727
1,7,67,31,13.818181818181818
1,8,127,22,17.272727272727273
1,9,333,9,24.18181818181818
1,10,353,14,24.18181818181818
1,11,371,17,24.18181818181818
1,12,355,33,24.18181818181818
1,13,386,29,17.272727272727273
1,14,397,39,17.272727272727273
1,15,418,56,20.727272727272727
1,16,430,66,13.818181818181818
1,17,432,80,10.363636363636363
1,18,435,90,10.363636363636363
1,19,424,89,20.727272727272727
1,20,467,59,13.818181818181818
1,21,488,76,44.90909090909091
1,22,79,51,20.727272727272727
1,23,77,73,34.54545454545455
1,24,66,100,20.727272727272727
1,25,85,115,20.727272727272727
1,26,111,105,20.727272727272727
1,27,114,67,24.18181818181818
1,28,124,52,31.09090909090909
1,29,101,42,17.272727272727273
1,30,112,33,17.272727272727273
1,31,28,69,24.18181818181818
1,32,11,78,20.727272727272727
1,33,35,86,20.727272727272727
1,34,120,136,24.18181818181818
1,35,143,138,27.636363636363637
1,36,132,100,13.818181818181818
1,37,144,81,20.727272727272727
1,38,145,71,13.818181818181818
1,39,149,54,13.818181818181818
1,40,169,53,20.727272727272727
1,41,161,44,13.818181818181818
1,42,171,27,31.09090909090909
1,43,178,6,20.727272727272727
1,44,195,69,20.727272727272727
1,45,210,86,24.18181818181818
1,46,177,85,24.18181818181818
1,47,217,123,34.54545454545455
1,48,232,88,17.272727272727273
1,49,222,102,13.818181818181818
1,50,269,109,24.18181818181818
1,51,244,75,13.818181818181818
1,52,226,57,13.818181818181818
1,53,253,58,17.272727272727273
1,54,265,59,13.818181818181818
1,55,269,43,13.818181818181818
1,56,288,52,13.818181818181818
1,57,271,76,10.363636363636363
1,58,296,71,34.54545454545455
1,59,284,94,13.818181818181818
1,60,344,60,20.727272727272727
1,61,325,56,6.909090909090909
1,62,315,42,10.363636363636363
1,63,332,80,17.272727272727273
1,64,324,101,6.909090909090909
1,65,346,86,10.363636363636363
1,66,370,78,10.363636363636363
1,67,363,73,13.818181818181818
1,68,367,62,10.363636363636363
1,69,395,72,24.18181818181818
1,70,456,86,13.818181818181818
1,71,455,76,20.727272727272727
1,72,454,63,20.727272727272727
1,73,467,99,10.363636363636363
1,74,461,109,24.18181818181818
1,75,489,122,17.272727272727273
1,76,477,137,10.363636363636363
1,77,476,156,17.272727272727273
1,78,477,174,24.18181818181818
1,79,408,101,27.636363636363637
1,80,394,91,20.727272727272727
1,81,381,92,24.18181818181818
1,82,395,103,13.818181818181818
1,83,376,112,24.18181818181818
1,84,398,126,20.727272727272727
1,85,424,146,17.272727272727273
1,86,419,167,27.636363636363637
1,87,437,165,34.54545454545455
1,88,346,112,38.0
1,89,306,136,17.272727272727273
1,90,285,150,20.727272727272727
1,91,262,148,20.727272727272727
1,92,248,141,17.272727272727273
1,93,255,132,20.727272727272727
1,94,303,212,41.45454545454545
1,95,324,187,31.09090909090909
1,96,338,227,13.818181818181818
1,97,348,238,20.727272727272727
1,98,388,206,41.45454545454545
1,99,421,241,65.63636363636364
1,100,433,213,24.18181818181818
1,101,452,197,24.18181818181818
1,102,454,223,27.636363636363637
1,103,478,222,20.727272727272727
1,104,481,254,13.818181818181818
1,105,464,270,17.272727272727273
1,106,454,309,24.18181818181818
1,107,434,275,27.636363636363637
1,108,411,292,20.727272727272727
1,109,421,318,20.727272727272727
1,110,457,354,27.636363636363637
1,111,462,330,27.636363636363637
1,112,485,338,24.18181818181818
1,113,479,367,24.18181818181818
1,114,439,458,58.72727272727273
1,115,426,477,55.27272727272727
1,116,456,445,51.81818181818181
1,117,334,388,41.45454545454545
1,118,335,404,20.727272727272727
1,119,82,142,17.272727272727273
1,120,66,141,10.363636363636363
1,121,40,138,17.272727272727273
1,122,38,154,20.727272727272727
1,123,26,146,6.909090909090909
1,124,27,132,13.818181818181818
1,125,7,133,17.272727272727273
1,126,103,178,20.727272727272727
1,127,124,167,24.18181818181818
1,128,142,169,44.90909090909091
1,129,159,186,31.09090909090909
1,130,168,207,24.18181818181818
1,131,161,224,10.363636363636363
1,132,174,239,31.09090909090909
1,133,128,218,55.27272727272727
1,134,102,211,10.363636363636363
1,135,105,195,24.18181818181818
