Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,151,37,48.36363636363636
1,2,52,60,38.0
1,3,44,134,38.0
1,4,66,217,34.54545454545455
1,5,30,203,38.0
1,6,79,257,62.18181818181818
1,7,59,297,44.90909090909091
1,8,24,296,24.18181818181818
1,9,191,255,34.54545454545455
1,10,308,225,38.0
1,11,209,282,24.18181818181818
1,12,240,53,41.45454545454545
1,13,181,25,48.36363636363636
1,14,230,21,31.09090909090909
1,15,201,92,34.54545454545455
1,16,100,142,62.18181818181818
1,17,137,401,41.45454545454545
1,18,100,464,48.36363636363636
1,19,171,454,41.45454545454545
1,20,122,445,55.27272727272727
1,21,353,351,62.18181818181818
1,22,350,373,20.727272727272727
1,23,328,428,34.54545454545455
1,24,411,443,44.90909090909091
1,25,428,388,48.36363636363636
1,26,394,372,48.36363636363636
1,27,390,411,41.45454545454545
1,28,405,462,31.09090909090909
1,29,449,475,27.636363636363637
1,30,426,126,41.45454545454545
1,31,363,222,24.18181818181818
1,32,396,206,17.272727272727273
1,33,421,170,20.727272727272727
1,34,468,141,27.636363636363637
1,35,297,109,17.272727272727273
1,36,137,289,13.818181818181818
1,37,480,93,27.636363636363637
1,38,310,5,38.0
1,39,395,122,24.18181818181818
1,40,197,56,169.27272727272725
2,41,514,107,41.45454545454545
2,42,590,128,41.45454545454545
2,43,568,171,51.81818181818181
2,44,565,247,55.27272727272727
2,45,530,217,41.45454545454545
2,46,639,323,51.81818181818181
2,47,606,452,38.0
2,48,631,422,44.90909090909091
2,49,708,396,62.18181818181818
2,50,743,398,41.45454545454545
2,51,841,417,38.0
2,52,856,432,41.45454545454545
2,53,903,271,76.0
2,54,743,347,41.45454545454545
2,55,692,157,41.45454545454545
2,56,717,138,41.45454545454545
2,57,837,118,51.81818181818181
2,58,868,150,38.0
2,59,934,209,38.0
2,60,819,337,31.09090909090909
2,61,766,334,31.09090909090909
2,62,518,416,20.727272727272727
2,63,579,374,20.727272727272727
2,64,731,312,17.272727272727273
