Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,4,31,41.45454545454545
1,2,27,30,17.272727272727273
1,3,42,14,27.636363636363637
1,4,25,73,41.45454545454545
1,5,37,94,34.54545454545455
1,6,12,178,38.0
1,7,52,154,48.36363636363636
1,8,100,189,48.36363636363636
1,9,102,213,41.45454545454545
1,10,51,191,17.272727272727273
1,11,76,180,27.636363636363637
1,12,31,387,44.90909090909091
1,13,12,345,120.9090909090909
1,14,16,432,86.36363636363636
1,15,81,376,34.54545454545455
1,16,191,433,41.45454545454545
1,17,95,35,34.54545454545455
1,18,228,48,41.45454545454545
1,19,177,101,51.81818181818181
1,20,185,135,48.36363636363636
1,21,169,296,38.0
1,22,238,236,51.81818181818181
1,23,300,225,41.45454545454545
1,24,340,126,38.0
1,25,414,104,48.36363636363636
1,26,345,273,72.54545454545455
1,27,413,329,44.90909090909091
1,28,440,301,55.27272727272727
1,29,330,388,38.0
1,30,282,482,38.0
1,31,279,450,34.54545454545455
1,32,323,468,55.27272727272727
1,33,206,319,38.0
1,34,299,388,31.09090909090909
1,35,415,398,41.45454545454545
1,36,458,343,27.636363636363637
1,37,325,137,31.09090909090909
1,38,385,48,34.54545454545455
1,39,419,27,20.727272727272727
1,40,462,64,44.90909090909091
1,41,168,186,31.09090909090909
1,42,415,423,31.09090909090909
1,43,437,358,34.54545454545455
1,44,477,481,20.727272727272727
1,45,314,373,17.272727272727273
1,46,179,259,55.27272727272727
1,47,385,370,27.636363636363637
1,48,260,187,34.54545454545455
1,49,232,163,31.09090909090909
2,50,507,353,38.0
2,51,517,392,24.18181818181818
2,52,562,412,72.54545454545455
2,53,515,488,31.09090909090909
2,54,714,443,58.72727272727273
2,55,841,448,89.81818181818181
2,56,572,76,41.45454545454545
2,57,572,53,38.0
2,58,719,194,72.54545454545455
2,59,710,11,44.90909090909091
2,60,678,10,55.27272727272727
2,61,692,40,34.54545454545455
2,62,507,306,38.0
2,63,547,269,31.09090909090909
2,64,554,312,24.18181818181818
2,65,640,405,34.54545454545455
2,66,801,390,58.72727272727273
2,67,797,344,38.0
2,68,845,297,38.0
2,69,870,314,34.54545454545455
2,70,892,329,34.54545454545455
2,71,918,355,55.27272727272727
2,72,939,425,34.54545454545455
2,73,948,154,41.45454545454545
2,74,935,196,44.90909090909091
2,75,949,227,34.54545454545455
2,76,819,130,41.45454545454545
2,77,694,219,20.727272727272727
2,78,720,169,34.54545454545455
2,79,778,37,34.54545454545455
2,80,912,46,44.90909090909091
2,81,674,118,72.54545454545455
2,82,791,95,20.727272727272727
2,83,790,127,24.18181818181818
2,84,775,108,27.636363636363637
2,85,788,296,38.0
2,86,978,145,38.0
2,87,946,273,38.0
2,88,515,89,31.09090909090909
2,89,598,256,27.636363636363637
2,90,738,145,24.18181818181818
3,91,1009,53,48.36363636363636
3,92,1046,38,65.63636363636364
3,93,1087,130,51.81818181818181
3,94,1017,185,31.09090909090909
3,95,1031,211,34.54545454545455
3,96,997,329,65.63636363636364
3,97,990,407,110.54545454545455
3,98,1144,234,69.0909090909091
3,99,1135,203,44.90909090909091
3,100,1039,360,44.90909090909091
3,101,1147,384,44.90909090909091
3,102,1200,419,44.90909090909091
3,103,1228,368,51.81818181818181
3,104,1399,303,65.63636363636364
3,105,1153,90,55.27272727272727
3,106,1102,73,31.09090909090909
3,107,1347,32,44.90909090909091
3,108,1418,25,62.18181818181818
3,109,1264,187,41.45454545454545
3,110,1301,214,34.54545454545455
3,111,1374,136,38.0
3,112,1201,151,44.90909090909091
3,113,1127,132,38.0
3,114,1128,341,41.45454545454545
3,115,1094,234,27.636363636363637
3,116,1350,325,51.81818181818181
3,117,1394,332,31.09090909090909
3,118,1439,256,48.36363636363636
3,119,1464,288,62.18181818181818
3,120,1457,378,38.0
3,121,1400,368,51.81818181818181
3,122,1388,180,51.81818181818181
3,123,1427,175,24.18181818181818
3,124,1442,215,31.09090909090909
3,125,1353,237,31.09090909090909
3,126,1290,358,55.27272727272727
3,127,1348,259,27.636363636363637
3,128,1287,5,38.0
3,129,1190,9,24.18181818181818
3,130,1002,486,31.09090909090909
3,131,1335,409,20.727272727272727
3,132,1335,370,13.818181818181818
3,133,1266,439,20.727272727272727
3,134,1103,256,38.0
3,135,1234,268,17.272727272727273
3,136,1186,227,41.45454545454545
3,137,1344,203,24.18181818181818
3,138,1363,299,27.636363636363637
3,139,1297,291,58.72727272727273
3,140,1080,485,20.727272727272727
3,141,1036,174,20.727272727272727
3,142,1400,395,48.36363636363636
3,143,1144,408,17.272727272727273
4,144,271,561,38.0
4,145,389,753,82.9090909090909
4,146,401,616,65.63636363636364
4,147,263,542,72.54545454545455
4,148,363,667,55.27272727272727
4,149,21,565,72.54545454545455
4,150,94,597,41.45454545454545
4,151,56,690,38.0
4,152,36,718,34.54545454545455
4,153,59,762,38.0
4,154,71,785,44.90909090909091
4,155,77,751,41.45454545454545
4,156,109,747,41.45454545454545
4,157,108,789,44.90909090909091
4,158,162,773,44.90909090909091
4,159,204,861,82.9090909090909
4,160,90,836,51.81818181818181
4,161,4,777,51.81818181818181
4,162,18,940,44.90909090909091
4,163,87,900,34.54545454545455
4,164,186,921,65.63636363636364
4,165,214,937,41.45454545454545
4,166,320,921,38.0
4,167,28,798,31.09090909090909
4,168,219,678,41.45454545454545
4,169,303,837,27.636363636363637
4,170,361,929,34.54545454545455
4,171,359,963,31.09090909090909
4,172,416,898,31.09090909090909
4,173,422,831,69.0909090909091
4,174,479,944,31.09090909090909
4,175,452,891,27.636363636363637
4,176,367,783,24.18181818181818
4,177,309,650,38.0
4,178,259,655,20.727272727272727
4,179,189,759,10.363636363636363
4,180,150,873,20.727272727272727
4,181,160,967,55.27272727272727
4,182,254,581,31.09090909090909
4,183,88,723,27.636363636363637
4,184,135,763,17.272727272727273
4,185,255,861,27.636363636363637
4,186,296,788,31.09090909090909
4,187,314,622,20.727272727272727
4,188,434,544,44.90909090909091
4,189,464,696,58.72727272727273
4,190,487,857,38.0
4,191,392,930,27.636363636363637
4,192,102,937,41.45454545454545
4,193,138,666,17.272727272727273
4,194,150,618,17.272727272727273
5,195,878,518,62.18181818181818
5,196,874,599,34.54545454545455
5,197,968,635,58.72727272727273
5,198,626,552,69.0909090909091
5,199,562,584,38.0
5,200,528,535,34.54545454545455
5,201,558,740,41.45454545454545
5,202,598,747,34.54545454545455
5,203,602,724,31.09090909090909
5,204,729,552,34.54545454545455
5,205,968,503,44.90909090909091
5,206,806,625,41.45454545454545
5,207,837,537,24.18181818181818
5,208,781,604,24.18181818181818
5,209,776,650,27.636363636363637
5,210,827,745,44.90909090909091
5,211,968,776,31.09090909090909
5,212,761,828,41.45454545454545
5,213,734,874,34.54545454545455
5,214,694,892,44.90909090909091
5,215,596,823,27.636363636363637
5,216,577,846,34.54545454545455
5,217,619,857,38.0
5,218,622,779,24.18181818181818
5,219,536,845,62.18181818181818
5,220,542,819,27.636363636363637
5,221,562,896,44.90909090909091
5,222,570,927,44.90909090909091
5,223,628,941,31.09090909090909
5,224,535,967,44.90909090909091
5,225,497,886,44.90909090909091
5,226,523,914,34.54545454545455
5,227,591,868,20.727272727272727
5,228,663,899,51.81818181818181
5,229,820,972,41.45454545454545
5,230,701,978,34.54545454545455
5,231,774,978,17.272727272727273
5,232,930,929,34.54545454545455
5,233,852,936,27.636363636363637
5,234,870,951,27.636363636363637
5,235,848,863,24.18181818181818
5,236,738,763,38.0
5,237,801,680,38.0
5,238,661,600,48.36363636363636
5,239,645,690,69.0909090909091
5,240,536,629,20.727272727272727
5,241,554,687,17.272727272727273
5,242,701,694,17.272727272727273
5,243,579,780,13.818181818181818
5,244,909,681,31.09090909090909
5,245,936,534,44.90909090909091
