Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,36,33,17.272727272727273
1,2,46,8,13.818181818181818
1,3,15,130,20.727272727272727
1,4,19,82,17.272727272727273
1,5,32,69,20.727272727272727
1,6,89,133,20.727272727272727
1,7,93,245,55.27272727272727
1,8,206,347,58.72727272727273
1,9,265,312,48.36363636363636
1,10,336,224,55.27272727272727
1,11,315,212,31.09090909090909
1,12,301,214,20.727272727272727
1,13,225,176,51.81818181818181
1,14,262,97,27.636363636363637
1,15,252,47,34.54545454545455
1,16,330,44,51.81818181818181
1,17,230,21,20.727272727272727
1,18,161,155,17.272727272727273
1,19,184,14,20.727272727272727
1,20,243,69,20.727272727272727
1,21,197,94,13.818181818181818
1,22,276,107,27.636363636363637
1,23,288,72,41.45454545454545
1,24,282,42,34.54545454545455
1,25,78,179,17.272727272727273
1,26,3,266,20.727272727272727
1,27,77,300,38.0
1,28,85,343,27.636363636363637
1,29,36,345,38.0
1,30,52,401,51.81818181818181
1,31,19,376,13.818181818181818
1,32,9,452,34.54545454545455
1,33,18,416,51.81818181818181
1,34,2,357,17.272727272727273
1,35,149,274,27.636363636363637
1,36,211,308,17.272727272727273
1,37,286,366,10.363636363636363
1,38,378,382,48.36363636363636
1,39,377,360,27.636363636363637
1,40,430,453,44.90909090909091
1,41,308,485,24.18181818181818
1,42,212,482,31.09090909090909
1,43,97,458,24.18181818181818
1,44,238,442,17.272727272727273
1,45,303,433,17.272727272727273
1,46,296,406,17.272727272727273
1,47,264,389,13.818181818181818
1,48,289,348,17.272727272727273
1,49,303,322,17.272727272727273
1,50,259,241,24.18181818181818
1,51,77,213,20.727272727272727
1,52,26,277,20.727272727272727
1,53,147,437,20.727272727272727
1,54,359,414,20.727272727272727
1,55,470,377,27.636363636363637
1,56,478,361,20.727272727272727
1,57,462,302,34.54545454545455
1,58,57,170,31.09090909090909
1,59,32,225,20.727272727272727
1,60,264,353,20.727272727272727
1,61,316,348,13.818181818181818
1,62,339,310,13.818181818181818
1,63,374,313,17.272727272727273
1,64,413,350,10.363636363636363
1,65,68,463,31.09090909090909
1,66,264,134,13.818181818181818
1,67,187,176,27.636363636363637
1,68,45,96,17.272727272727273
1,69,473,123,20.727272727272727
1,70,358,120,17.272727272727273
1,71,367,448,27.636363636363637
1,72,393,407,24.18181818181818
1,73,99,480,10.363636363636363
1,74,317,67,24.18181818181818
1,75,156,116,13.818181818181818
1,76,434,222,13.818181818181818
1,77,338,431,38.0
2,78,494,90,72.54545454545455
2,79,503,14,34.54545454545455
2,80,613,77,27.636363636363637
2,81,590,77,17.272727272727273
2,82,567,183,27.636363636363637
2,83,601,133,20.727272727272727
2,84,881,81,48.36363636363636
2,85,683,95,17.272727272727273
2,86,583,18,13.818181818181818
2,87,637,296,58.72727272727273
2,88,642,420,51.81818181818181
2,89,774,389,51.81818181818181
2,90,719,407,27.636363636363637
2,91,571,458,27.636363636363637
2,92,525,429,10.363636363636363
2,93,508,348,27.636363636363637
2,94,525,307,82.9090909090909
2,95,569,332,24.18181818181818
2,96,564,360,17.272727272727273
2,97,581,259,17.272727272727273
2,98,525,258,20.727272727272727
2,99,514,181,31.09090909090909
2,100,568,219,17.272727272727273
2,101,635,150,13.818181818181818
2,102,638,129,10.363636363636363
2,103,552,68,13.818181818181818
2,104,775,5,31.09090909090909
2,105,900,21,20.727272727272727
2,106,936,53,20.727272727272727
2,107,958,49,13.818181818181818
2,108,920,59,13.818181818181818
2,109,843,70,17.272727272727273
2,110,862,69,10.363636363636363
2,111,862,92,20.727272727272727
2,112,937,201,20.727272727272727
2,113,896,195,13.818181818181818
2,114,938,267,65.63636363636364
2,115,814,311,13.818181818181818
2,116,865,370,20.727272727272727
2,117,897,453,27.636363636363637
2,118,892,325,27.636363636363637
2,119,914,351,24.18181818181818
2,120,936,352,20.727272727272727
2,121,939,319,13.818181818181818
2,122,847,366,13.818181818181818
2,123,790,340,17.272727272727273
2,124,805,416,13.818181818181818
2,125,858,433,17.272727272727273
2,126,763,432,17.272727272727273
2,127,745,421,10.363636363636363
2,128,684,433,20.727272727272727
2,129,697,469,13.818181818181818
2,130,735,485,31.09090909090909
2,131,595,477,17.272727272727273
2,132,609,470,17.272727272727273
2,133,628,346,17.272727272727273
2,134,617,270,13.818181818181818
2,135,645,263,10.363636363636363
2,136,710,274,13.818181818181818
2,137,545,349,10.363636363636363
2,138,615,31,10.363636363636363
2,139,527,142,17.272727272727273
2,140,827,219,20.727272727272727
2,141,674,151,6.909090909090909
2,142,768,69,10.363636363636363
2,143,839,13,10.363636363636363
2,144,879,52,13.818181818181818
2,145,951,158,20.727272727272727
2,146,852,297,41.45454545454545
2,147,955,333,10.363636363636363
2,148,905,466,10.363636363636363
2,149,961,472,17.272727272727273
2,150,751,463,27.636363636363637
2,151,636,368,13.818181818181818
2,152,587,225,20.727272727272727
2,153,822,161,17.272727272727273
2,154,978,290,10.363636363636363
2,155,979,340,10.363636363636363
2,156,961,245,10.363636363636363
2,157,794,213,93.27272727272727
2,158,674,219,10.363636363636363
2,159,854,383,124.36363636363636
3,160,1109,77,44.90909090909091
3,161,1139,196,69.0909090909091
3,162,1191,203,31.09090909090909
3,163,1205,218,24.18181818181818
3,164,1239,244,34.54545454545455
3,165,1243,225,76.0
3,166,1218,127,34.54545454545455
3,167,1270,79,24.18181818181818
3,168,1373,34,34.54545454545455
3,169,1063,71,27.636363636363637
3,170,1160,97,20.727272727272727
3,171,1256,184,31.09090909090909
3,172,1201,312,27.636363636363637
3,173,1172,269,17.272727272727273
3,174,1156,281,20.727272727272727
3,175,1080,242,17.272727272727273
3,176,1076,258,20.727272727272727
3,177,996,386,13.818181818181818
3,178,990,417,20.727272727272727
3,179,999,446,96.72727272727272
3,180,1028,429,44.90909090909091
3,181,1172,445,27.636363636363637
3,182,1180,476,31.09090909090909
3,183,1241,458,44.90909090909091
3,184,1199,399,24.18181818181818
3,185,1283,407,27.636363636363637
3,186,1048,408,17.272727272727273
3,187,1112,321,13.818181818181818
3,188,1129,360,13.818181818181818
3,189,1215,374,10.363636363636363
3,190,1106,242,10.363636363636363
3,191,1118,136,10.363636363636363
3,192,1145,58,10.363636363636363
3,193,1203,59,17.272727272727273
3,194,1247,329,17.272727272727273
3,195,1354,199,27.636363636363637
3,196,1352,211,17.272727272727273
3,197,1294,315,17.272727272727273
3,198,1388,358,20.727272727272727
3,199,1444,336,24.18181818181818
3,200,1468,358,10.363636363636363
3,201,1417,434,13.818181818181818
3,202,1427,444,17.272727272727273
3,203,1401,473,24.18181818181818
3,204,1368,484,17.272727272727273
3,205,1272,433,13.818181818181818
3,206,1445,164,20.727272727272727
3,207,1323,124,17.272727272727273
3,208,1349,14,13.818181818181818
3,209,1360,10,17.272727272727273
3,210,1426,89,20.727272727272727
3,211,1351,158,10.363636363636363
3,212,993,300,13.818181818181818
3,213,1083,408,24.18181818181818
3,214,1198,301,69.0909090909091
4,215,467,530,44.90909090909091
4,216,458,512,20.727272727272727
4,217,435,579,17.272727272727273
4,218,447,590,24.18181818181818
4,219,467,603,27.636363636363637
4,220,445,550,17.272727272727273
4,221,410,572,20.727272727272727
4,222,395,604,31.09090909090909
4,223,364,577,34.54545454545455
4,224,371,610,24.18181818181818
4,225,332,500,31.09090909090909
4,226,230,497,27.636363636363637
4,227,171,524,20.727272727272727
4,228,79,549,20.727272727272727
4,229,38,557,20.727272727272727
4,230,51,652,62.18181818181818
4,231,94,611,38.0
4,232,123,613,31.09090909090909
4,233,117,648,38.0
4,234,176,650,31.09090909090909
4,235,196,651,27.636363636363637
4,236,219,649,13.818181818181818
4,237,218,678,27.636363636363637
4,238,195,619,20.727272727272727
4,239,61,701,24.18181818181818
4,240,72,689,20.727272727272727
4,241,167,760,44.90909090909091
4,242,246,722,48.36363636363636
4,243,248,799,51.81818181818181
4,244,31,748,24.18181818181818
4,245,87,782,20.727272727272727
4,246,130,522,41.45454545454545
4,247,328,606,17.272727272727273
4,248,382,666,17.272727272727273
4,249,394,740,31.09090909090909
4,250,417,753,20.727272727272727
4,251,461,718,27.636363636363637
4,252,437,651,27.636363636363637
4,253,37,913,17.272727272727273
4,254,40,898,13.818181818181818
4,255,51,921,17.272727272727273
4,256,155,833,27.636363636363637
