Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,88,88,133.0
1,2,39,41,95.0
1,3,8,172,95.0
1,4,17,194,76.0
1,5,13,279,114.0
1,6,87,198,114.0
1,7,81,151,95.0
1,8,120,175,95.0
1,9,96,140,95.0
1,10,113,265,133.0
1,11,82,306,95.0
1,12,67,378,152.0
1,13,107,370,95.0
1,14,106,366,38.0
1,15,109,356,57.0
1,16,172,388,114.0
1,17,166,417,95.0
1,18,268,377,133.0
1,19,334,377,95.0
1,20,384,388,171.0
1,21,320,404,76.0
1,22,383,264,95.0
1,23,406,293,76.0
1,24,354,274,114.0
1,25,189,265,114.0
1,26,148,342,76.0
1,27,151,382,57.0
1,28,150,370,38.0
1,29,210,333,57.0
1,30,344,106,76.0
1,31,362,140,76.0
1,32,202,190,57.0
1,33,175,205,57.0
1,34,155,206,95.0
1,35,168,164,57.0
1,36,175,75,114.0
1,37,109,59,76.0
1,38,115,70,57.0
1,39,100,64,38.0
1,40,113,14,190.0
1,41,154,19,76.0
1,42,322,14,95.0
1,43,335,6,95.0
1,44,366,8,76.0
1,45,386,27,57.0
1,46,24,348,76.0
1,47,56,349,114.0
1,48,278,86,76.0
1,49,247,93,76.0
1,50,241,191,76.0
1,51,285,175,76.0
1,52,364,207,95.0
1,53,363,177,57.0
1,54,248,366,95.0
1,55,289,357,95.0
1,56,17,94,76.0
1,57,43,85,57.0
1,58,63,95,95.0
1,59,96,115,57.0
2,60,455,78,171.0
2,61,492,121,76.0
2,62,440,117,114.0
2,63,468,13,95.0
2,64,520,33,114.0
2,65,540,43,57.0
2,66,558,15,95.0
2,67,650,68,114.0
2,68,605,4,38.0
2,69,650,11,95.0
2,70,604,22,57.0
2,71,615,105,114.0
2,72,602,110,38.0
2,73,727,30,133.0
2,74,458,268,228.0
2,75,425,260,95.0
2,76,490,264,133.0
2,77,516,283,247.00000000000003
2,78,557,286,114.0
2,79,471,279,76.0
2,80,476,315,95.0
2,81,424,377,114.0
2,82,473,374,76.0
2,83,519,377,76.0
2,84,560,362,114.0
2,85,625,388,171.0
2,86,595,401,114.0
2,87,655,358,190.0
2,88,711,412,171.0
2,89,712,381,114.0
2,90,819,386,171.0
2,91,831,273,171.0
2,92,783,268,95.0
2,93,753,235,95.0
2,94,745,287,95.0
2,95,630,204,152.0
2,96,716,205,133.0
2,97,652,278,114.0
2,98,633,294,95.0
2,99,657,294,76.0
2,100,694,275,76.0
2,101,545,204,76.0
2,102,662,167,76.0
2,103,755,144,95.0
2,104,746,101,133.0
2,105,731,68,114.0
