Square_number,Circle_number,Center_x,Center_y,Diameter_nm
1,4,72,20,
1,15,86,20,
1,15,163,20,
1,15,367,20,
1,19,353,60,
1,21,182,10,
1,21,254,20,
1,27,359,30,
1,32,307,30,
1,77,178,40,
1,78,332,30,
1,81,5,10,
1,82,349,20,
1,85,278,60,
1,87,91,50,
1,95,75,40,
1,103,248,10,
1,105,162,30,
1,108,261,0,
1,109,275,10,
1,123,338,10,
1,127,215,20,
1,146,383,10,
1,153,384,50,
1,159,93,40,
1,167,165,10,
1,167,209,20,
1,173,83,10,
1,174,325,20,
1,175,4,20,
1,177,174,60,
1,177,363,20,
1,178,220,10,
1,179,113,50,
1,179,159,10,
1,186,195,20,
1,191,20,10,
1,192,277,10,
1,193,78,10,
1,195,180,10,
1,213,187,30,
1,216,371,10,
1,227,184,20,
1,245,239,50,
1,247,99,60,
1,249,383,30,
1,252,170,20,
1,253,270,40,
1,254,190,50,
1,259,76,30,
1,259,345,80,
1,260,6,100,
1,262,150,20,
1,262,249,30,
1,271,176,30,
1,276,250,20,
1,284,90,10,
1,287,262,20,
1,310,82,30,
1,310,138,50,
1,315,364,10,
1,323,193,30,
1,327,283,10,
1,335,360,40,
1,340,186,20,
1,342,340,10,
1,345,264,40,
1,349,329,10,
1,351,93,30,
1,352,17,20,
1,354,372,30,
1,357,7,20,
1,360,187,20,
1,363,95,10,
1,367,357,10,
1,375,229,30,
1,380,176,30,
1,393,366,30,
2,425,174,90,
2,425,329,50,
2,428,12,10,
2,433,91,40,
2,435,331,20,
2,440,157,20,
2,440,366,30,
2,441,267,30,
2,442,360,50,
2,463,217,30,
2,477,213,20,
2,494,280,0,
2,497,358,20,
2,501,265,10,
2,507,75,20,
2,507,371,20,
2,508,190,50,
2,514,89,40,
2,518,368,20,
2,520,18,20,
2,520,166,80,
2,520,338,30,
2,523,251,20,
2,525,308,30,
2,529,287,10,
2,531,246,10,
2,534,369,20,
2,550,55,20,
2,564,311,40,
2,577,162,50,
2,577,263,30,
2,579,171,0,
2,585,268,20,
2,586,91,30,
2,589,14,20,
2,589,361,20,
2,598,178,10,
2,599,69,10,
2,604,183,10,
2,609,345,40,
2,613,247,10,
2,614,10,40,
2,615,240,20,
2,625,329,40,
2,635,201,30,
2,672,335,30,
2,675,109,20,
2,678,174,40,
2,682,78,60,
2,688,254,10,
2,692,150,30,
2,694,186,20,
2,696,348,20,
2,697,267,30,
2,704,180,70,
2,706,80,20,
2,708,14,10,
2,712,174,0,
2,724,313,30,
2,731,211,20,
2,735,345,20,
2,759,178,20,
2,761,12,30,
2,767,340,70,
2,770,91,30,
2,776,247,40,
2,779,283,30,
2,796,310,70,
3,807,203,20,
3,811,316,60,
3,816,95,0,
3,825,93,30,
3,826,149,20,
3,836,177,10,
3,838,195,20,
3,845,142,20,
3,847,266,40,
3,851,89,30,
3,852,195,10,
3,855,353,70,
3,863,168,40,
3,872,108,20,
3,873,245,10,
3,874,272,30,
3,883,49,20,
3,922,274,40,
3,936,375,30,
3,937,165,20,
3,943,9,60,
3,945,255,20,
3,947,90,80,
3,947,338,50,
3,947,373,30,
3,948,68,10,
3,958,195,20,
3,959,183,60,
3,960,20,10,
3,960,257,30,
3,965,369,10,
3,990,250,40,
3,997,277,20,
3,999,330,10,
3,1006,22,10,
3,1009,80,20,
3,1011,337,20,
3,1014,240,30,
3,1034,154,20,
3,1037,183,40,
3,1038,342,10,
3,1039,260,40,
3,1041,248,0,
3,1065,268,30,
3,1068,294,40,
3,1089,246,10,
3,1102,23,50,
3,1103,177,20,
3,1110,114,20,
3,1112,21,10,
3,1113,175,70,
3,1114,96,10,
3,1115,275,50,
3,1125,345,50,
3,1126,362,30,
3,1127,247,20,
3,1136,98,20,
3,1138,187,30,
3,1143,121,0,
3,1153,371,20,
3,1174,392,10,
3,1186,156,10,
3,1196,6,50,
4,7,589,30,
4,9,611,20,
4,11,696,110,
4,12,515,80,
4,19,423,20,
4,26,779,20,
4,34,442,20,
4,74,701,10,
4,78,439,50,
4,81,434,10,
4,89,778,30,
4,90,613,30,
4,94,711,30,
4,98,484,10,
4,100,518,40,
4,101,467,30,
4,118,443,20,
4,141,582,30,
4,161,699,20,
4,163,524,50,
4,165,672,10,
4,168,444,20,
4,170,611,10,
4,171,792,20,
4,178,722,20,
4,179,638,10,
4,179,647,20,
4,184,677,20,
4,185,443,30,
4,186,687,20,
4,190,543,20,
4,202,519,20,
4,237,534,40,
4,241,720,20,
4,242,583,40,
4,242,786,30,
4,247,627,20,
4,248,429,20,
4,249,416,10,
4,252,796,10,
4,260,600,20,
4,261,780,20,
4,269,702,40,
4,272,417,30,
4,283,707,20,
4,324,688,20,
4,332,604,40,
4,333,433,20,
4,333,514,30,
4,353,609,30,
4,357,530,30,
4,358,700,30,
4,368,438,20,
4,386,471,20,
4,388,457,20,
5,418,427,50,
5,419,768,30,
5,426,451,10,
5,426,610,50,
5,427,494,30,
5,427,526,20,
5,432,694,20,
5,434,584,30,
5,440,451,20,
5,441,791,20,
5,442,776,20,
5,447,474,30,
5,451,694,10,
5,477,448,10,
5,486,571,30,
5,492,566,20,
5,494,432,30,
5,496,618,30,
5,501,587,40,
5,505,451,70,
5,505,624,10,
5,506,509,60,
5,509,680,80,
5,517,777,90,
5,522,426,30,
5,523,535,50,
5,524,582,50,
5,525,458,0,
5,530,450,20,
5,534,617,10,
5,558,545,10,
5,571,587,10,
5,577,776,20,
5,580,684,20,
5,581,618,30,
5,583,704,10,
5,598,699,30,
5,599,529,80,
5,602,429,20,
5,603,711,20,
5,606,618,20,
5,608,600,30,
5,608,629,30,
5,608,677,20,
5,670,783,20,
5,671,596,40,
5,671,770,20,
5,681,629,20,
5,690,623,10,
5,692,449,20,
5,694,464,20,
5,696,522,100,
5,697,696,90,
5,704,790,20,
5,708,425,10,
5,720,613,50,
5,727,756,20,
5,731,534,30,
5,742,782,40,
5,744,522,30,
5,761,776,40,
5,764,439,20,
5,771,686,70,
5,777,531,60,
5,778,446,30,
5,778,600,50,
5,789,587,50,
5,790,428,40,
5,790,794,50,
5,791,510,70,
5,793,419,20,
