Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,281,89,0.0
1,2,286,105,190.0
1,3,262,70,114.0
1,4,167,80,76.0
1,5,185,101,76.0
1,6,186,119,57.0
1,7,99,113,76.0
1,8,99,84,76.0
1,9,74,86,76.0
1,10,28,28,95.0
1,11,17,89,76.0
1,12,14,152,95.0
1,13,80,203,76.0
1,14,107,179,76.0
1,15,83,168,57.0
1,16,89,252,76.0
1,17,65,279,57.0
1,18,65,266,76.0
1,19,158,289,190.0
1,20,60,374,76.0
1,21,67,391,57.0
1,22,109,382,95.0
1,23,75,371,76.0
1,24,78,343,38.0
1,25,259,386,114.0
1,26,261,347,57.0
1,27,181,378,57.0
1,28,151,366,57.0
1,29,162,178,152.0
1,30,181,167,57.0
1,31,181,250,57.0
1,32,191,270,38.0
1,33,194,283,57.0
1,34,261,240,57.0
1,35,263,167,114.0
1,36,252,183,57.0
1,37,277,197,76.0
1,38,352,292,76.0
1,39,369,298,95.0
1,40,357,206,114.0
1,41,367,179,95.0
1,42,368,82,57.0
1,43,352,29,114.0
1,44,334,95,38.0
1,45,348,112,57.0
1,46,363,260,76.0
1,47,354,354,95.0
1,48,363,383,57.0
1,49,375,375,38.0
1,50,279,276,38.0
1,51,271,295,76.0
1,52,246,14,57.0
1,53,197,11,76.0
1,54,191,20,57.0
2,55,432,30,95.0
2,56,435,98,76.0
2,57,462,114,76.0
2,58,460,202,133.0
2,59,433,286,57.0
2,60,463,278,38.0
2,61,466,373,76.0
2,62,445,350,57.0
2,63,435,377,76.0
2,64,560,361,76.0
2,65,541,386,95.0
2,66,528,349,95.0
2,67,551,291,38.0
2,68,562,275,38.0
2,69,523,288,57.0
2,70,521,189,95.0
2,71,558,216,76.0
2,72,548,178,76.0
2,73,574,211,57.0
2,74,588,231,38.0
2,75,537,116,95.0
2,76,546,69,57.0
2,77,591,112,95.0
2,78,611,145,76.0
2,79,627,121,114.0
2,80,654,189,95.0
2,81,615,169,76.0
2,82,624,208,95.0
2,83,659,267,57.0
2,84,647,281,95.0
2,85,617,260,57.0
2,86,649,390,95.0
2,87,609,384,114.0
2,88,614,352,38.0
2,89,638,77,95.0
2,90,741,88,95.0
2,91,708,108,114.0
2,92,744,187,95.0
2,93,712,164,95.0
2,94,736,264,114.0
2,95,707,279,76.0
2,96,749,383,152.0
2,97,735,345,114.0
2,98,728,396,76.0
2,99,719,359,57.0
2,100,695,347,38.0
2,101,796,269,133.0
2,102,836,283,76.0
2,103,795,369,95.0
2,104,835,358,57.0
2,105,836,380,76.0
2,106,816,203,114.0
2,107,799,169,76.0
2,108,791,187,76.0
2,109,803,113,76.0
2,110,830,96,57.0
2,111,820,64,76.0
2,112,810,67,57.0
2,113,795,89,76.0
2,114,817,22,95.0
2,115,735,19,76.0
3,116,912,78,95.0
3,117,941,88,76.0
3,118,943,244,95.0
3,119,922,266,57.0
3,120,891,263,57.0
3,121,909,322,133.0
3,122,887,367,114.0
3,123,926,386,38.0
3,124,901,392,19.0
3,125,1013,187,95.0
3,126,1047,221,95.0
3,127,1030,206,38.0
3,128,1016,208,38.0
3,129,1023,214,57.0
3,130,1018,93,114.0
3,131,991,71,38.0
3,132,972,94,76.0
3,133,1004,111,38.0
3,134,985,257,57.0
3,135,1011,275,57.0
3,136,986,291,95.0
3,137,993,341,38.0
3,138,1090,247,76.0
3,139,1110,250,38.0
3,140,1128,306,76.0
3,141,1078,289,57.0
3,142,1075,256,57.0
3,143,1081,197,95.0
3,144,1089,160,38.0
3,145,1076,83,95.0
3,146,1102,107,38.0
3,147,1090,348,76.0
3,148,1179,291,95.0
3,149,1165,254,57.0
3,150,1159,281,76.0
3,151,1194,181,95.0
3,152,1163,174,76.0
3,153,1181,72,95.0
3,154,1202,97,57.0
3,155,1160,94,76.0
3,156,1253,377,57.0
3,157,1204,361,57.0
3,158,1173,341,57.0
3,159,1086,20,57.0
3,160,984,16,76.0
4,161,261,442,95.0
4,162,151,465,152.0
4,163,171,436,57.0
4,164,56,501,684.0
4,165,68,474,76.0
4,166,101,452,76.0
4,167,109,545,114.0
4,168,87,576,76.0
4,169,108,523,57.0
4,170,101,636,57.0
4,171,70,628,114.0
4,172,55,635,76.0
4,173,187,729,133.0
4,174,256,624,76.0
4,175,281,560,95.0
4,176,246,556,76.0
4,177,261,480,114.0
4,178,230,699,57.0
4,179,246,731,95.0
4,180,264,753,95.0
4,181,245,832,76.0
4,182,89,800,114.0
4,183,102,832,95.0
4,184,83,751,95.0
4,185,93,649,114.0
4,186,327,733,114.0
4,187,386,737,38.0
4,188,350,802,57.0
4,189,342,621,57.0
4,190,375,660,76.0
4,191,178,628,57.0
4,192,194,651,76.0
4,193,163,533,95.0
4,194,192,560,57.0
4,195,153,549,38.0
4,196,359,466,57.0
4,197,341,535,76.0
4,198,374,565,95.0
4,199,377,623,57.0
4,200,408,676,76.0
4,201,286,818,76.0
5,202,563,555,133.0
5,203,467,548,152.0
5,204,432,637,133.0
5,205,465,744,133.0
5,206,536,812,57.0
5,207,561,750,76.0
5,208,547,663,114.0
5,209,532,619,76.0
5,210,564,458,76.0
5,211,528,442,95.0
5,212,522,460,76.0
5,213,620,442,95.0
5,214,650,469,114.0
5,215,656,563,76.0
5,216,654,539,38.0
5,217,616,567,76.0
5,218,613,534,57.0
5,219,641,666,95.0
5,220,654,647,38.0
5,221,629,628,76.0
5,222,636,751,57.0
5,223,627,762,38.0
5,224,646,728,38.0
5,225,627,808,95.0
5,226,803,450,76.0
5,227,835,439,57.0
5,228,810,437,57.0
5,229,742,456,76.0
5,230,731,522,57.0
5,231,727,575,114.0
5,232,707,547,76.0
5,233,745,654,114.0
5,234,707,633,57.0
5,235,713,664,114.0
5,236,722,708,38.0
5,237,704,733,57.0
5,238,627,686,57.0
5,239,729,840,95.0
5,240,721,800,38.0
5,241,810,804,95.0
5,242,822,717,57.0
5,243,834,643,95.0
5,244,797,654,57.0
5,245,812,615,57.0
5,246,796,543,76.0
5,247,832,547,57.0
