Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,261,188,133.0
1,2,353,187,133.0
1,3,262,278,95.0
1,4,358,279,171.0
1,5,263,375,152.0
1,6,412,396,133.0
1,7,260,97,38.0
2,8,535,185,152.0
2,9,449,280,133.0
2,10,819,370,171.0
2,11,636,278,152.0
2,12,447,371,114.0
3,13,998,273,76.0
3,14,1054,369,57.0
4,15,359,643,133.0
4,16,262,552,152.0
4,17,173,555,152.0
4,18,179,461,114.0
4,19,84,552,133.0
4,20,173,645,190.0
4,21,268,641,171.0
4,22,85,645,133.0
5,23,729,552,209.00000000000003
5,24,817,459,152.0
5,25,584,426,57.0
5,26,549,648,114.0
5,27,725,722,114.0
5,28,816,724,114.0
5,29,643,823,114.0
5,30,536,821,152.0
5,31,542,738,133.0
5,32,449,736,95.0
5,33,492,744,57.0
5,34,444,458,95.0
5,35,453,552,133.0
