Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,366,67,95.0
1,2,256,131,95.0
1,3,376,287,95.0
1,4,54,196,95.0
1,5,36,101,95.0
1,6,253,34,95.0
1,7,321,349,57.0
1,8,286,189,76.0
1,9,234,409,57.0
1,10,257,405,57.0
1,11,251,350,76.0
1,12,227,283,57.0
1,13,265,315,76.0
2,14,838,218,76.0
2,15,779,189,95.0
2,16,463,74,152.0
2,17,504,24,76.0
2,18,554,306,38.0
2,19,786,298,76.0
2,20,503,99,95.0
2,21,696,153,76.0
3,22,998,225,57.0
3,23,1012,233,95.0
3,24,1155,269,76.0
3,25,1153,365,76.0
3,26,1143,16,38.0
3,27,1059,89,57.0
3,28,1210,20,38.0
3,29,927,176,95.0
4,30,85,679,76.0
4,31,415,471,95.0
4,32,279,719,57.0
4,33,146,812,76.0
4,34,136,606,57.0
4,35,45,647,76.0
4,36,227,655,38.0
5,37,598,635,95.0
5,38,680,722,76.0
5,39,794,806,57.0
5,40,838,655,95.0
5,41,788,634,76.0
5,42,450,439,95.0
5,43,798,606,76.0
5,44,495,795,57.0
5,45,485,820,38.0
