"ITO_unprocesesd_3.spc - RawData"
"”g’· (nm)","T%"
350.00,65.947
351.00,66.268
352.00,66.779
353.00,67.397
354.00,68.033
355.00,68.643
356.00,69.162
357.00,69.700
358.00,70.260
359.00,70.828
360.00,71.429
361.00,72.143
362.00,72.896
363.00,73.659
364.00,74.336
365.00,74.970
366.00,75.583
367.00,76.167
368.00,76.743
369.00,77.278
370.00,77.913
371.00,78.539
372.00,79.226
373.00,79.804
374.00,80.394
375.00,80.922
376.00,81.467
377.00,81.992
378.00,82.544
379.00,83.143
380.00,83.771
381.00,84.423
382.00,85.017
383.00,85.635
384.00,86.232
385.00,86.854
386.00,87.423
387.00,87.999
388.00,88.471
389.00,88.998
390.00,89.443
391.00,89.877
392.00,90.184
393.00,90.435
394.00,90.627
395.00,90.745
396.00,90.842
397.00,90.907
398.00,91.038
399.00,91.111
400.00,91.119
401.00,90.993
402.00,90.832
403.00,90.672
404.00,90.460
405.00,90.227
406.00,90.008
407.00,89.816
408.00,89.745
409.00,89.633
410.00,89.498
411.00,89.254
412.00,89.034
413.00,88.824
414.00,88.636
415.00,88.415
416.00,88.225
417.00,87.950
418.00,87.685
419.00,87.462
420.00,87.278
421.00,87.094
422.00,86.834
423.00,86.561
424.00,86.272
425.00,85.997
426.00,85.691
427.00,85.433
428.00,85.184
429.00,84.957
430.00,84.784
431.00,84.600
432.00,84.421
433.00,84.134
434.00,83.833
435.00,83.543
436.00,83.264
437.00,82.984
438.00,82.701
439.00,82.420
440.00,82.159
441.00,81.946
442.00,81.882
443.00,81.827
444.00,81.786
445.00,81.668
446.00,81.559
447.00,81.464
448.00,81.392
449.00,81.353
450.00,81.309
451.00,81.266
452.00,81.252
453.00,81.269
454.00,81.296
455.00,81.404
456.00,81.532
457.00,81.677
458.00,81.780
459.00,81.854
460.00,81.923
461.00,81.977
462.00,82.065
463.00,82.182
464.00,82.282
465.00,82.398
466.00,82.502
467.00,82.642
468.00,82.904
469.00,83.162
470.00,83.448
471.00,83.647
472.00,83.884
473.00,84.110
474.00,84.343
475.00,84.601
476.00,84.858
477.00,85.100
478.00,85.312
479.00,85.479
480.00,85.629
481.00,85.755
482.00,85.859
483.00,85.926
484.00,86.073
485.00,86.236
486.00,86.414
487.00,86.504
488.00,86.607
489.00,86.699
490.00,86.784
491.00,86.896
492.00,86.999
493.00,87.117
494.00,87.203
495.00,87.344
496.00,87.508
497.00,87.698
498.00,87.882
499.00,88.062
500.00,88.228
501.00,88.497
502.00,88.786
503.00,89.119
504.00,89.332
505.00,89.502
506.00,89.664
507.00,89.783
508.00,89.926
509.00,90.044
510.00,90.211
511.00,90.374
512.00,90.533
513.00,90.691
514.00,90.833
515.00,91.002
516.00,91.179
517.00,91.364
518.00,91.506
519.00,91.606
520.00,91.717
521.00,91.821
522.00,92.058
523.00,92.274
524.00,92.491
525.00,92.622
526.00,92.728
527.00,92.806
528.00,92.834
529.00,92.850
530.00,92.870
531.00,92.892
532.00,92.928
533.00,92.967
534.00,92.991
535.00,93.029
536.00,93.074
537.00,93.143
538.00,93.172
539.00,93.179
540.00,93.183
541.00,93.199
542.00,93.226
543.00,93.246
544.00,93.270
545.00,93.301
546.00,93.318
547.00,93.315
548.00,93.319
549.00,93.299
550.00,93.240
551.00,93.147
552.00,93.073
553.00,93.150
554.00,93.217
555.00,93.282
556.00,93.245
557.00,93.230
558.00,93.205
559.00,93.152
560.00,93.103
561.00,93.023
562.00,92.953
563.00,92.883
564.00,92.897
565.00,92.949
566.00,93.045
567.00,93.161
568.00,93.295
569.00,93.440
570.00,93.581
571.00,93.706
572.00,93.801
573.00,93.834
574.00,93.801
575.00,93.685
576.00,93.498
577.00,93.269
578.00,92.947
579.00,92.589
580.00,92.146
581.00,91.709
582.00,91.265
583.00,90.837
584.00,90.406
585.00,90.003
586.00,89.650
587.00,89.376
588.00,89.115
589.00,88.883
590.00,88.675
591.00,88.520
592.00,88.401
593.00,88.307
594.00,88.206
595.00,88.124
596.00,88.026
597.00,87.942
