"ITO_010PER_5.spc - RawData"
"”g’· (nm)","T%"
350.00,66.619
351.00,66.976
352.00,67.518
353.00,68.141
354.00,68.771
355.00,69.417
356.00,69.980
357.00,70.567
358.00,71.126
359.00,71.735
360.00,72.365
361.00,73.092
362.00,73.825
363.00,74.558
364.00,75.241
365.00,75.889
366.00,76.546
367.00,77.162
368.00,77.749
369.00,78.300
370.00,78.934
371.00,79.560
372.00,80.376
373.00,81.121
374.00,81.907
375.00,82.474
376.00,83.027
377.00,83.544
378.00,84.090
379.00,84.691
380.00,85.297
381.00,85.920
382.00,86.505
383.00,87.124
384.00,87.749
385.00,88.363
386.00,88.928
387.00,89.468
388.00,89.908
389.00,90.392
390.00,90.801
391.00,91.221
392.00,91.524
393.00,91.795
394.00,91.995
395.00,92.116
396.00,92.186
397.00,92.225
398.00,92.324
399.00,92.348
400.00,92.345
401.00,92.223
402.00,92.084
403.00,91.929
404.00,91.709
405.00,91.495
406.00,91.259
407.00,91.058
408.00,90.927
409.00,90.771
410.00,90.611
411.00,90.360
412.00,90.128
413.00,89.902
414.00,89.686
415.00,89.454
416.00,89.204
417.00,88.900
418.00,88.591
419.00,88.347
420.00,88.130
421.00,87.925
422.00,87.653
423.00,87.382
424.00,87.092
425.00,86.807
426.00,86.524
427.00,86.257
428.00,86.019
429.00,85.761
430.00,85.587
431.00,85.398
432.00,85.214
433.00,84.925
434.00,84.642
435.00,84.390
436.00,84.161
437.00,83.908
438.00,83.651
439.00,83.394
440.00,83.167
441.00,82.989
442.00,82.916
443.00,82.863
444.00,82.815
445.00,82.719
446.00,82.633
447.00,82.561
448.00,82.512
449.00,82.484
450.00,82.453
451.00,82.414
452.00,82.415
453.00,82.430
454.00,82.468
455.00,82.564
456.00,82.674
457.00,82.796
458.00,82.884
459.00,82.963
460.00,83.034
461.00,83.104
462.00,83.217
463.00,83.342
464.00,83.450
465.00,83.576
466.00,83.696
467.00,83.849
468.00,84.071
469.00,84.307
470.00,84.580
471.00,84.787
472.00,85.012
473.00,85.219
474.00,85.443
475.00,85.700
476.00,85.945
477.00,86.162
478.00,86.353
479.00,86.517
480.00,86.667
481.00,86.829
482.00,86.949
483.00,87.054
484.00,87.193
485.00,87.364
486.00,87.541
487.00,87.675
488.00,87.814
489.00,87.956
490.00,88.065
491.00,88.183
492.00,88.306
493.00,88.445
494.00,88.573
495.00,88.727
496.00,88.907
497.00,89.098
498.00,89.293
499.00,89.477
500.00,89.655
501.00,89.891
502.00,90.165
503.00,90.473
504.00,90.685
505.00,90.852
506.00,90.991
507.00,91.126
508.00,91.258
509.00,91.399
510.00,91.560
511.00,91.720
512.00,91.881
513.00,92.041
514.00,92.182
515.00,92.351
516.00,92.514
517.00,92.704
518.00,92.839
519.00,92.937
520.00,93.031
521.00,93.128
522.00,93.336
523.00,93.534
524.00,93.713
525.00,93.821
526.00,93.906
527.00,93.994
528.00,94.036
529.00,94.078
530.00,94.103
531.00,94.120
532.00,94.147
533.00,94.183
534.00,94.223
535.00,94.257
536.00,94.259
537.00,94.282
538.00,94.278
539.00,94.278
540.00,94.284
541.00,94.283
542.00,94.294
543.00,94.293
544.00,94.308
545.00,94.327
546.00,94.333
547.00,94.333
548.00,94.338
549.00,94.313
550.00,94.259
551.00,94.200
552.00,94.137
553.00,94.175
554.00,94.195
555.00,94.236
556.00,94.202
557.00,94.164
558.00,94.108
559.00,94.033
560.00,93.964
561.00,93.877
562.00,93.790
563.00,93.722
564.00,93.714
565.00,93.735
566.00,93.786
567.00,93.848
568.00,93.927
569.00,94.018
570.00,94.106
571.00,94.191
572.00,94.242
573.00,94.236
574.00,94.164
575.00,94.039
576.00,93.892
577.00,93.710
578.00,93.449
579.00,93.151
580.00,92.806
581.00,92.452
582.00,92.090
583.00,91.732
584.00,91.377
585.00,91.033
586.00,90.734
587.00,90.510
588.00,90.298
589.00,90.123
590.00,89.919
591.00,89.767
592.00,89.613
593.00,89.524
594.00,89.438
595.00,89.363
596.00,89.274
597.00,89.183
598.00,89.081
599.00,88.977
600.00,88.844
601.00,88.747
602.00,88.618
603.00,88.527
604.00,88.404
605.00,88.333
606.00,88.246
607.00,88.166
608.00,88.087
609.00,88.018
610.00,87.988
611.00,87.955
612.00,87.923
613.00,87.884
614.00,87.863
615.00,87.847
616.00,87.826
617.00,87.769
618.00,87.703
619.00,87.593
620.00,87.488
621.00,87.384
622.00,87.288
623.00,87.215
624.00,87.132
625.00,87.058
626.00,86.972
627.00,86.828
628.00,86.678
629.00,86.531
630.00,86.461
631.00,86.416
632.00,86.396
633.00,86.364
634.00,86.357
635.00,86.367
636.00,86.420
637.00,86.444
638.00,86.433
639.00,86.399
640.00,86.364
641.00,86.337
642.00,86.275
643.00,86.234
644.00,86.181
645.00,86.169
646.00,86.127
647.00,86.086
648.00,86.049
649.00,85.999
650.00,85.933
651.00,85.866
652.00,85.817
653.00,85.755
654.00,85.689
655.00,85.645
656.00,85.545
657.00,85.436
658.00,85.322
659.00,85.253
660.00,85.191
661.00,85.097
662.00,85.039
663.00,84.980
664.00,84.941
665.00,84.933
666.00,84.926
667.00,84.937
668.00,84.950
669.00,84.958
670.00,84.946
671.00,84.918
672.00,84.916
673.00,84.919
674.00,84.960
675.00,84.910
676.00,84.878
677.00,84.825
678.00,84.849
679.00,84.869
680.00,84.886
681.00,84.925
682.00,84.952
683.00,84.971
684.00,84.981
685.00,84.985
686.00,84.966
687.00,84.924
688.00,84.904
689.00,84.926
690.00,84.872
691.00,84.860
692.00,84.818
693.00,84.902
694.00,84.981
695.00,85.131
696.00,85.257
697.00,85.357
698.00,85.392
699.00,85.425
700.00,85.465
701.00,85.469
702.00,85.473
703.00,85.357
704.00,85.244
705.00,85.120
706.00,85.074
707.00,85.053
708.00,85.037
709.00,85.046
710.00,85.048
711.00,85.055
712.00,85.071
713.00,85.086
714.00,85.032
715.00,85.002
716.00,84.984
717.00,85.022
718.00,85.032
719.00,85.054
720.00,85.063
721.00,85.067
722.00,85.067
723.00,85.094
724.00,85.102
725.00,85.040
726.00,84.948
727.00,84.844
728.00,84.828
729.00,84.811
730.00,84.839
731.00,84.826
732.00,84.852
733.00,84.846
734.00,84.808
735.00,84.722
736.00,84.670
737.00,84.656
738.00,84.666
739.00,84.692
740.00,84.724
741.00,84.771
742.00,84.830
743.00,84.840
744.00,84.839
745.00,84.764
746.00,84.736
747.00,84.713
748.00,84.680
749.00,84.656
750.00,84.646
751.00,84.563
752.00,84.483
753.00,84.374
754.00,84.390
755.00,84.409
756.00,84.426
757.00,84.418
758.00,84.400
759.00,84.329
760.00,84.248
761.00,84.177
762.00,84.196
763.00,84.235
764.00,84.266
765.00,84.306
766.00,84.344
767.00,84.306
768.00,84.224
769.00,84.167
770.00,84.146
771.00,84.173
772.00,84.190
773.00,84.241
774.00,84.169
775.00,84.109
776.00,84.054
777.00,84.091
778.00,84.100
779.00,84.080
780.00,83.971
781.00,83.873
782.00,83.792
783.00,83.831
784.00,83.863
785.00,83.915
786.00,83.948
787.00,83.883
788.00,83.803
789.00,83.705
790.00,83.706
791.00,83.695
792.00,83.706
793.00,83.620
