"ITO_020PER_real1.spc - RawData"
"”g’· (nm)","T%"
350.00,66.821
351.00,67.530
352.00,68.569
353.00,69.626
354.00,70.617
355.00,71.526
356.00,72.265
357.00,72.949
358.00,73.603
359.00,74.219
360.00,74.790
361.00,75.380
362.00,75.940
363.00,76.461
364.00,76.870
365.00,77.196
366.00,77.505
367.00,77.722
368.00,77.910
369.00,78.035
370.00,78.206
371.00,78.311
372.00,78.410
373.00,78.423
374.00,78.440
375.00,78.397
376.00,78.354
377.00,78.302
378.00,78.281
379.00,78.324
380.00,78.404
381.00,78.515
382.00,78.616
383.00,78.759
384.00,78.937
385.00,79.127
386.00,79.291
387.00,79.454
388.00,79.590
389.00,79.771
390.00,79.910
391.00,80.057
392.00,80.157
393.00,80.260
394.00,80.334
395.00,80.362
396.00,80.391
397.00,80.397
398.00,80.492
399.00,80.552
400.00,80.631
401.00,80.618
402.00,80.604
403.00,80.589
404.00,80.565
405.00,80.546
406.00,80.526
407.00,80.537
408.00,80.650
409.00,80.763
410.00,80.887
411.00,80.924
412.00,80.986
413.00,81.060
414.00,81.164
415.00,81.269
416.00,81.400
417.00,81.496
418.00,81.598
419.00,81.721
420.00,81.880
421.00,82.060
422.00,82.186
423.00,82.320
424.00,82.421
425.00,82.546
426.00,82.658
427.00,82.774
428.00,82.898
429.00,83.026
430.00,83.219
431.00,83.382
432.00,83.530
433.00,83.579
434.00,83.646
435.00,83.688
436.00,83.768
437.00,83.798
438.00,83.816
439.00,83.814
440.00,83.832
441.00,83.903
442.00,84.052
443.00,84.213
444.00,84.379
445.00,84.496
446.00,84.608
447.00,84.713
448.00,84.828
449.00,84.960
450.00,85.088
451.00,85.213
452.00,85.365
453.00,85.531
454.00,85.713
455.00,85.916
456.00,86.117
457.00,86.312
458.00,86.472
459.00,86.633
460.00,86.776
461.00,86.927
462.00,87.081
463.00,87.257
464.00,87.398
465.00,87.582
466.00,87.758
467.00,87.967
468.00,88.248
469.00,88.515
470.00,88.822
471.00,89.042
472.00,89.287
473.00,89.505
474.00,89.713
475.00,89.929
476.00,90.136
477.00,90.311
478.00,90.463
479.00,90.579
480.00,90.672
481.00,90.764
482.00,90.807
483.00,90.848
484.00,90.925
485.00,91.027
486.00,91.136
487.00,91.181
488.00,91.242
489.00,91.307
490.00,91.358
491.00,91.422
492.00,91.467
493.00,91.529
494.00,91.569
495.00,91.656
496.00,91.738
497.00,91.835
498.00,91.902
499.00,91.984
500.00,92.059
501.00,92.210
502.00,92.372
503.00,92.567
504.00,92.687
505.00,92.770
506.00,92.853
507.00,92.909
508.00,92.990
509.00,93.043
510.00,93.133
511.00,93.241
512.00,93.354
513.00,93.477
514.00,93.582
515.00,93.695
516.00,93.821
517.00,93.936
518.00,94.024
519.00,94.050
520.00,94.093
521.00,94.143
522.00,94.321
523.00,94.475
524.00,94.619
525.00,94.678
526.00,94.767
527.00,94.827
528.00,94.850
529.00,94.850
530.00,94.855
531.00,94.868
532.00,94.881
533.00,94.926
534.00,94.977
535.00,95.015
536.00,95.040
537.00,95.080
538.00,95.111
539.00,95.136
540.00,95.168
541.00,95.204
542.00,95.246
543.00,95.293
544.00,95.342
545.00,95.394
546.00,95.437
547.00,95.467
548.00,95.525
549.00,95.562
550.00,95.572
551.00,95.555
552.00,95.551
553.00,95.656
554.00,95.758
555.00,95.847
556.00,95.875
557.00,95.906
558.00,95.925
559.00,95.944
560.00,95.948
561.00,95.956
562.00,95.942
563.00,95.954
564.00,96.020
565.00,96.123
566.00,96.257
567.00,96.408
568.00,96.557
569.00,96.720
570.00,96.856
571.00,97.026
572.00,97.180
573.00,97.297
574.00,97.315
575.00,97.271
576.00,97.189
577.00,97.100
578.00,96.919
579.00,96.721
580.00,96.447
581.00,96.189
582.00,95.918
583.00,95.680
584.00,95.408
585.00,95.155
586.00,94.915
587.00,94.758
588.00,94.608
589.00,94.484
590.00,94.372
591.00,94.298
592.00,94.258
593.00,94.231
594.00,94.198
595.00,94.172
596.00,94.148
597.00,94.120
598.00,94.076
599.00,94.040
600.00,94.003
601.00,93.991
602.00,93.936
603.00,93.917
604.00,93.893
605.00,93.934
606.00,93.957
607.00,93.977
608.00,94.006
609.00,94.055
610.00,94.145
611.00,94.238
612.00,94.330
613.00,94.431
614.00,94.533
615.00,94.618
616.00,94.685
617.00,94.731
618.00,94.772
619.00,94.760
620.00,94.747
621.00,94.715
622.00,94.687
623.00,94.653
624.00,94.616
625.00,94.564
626.00,94.536
627.00,94.417
628.00,94.290
629.00,94.149
630.00,94.108
631.00,94.107
632.00,94.115
633.00,94.115
634.00,94.140
635.00,94.192
636.00,94.267
637.00,94.320
638.00,94.309
639.00,94.300
640.00,94.288
641.00,94.269
642.00,94.245
643.00,94.194
644.00,94.155
645.00,94.123
646.00,94.092
647.00,94.071
648.00,94.037
649.00,93.991
650.00,93.927
651.00,93.858
652.00,93.800
653.00,93.740
654.00,93.659
655.00,93.590
656.00,93.454
657.00,93.323
658.00,93.184
659.00,93.103
660.00,93.028
661.00,92.935
662.00,92.850
663.00,92.791
664.00,92.738
665.00,92.726
666.00,92.708
667.00,92.732
668.00,92.754
669.00,92.765
670.00,92.750
671.00,92.730
672.00,92.716
673.00,92.732
674.00,92.767
675.00,92.739
676.00,92.714
677.00,92.664
678.00,92.674
679.00,92.672
680.00,92.691
681.00,92.734
682.00,92.760
683.00,92.776
684.00,92.772
685.00,92.751
686.00,92.698
687.00,92.655
688.00,92.634
689.00,92.633
690.00,92.555
691.00,92.481
692.00,92.424
693.00,92.458
694.00,92.521
695.00,92.637
696.00,92.740
697.00,92.815
698.00,92.834
699.00,92.842
700.00,92.871
701.00,92.855
702.00,92.846
703.00,92.713
704.00,92.587
705.00,92.426
706.00,92.344
707.00,92.278
708.00,92.234
709.00,92.214
710.00,92.179
711.00,92.154
712.00,92.129
713.00,92.104
714.00,92.018
715.00,91.948
716.00,91.913
717.00,91.920
718.00,91.908
719.00,91.885
720.00,91.878
721.00,91.845
722.00,91.798
723.00,91.776
724.00,91.756
725.00,91.689
726.00,91.573
727.00,91.454
728.00,91.396
729.00,91.360
730.00,91.352
731.00,91.335
732.00,91.326
733.00,91.326
734.00,91.272
735.00,91.179
736.00,91.090
737.00,91.033
738.00,91.016
739.00,91.001
740.00,91.024
741.00,91.067
742.00,91.143
743.00,91.129
744.00,91.089
745.00,90.946
746.00,90.891
747.00,90.825
748.00,90.813
749.00,90.800
750.00,90.812
751.00,90.720
752.00,90.630
753.00,90.510
754.00,90.508
755.00,90.498
756.00,90.492
757.00,90.471
758.00,90.434
759.00,90.321
760.00,90.223
761.00,90.143
762.00,90.183
763.00,90.210
764.00,90.256
765.00,90.288
766.00,90.321
767.00,90.230
768.00,90.144
769.00,90.094
770.00,90.110
771.00,90.140
772.00,90.137
773.00,90.189
774.00,90.112
775.00,90.045
776.00,89.970
777.00,89.978
778.00,89.996
779.00,89.989
780.00,89.918
781.00,89.824
782.00,89.739
783.00,89.764
784.00,89.807
785.00,89.844
786.00,89.910
787.00,89.861
788.00,89.812
789.00,89.709
790.00,89.673
791.00,89.667
792.00,89.698
793.00,89.683
794.00,89.640
795.00,89.559
796.00,89.563
797.00,89.540
798.00,89.498
799.00,89.389
800.00,89.321
