"ITO_unprocesesd_2nd_1.spc - RawData"
"”g’· (nm)","T%"
350.00,66.806
351.00,67.126
352.00,67.633
353.00,68.273
354.00,68.925
355.00,69.568
356.00,70.077
357.00,70.610
358.00,71.161
359.00,71.765
360.00,72.394
361.00,73.125
362.00,73.879
363.00,74.634
364.00,75.307
365.00,75.927
366.00,76.549
367.00,77.137
368.00,77.716
369.00,78.281
370.00,78.924
371.00,79.526
372.00,80.344
373.00,81.101
374.00,81.882
375.00,82.423
376.00,82.955
377.00,83.486
378.00,84.028
379.00,84.650
380.00,85.262
381.00,85.922
382.00,86.536
383.00,87.207
384.00,87.868
385.00,88.520
386.00,89.101
387.00,89.647
388.00,90.109
389.00,90.648
390.00,91.121
391.00,91.555
392.00,91.853
393.00,92.114
394.00,92.302
395.00,92.401
396.00,92.451
397.00,92.483
398.00,92.600
399.00,92.654
400.00,92.666
401.00,92.518
402.00,92.340
403.00,92.158
404.00,91.938
405.00,91.699
406.00,91.433
407.00,91.205
408.00,91.095
409.00,90.989
410.00,90.851
411.00,90.588
412.00,90.333
413.00,90.095
414.00,89.900
415.00,89.676
416.00,89.434
417.00,89.124
418.00,88.806
419.00,88.587
420.00,88.391
421.00,88.207
422.00,87.926
423.00,87.636
424.00,87.323
425.00,87.035
426.00,86.741
427.00,86.477
428.00,86.220
429.00,85.959
430.00,85.784
431.00,85.582
432.00,85.372
433.00,85.041
434.00,84.725
435.00,84.418
436.00,84.154
437.00,83.843
438.00,83.549
439.00,83.265
440.00,83.009
441.00,82.795
442.00,82.694
443.00,82.649
444.00,82.623
445.00,82.501
446.00,82.393
447.00,82.291
448.00,82.224
449.00,82.167
450.00,82.125
451.00,82.082
452.00,82.087
453.00,82.094
454.00,82.132
455.00,82.218
456.00,82.351
457.00,82.475
458.00,82.566
459.00,82.643
460.00,82.722
461.00,82.809
462.00,82.894
463.00,83.023
464.00,83.123
465.00,83.258
466.00,83.381
467.00,83.526
468.00,83.787
469.00,84.050
470.00,84.368
471.00,84.574
472.00,84.822
473.00,85.059
474.00,85.319
475.00,85.595
476.00,85.850
477.00,86.084
478.00,86.279
479.00,86.444
480.00,86.579
481.00,86.716
482.00,86.812
483.00,86.881
484.00,87.014
485.00,87.159
486.00,87.332
487.00,87.418
488.00,87.518
489.00,87.607
490.00,87.675
491.00,87.766
492.00,87.851
493.00,87.960
494.00,88.049
495.00,88.213
496.00,88.390
497.00,88.593
498.00,88.755
499.00,88.939
500.00,89.116
501.00,89.382
502.00,89.672
503.00,89.995
504.00,90.223
505.00,90.420
506.00,90.568
507.00,90.701
508.00,90.826
509.00,90.947
510.00,91.103
511.00,91.240
512.00,91.416
513.00,91.566
514.00,91.720
515.00,91.876
516.00,92.059
517.00,92.265
518.00,92.439
519.00,92.543
520.00,92.620
521.00,92.708
522.00,92.933
523.00,93.168
524.00,93.384
525.00,93.521
526.00,93.635
527.00,93.720
528.00,93.762
529.00,93.785
530.00,93.780
531.00,93.776
532.00,93.795
533.00,93.836
534.00,93.873
535.00,93.894
536.00,93.895
537.00,93.897
538.00,93.877
539.00,93.873
540.00,93.885
541.00,93.893
542.00,93.910
543.00,93.914
544.00,93.928
545.00,93.948
546.00,93.947
547.00,93.931
548.00,93.927
549.00,93.912
550.00,93.870
551.00,93.788
552.00,93.718
553.00,93.782
554.00,93.854
555.00,93.910
556.00,93.885
557.00,93.859
558.00,93.831
559.00,93.761
560.00,93.684
561.00,93.599
562.00,93.527
563.00,93.475
564.00,93.489
565.00,93.536
566.00,93.630
567.00,93.762
568.00,93.907
569.00,94.078
570.00,94.236
571.00,94.383
572.00,94.501
573.00,94.548
574.00,94.499
575.00,94.356
576.00,94.144
577.00,93.911
578.00,93.563
579.00,93.163
580.00,92.690
581.00,92.216
582.00,91.736
583.00,91.273
584.00,90.808
585.00,90.372
586.00,89.974
587.00,89.684
588.00,89.419
589.00,89.186
590.00,88.954
591.00,88.785
592.00,88.652
593.00,88.561
594.00,88.459
595.00,88.365
596.00,88.273
597.00,88.192
598.00,88.102
599.00,88.004
600.00,87.890
601.00,87.792
602.00,87.662
603.00,87.559
604.00,87.432
605.00,87.353
606.00,87.255
607.00,87.179
608.00,87.089
609.00,87.024
610.00,87.003
611.00,87.003
612.00,86.993
613.00,86.979
614.00,86.976
615.00,86.978
616.00,86.966
617.00,86.912
618.00,86.848
619.00,86.726
620.00,86.621
621.00,86.510
622.00,86.423
623.00,86.340
624.00,86.244
625.00,86.159
626.00,86.066
627.00,85.878
628.00,85.678
629.00,85.497
630.00,85.430
631.00,85.389
