"ITO_unprocesesd_4.spc - RawData"
"”g’· (nm)","T%"
350.00,66.332
351.00,66.667
352.00,67.182
353.00,67.771
354.00,68.364
355.00,68.952
356.00,69.472
357.00,70.022
358.00,70.577
359.00,71.150
360.00,71.737
361.00,72.412
362.00,73.092
363.00,73.784
364.00,74.422
365.00,75.062
366.00,75.691
367.00,76.279
368.00,76.854
369.00,77.398
370.00,78.028
371.00,78.623
372.00,79.400
373.00,80.106
374.00,80.834
375.00,81.392
376.00,81.932
377.00,82.480
378.00,83.003
379.00,83.601
380.00,84.192
381.00,84.805
382.00,85.390
383.00,86.007
384.00,86.656
385.00,87.272
386.00,87.849
387.00,88.396
388.00,88.890
389.00,89.386
390.00,89.830
391.00,90.230
392.00,90.566
393.00,90.831
394.00,91.050
395.00,91.193
396.00,91.302
397.00,91.386
398.00,91.514
399.00,91.575
400.00,91.606
401.00,91.530
402.00,91.446
403.00,91.344
404.00,91.183
405.00,91.015
406.00,90.819
407.00,90.641
408.00,90.518
409.00,90.378
410.00,90.232
411.00,89.986
412.00,89.753
413.00,89.509
414.00,89.307
415.00,89.094
416.00,88.874
417.00,88.605
418.00,88.304
419.00,88.069
420.00,87.845
421.00,87.638
422.00,87.360
423.00,87.089
424.00,86.816
425.00,86.548
426.00,86.267
427.00,85.991
428.00,85.754
429.00,85.503
430.00,85.322
431.00,85.116
432.00,84.921
433.00,84.634
434.00,84.348
435.00,84.089
436.00,83.882
437.00,83.664
438.00,83.431
439.00,83.182
440.00,82.961
441.00,82.796
442.00,82.701
443.00,82.634
444.00,82.562
445.00,82.462
446.00,82.369
447.00,82.295
448.00,82.247
449.00,82.205
450.00,82.153
451.00,82.110
452.00,82.088
453.00,82.116
454.00,82.149
455.00,82.226
456.00,82.297
457.00,82.380
458.00,82.455
459.00,82.525
460.00,82.592
461.00,82.663
462.00,82.759
463.00,82.869
464.00,82.964
465.00,83.067
466.00,83.155
467.00,83.283
468.00,83.477
469.00,83.696
470.00,83.934
471.00,84.115
472.00,84.318
473.00,84.502
474.00,84.707
475.00,84.924
476.00,85.137
477.00,85.324
478.00,85.496
479.00,85.661
480.00,85.820
481.00,85.975
482.00,86.091
483.00,86.205
484.00,86.353
485.00,86.514
486.00,86.680
487.00,86.802
488.00,86.943
489.00,87.090
490.00,87.225
491.00,87.378
492.00,87.516
493.00,87.666
494.00,87.788
495.00,87.948
496.00,88.127
497.00,88.326
498.00,88.504
499.00,88.680
500.00,88.855
501.00,89.093
502.00,89.353
503.00,89.642
504.00,89.861
505.00,90.042
506.00,90.197
507.00,90.327
508.00,90.473
509.00,90.620
510.00,90.777
511.00,90.941
512.00,91.091
513.00,91.262
514.00,91.408
515.00,91.567
516.00,91.723
517.00,91.888
518.00,92.023
519.00,92.121
520.00,92.232
521.00,92.345
522.00,92.541
523.00,92.709
524.00,92.886
525.00,93.011
526.00,93.127
527.00,93.226
528.00,93.288
529.00,93.332
530.00,93.345
531.00,93.361
532.00,93.392
