wavelength,intensity
380.0,50.614
380.5,50.8134
381.0,51.0128
381.5,51.212199999999996
382.0,51.4116
382.5,51.611000000000004
383.0,51.8104
383.5,52.0098
384.0,52.2092
384.5,52.40860000000001
385.0,52.608000000000004
385.5,52.8074
386.0,53.006800000000005
386.5,53.2062
387.0,53.4056
387.5,53.605000000000004
388.0,53.8044
388.5,54.0038
389.0,54.203199999999995
389.5,54.4026
390.0,54.602
390.5,56.006699999999995
391.0,57.4114
391.5,58.8161
392.0,60.2208
392.5,61.6255
393.0,63.0302
393.5,64.4349
394.0,65.8396
394.5,67.2443
395.0,68.649
395.5,70.0537
396.0,71.4584
396.5,72.8631
397.0,74.2678
397.5,75.6725
398.0,77.0772
398.5,78.4819
399.0,79.8866
399.5,81.29129999999999
400.0,82.696
400.5,83.1324
401.0,83.5688
401.5,84.0052
402.0,84.4416
402.5,84.878
403.0,85.3144
403.5,85.7508
404.0,86.1872
404.5,86.6236
405.0,87.06
405.5,87.4964
406.0,87.9328
406.5,88.3692
407.0,88.8056
407.5,89.24199999999999
408.0,89.6784
408.5,90.1148
409.0,90.5512
409.5,90.98759999999999
410.0,91.42399999999999
410.5,91.5214
411.0,91.6188
411.5,91.71619999999999
412.0,91.8136
412.5,91.911
413.0,92.0084
413.5,92.10579999999999
414.0,92.2032
414.5,92.3006
415.0,92.398
415.5,92.49549999999999
416.0,92.59299999999999
416.5,92.6905
417.0,92.788
417.5,92.8855
418.0,92.98299999999999
418.5,93.08049999999999
419.0,93.178
419.5,93.2755
420.0,93.37299999999999
420.5,93.0359
421.0,92.69879999999999
421.5,92.3617
422.0,92.02459999999999
422.5,91.6875
423.0,91.35040000000001
423.5,91.0133
424.0,90.67620000000001
424.5,90.3391
425.0,90.00200000000001
425.5,89.665
426.0,89.328
426.5,88.99100000000001
427.0,88.65400000000001
427.5,88.31700000000001
428.0,87.98
428.5,87.643
429.0,87.30600000000001
429.5,86.96900000000001
430.0,86.632
430.5,87.5411
431.0,88.45020000000001
431.5,89.3593
432.0,90.2684
432.5,91.17750000000001
433.0,92.0866
433.5,92.9957
434.0,93.9048
434.5,94.8139
435.0,95.723
435.5,96.6321
436.0,97.5412
436.5,98.4503
437.0,99.3594
437.5,100.26849999999999
438.0,101.1776
438.5,102.0867
439.0,102.99579999999999
439.5,103.9049
440.0,104.814
440.5,105.4212
441.0,106.02839999999999
441.5,106.6356
442.0,107.2428
442.5,107.85
443.0,108.4572
443.5,109.0644
444.0,109.67160000000001
444.5,110.2788
445.0,110.88600000000001
445.5,111.4932
446.0,112.10040000000001
446.5,112.70760000000001
447.0,113.3148
447.5,113.922
448.0,114.5292
448.5,115.13640000000001
449.0,115.7436
449.5,116.35079999999999
450.0,116.958
450.5,116.9984
451.0,117.0388
451.5,117.0792
452.0,117.1196
452.5,117.16
453.0,117.2004
453.5,117.24080000000001
454.0,117.28120000000001
454.5,117.3216
455.0,117.36200000000001
455.5,117.4025
456.0,117.44300000000001
456.5,117.4835
457.0,117.52400000000002
457.5,117.56450000000001
458.0,117.605
458.5,117.64550000000001
459.0,117.686
459.5,117.72650000000002
460.0,117.76700000000001
460.5,117.61970000000001
461.0,117.47240000000001
461.5,117.3251
462.0,117.1778
462.5,117.0305
463.0,116.8832
463.5,116.7359
464.0,116.5886
464.5,116.4413
465.0,116.294
465.5,116.1468
466.0,115.9996
466.5,115.8524
467.0,115.7052
467.5,115.55799999999999
468.0,115.4108
468.5,115.2636
469.0,115.1164
469.5,114.9692
470.0,114.822
470.5,114.87530000000001
471.0,114.9286
471.5,114.9819
472.0,115.0352
472.5,115.08850000000001
473.0,115.1418
473.5,115.1951
474.0,115.2484
474.5,115.30170000000001
475.0,115.355
475.5,115.4084
476.0,115.4618
476.5,115.51520000000001
477.0,115.5686
477.5,115.622
478.0,115.6754
478.5,115.72879999999999
479.0,115.7822
479.5,115.8356
480.0,115.889
480.5,115.5337
481.0,115.1784
481.5,114.8231
482.0,114.4678
482.5,114.1125
483.0,113.7572
483.5,113.4019
484.0,113.0466
484.5,112.6913
485.0,112.336
485.5,111.9807
486.0,111.6254
486.5,111.2701
487.0,110.9148
487.5,110.55949999999999
488.0,110.20419999999999
488.5,109.84889999999999
489.0,109.49359999999999
489.5,109.13829999999999
490.0,108.78299999999999
490.5,108.81039999999999
491.0,108.83779999999999
491.5,108.86519999999999
492.0,108.89259999999999
492.5,108.91999999999999
493.0,108.9474
493.5,108.9748
494.0,109.0022
494.5,109.0296
495.0,109.057
495.5,109.0845
496.0,109.11200000000001
496.5,109.1395
497.0,109.167
497.5,109.1945
498.0,109.22200000000001
498.5,109.24950000000001
499.0,109.277
499.5,109.3045
500.0,109.33200000000001
500.5,109.25450000000001
501.0,109.177
501.5,109.0995
502.0,109.022
502.5,108.9445
503.0,108.867
503.5,108.7895
504.0,108.712
504.5,108.6345
505.0,108.557
505.5,108.4796
506.0,108.4022
506.5,108.3248
507.0,108.2474
507.5,108.16999999999999
508.0,108.09259999999999
508.5,108.0152
509.0,107.9378
509.5,107.86039999999998
510.0,107.78299999999999
510.5,107.63269999999999
511.0,107.48239999999998
511.5,107.3321
512.0,107.1818
512.5,107.0315
513.0,106.88119999999999
513.5,106.73089999999999
514.0,106.5806
514.5,106.4303
515.0,106.28
515.5,106.1297
516.0,105.9794
516.5,105.8291
517.0,105.6788
517.5,105.52850000000001
518.0,105.3782
518.5,105.2279
519.0,105.0776
519.5,104.9273
520.0,104.777
520.5,104.9222
521.0,105.0674
521.5,105.2126
522.0,105.3578
522.5,105.503
523.0,105.6482
523.5,105.7934
524.0,105.9386
524.5,106.0838
525.0,106.229
525.5,106.3742
526.0,106.5194
526.5,106.6646
527.0,106.8098
527.5,106.955
528.0,107.1002
528.5,107.2454
529.0,107.39059999999999
529.5,107.5358
530.0,107.681
530.5,107.51689999999999
531.0,107.3528
531.5,107.1887
532.0,107.0246
532.5,106.8605
533.0,106.6964
533.5,106.5323
534.0,106.3682
534.5,106.20410000000001
535.0,106.04
535.5,105.876
536.0,105.712
536.5,105.548
537.0,105.384
537.5,105.22
538.0,105.05600000000001
538.5,104.89200000000001
539.0,104.72800000000001
539.5,104.56400000000001
540.0,104.4
540.5,104.38210000000001
541.0,104.36420000000001
541.5,104.3463
542.0,104.3284
542.5,104.3105
543.0,104.29260000000001
543.5,104.27470000000001
544.0,104.2568
544.5,104.2389
545.0,104.221
545.5,104.20320000000001
546.0,104.1854
546.5,104.1676
547.0,104.1498
547.5,104.132
548.0,104.1142
548.5,104.09639999999999
549.0,104.0786
549.5,104.0608
550.0,104.04299999999999
550.5,103.84089999999999
551.0,103.63879999999999
551.5,103.4367
552.0,103.2346
552.5,103.0325
553.0,102.8304
553.5,102.6283
554.0,102.42620000000001
554.5,102.2241
555.0,102.022
555.5,101.8198
556.0,101.61760000000001
556.5,101.4154
557.0,101.2132
557.5,101.011
558.0,100.8088
558.5,100.6066
559.0,100.4044
559.5,100.2022
560.0,100.0
560.5,99.8168
561.0,99.6336
561.5,99.4504
562.0,99.2672
562.5,99.084
563.0,98.90079999999999
563.5,98.71759999999999
564.0,98.53439999999999
564.5,98.35119999999999
565.0,98.16799999999999
565.5,97.98479999999999
566.0,97.8016
566.5,97.6184
567.0,97.4352
567.5,97.252
568.0,97.0688
568.5,96.8856
569.0,96.7024
569.5,96.5192
570.0,96.336
570.5,96.3089
571.0,96.2818
571.5,96.2547
572.0,96.2276
572.5,96.2005
573.0,96.1734
573.5,96.1463
574.0,96.11919999999999
574.5,96.0921
575.0,96.065
575.5,96.0378
576.0,96.0106
576.5,95.98339999999999
577.0,95.9562
577.5,95.929
578.0,95.9018
578.5,95.87459999999999
579.0,95.8474
579.5,95.8202
580.0,95.79299999999999
580.5,95.4379
