Class,Amp
1,68.20333333
2,65.61333333
3,70.01333333
4,64.82666667
5,71.48666667
6,69.09666667
7,70.41
8,70.75333333
9,77.81666667
10,79.94333333
11,90.72666667
12,96.13666667
13,106.9033333
14,111.51
15,124.89
16,139.75
17,149.0633333
18,169.42
19,193.5433333
20,214.4466667
21,242.4733333
22,270.8533333
23,302.54
24,343.25
25,374.04
26,417.2866667
27,462.1
28,502.0833333
29,555.03
30,595.1833333
31,643.0133333
32,684.79
33,734.4
34,781.52
35,835.7233333
36,877.3633333
37,925.9333333
38,972.7533333
39,1023.483333
40,1072.38
41,1124.823333
42,1171
43,1228.583333
44,1274.243333
45,1322.35
46,1371.416667
47,1425.186667
48,1475.746667
49,1525.95
50,1578.943333
51,1622.52
52,1675.54
53,1717.27
54,1761.9
55,1812.943333
56,1855.993333
57,1896.443333
58,1935.933333
59,1979.776667
60,2017.876667
61,2047.556667
62,2079.346667
63,2117.523333
64,2141.673333
65,2176.063333
66,2211.95
67,2240.35
68,2264.583333
69,2288.33
70,2314.896667
71,2336.56
72,2350.893333
73,2372.26
74,2399.693333
75,2414.186667
76,2428.516667
77,2447.143333
78,2469.033333
79,2486.72
80,2498.156667
81,2510.876667
82,2533.506667
83,2538.866667
84,2548.156667
85,2555.533333
86,2561.096667
87,2563.706667
88,2579.203333
89,2571.86
90,2578.513333
91,2578.19
92,2575.703333
93,2576.023333
94,2576.356667
95,2578
96,2574.44
97,2581.616667
98,2581.196667
99,2592.123333
100,2606.133333
101,2614.74
102,2631.796667
103,2650.073333
104,2674.746667
105,2700.826667
106,2729.736667
107,2758.363333
108,2786.88
109,2823.62
110,2858.47
111,2885.366667
112,2920.29
113,2944.81
114,2973.69
115,2995.65
116,3019.973333
117,3036.116667
118,3049.606667
119,3062.52
120,3069.416667
121,3079.276667
122,3079.17
123,3075.686667
124,3080.783333
125,3080.326667
126,3063.79
127,3049.653333
128,3035.78
129,3019.8
130,3004.48
131,2976.61
132,2946.443333
133,2915.583333
134,2883.45
135,2848.396667
136,2803.733333
137,2761.133333
138,2708.836667
139,2658.113333
140,2597.796667
141,2536.916667
142,2471.566667
143,2401.383333
144,2327.42
145,2252.993333
146,2167.413333
147,2076.74
148,1984.11
149,1888.396667
150,1786.31
151,1675.273333
152,1568.6
153,1446.803333
154,1326.43
155,1195.806667
156,1062.41
157,920.0266667
158,773.3033333
159,622.2733333
160,459.7266667
161,237.9566667
162,64.02
163,89.27666667
164,96.92333333
165,99.21
166,101.0066667
167,98.38666667
168,102.15
169,100.3633333
170,99.84
171,99.85333333
172,102.3066667
173,102.6266667
174,104.59
175,105.06
176,110.61
177,111.0533333
178,115.16
179,116.2766667
180,121.9833333
181,121.98
182,130.8
183,135.3733333
184,135.6966667
185,140.27
186,145.3333333
187,145.0066667
188,153.5
189,161.5033333
190,162.3233333
191,172.7733333
192,183.2266667
193,186.4866667
194,191.0533333
195,193.8066667
196,203.41
197,211.71
198,215.4533333
199,222.3066667
200,229.33
201,244.35
202,252.4966667
203,260.4966667
204,269.7766667
205,274.33
206,290.0033333
207,295.2
208,312.1833333
209,322.4733333
210,335.0466667
211,343.66
212,354.7333333
213,365.17
214,374.9333333
215,389.12
216,402.16
217,412.2766667
218,427.7633333
219,441.13
220,455.8
221,464.7633333
222,484.8
223,500.27
224,518.6933333
225,538.11
226,549.5633333
227,572.4233333
228,593.4866667
229,610.82
230,628.7433333
231,649.6333333
232,674.0933333
233,695.1433333
234,710.36
235,733.5366667
236,754.5266667
237,771.0366667
238,797.9633333
239,816.4333333
240,838.46
241,864.2
242,885.44
243,914.2933333
244,938.5866667
245,963.6566667
246,990.4033333
247,1016.16
248,1057.936667
249,1092.993333
250,1127.23
251,1168.62
252,1210.993333
253,1255.47
254,1292.003333
255,1337.306667
256,1377.846667
257,1419.16
258,1467.53
259,1511.083333
260,1554.17
261,1598.466667
262,1636.783333
263,1678.296667
264,1718.326667
265,1760.683333
266,1796.44
267,1847.66
268,1880.84
269,1924
270,1965.34
271,2008.736667
272,2056.54
273,2099.536667
274,2143.493333
275,2183.52
276,2221.703333
277,2250.92
278,2281.116667
279,2301.61
280,2317.576667
281,2318.873333
282,2328.66
283,2313.193333
284,2300.793333
285,2270.79
286,2247.52
287,2207.523333
288,2172.103333
289,2124.493333
290,2076.736667
291,2022.586667
292,1974.496667
293,1917.793333
294,1859.553333
295,1804.666667
296,1745.806667
297,1682.246667
298,1624.643333
299,1568.71
300,1507.73
301,1448.89
302,1391.63
303,1333.906667
304,1282.703333
305,1225.193333
306,1174.28
307,1118.173333
308,1069.93
309,1017.586667
310,965.0633333
311,914.3633333
312,861.5466667
313,810.64
314,757.9766667
315,700.0633333
316,645.6566667
317,586.7266667
318,525.0933333
319,462.31
320,399.1833333
321,296.94
