Time[s],0,2,4,6
0,0,0,0,0
0.1,0,1.666666667,0,-2.333333333
0.2,-0.666666667,1,0,-0.666666667
0.3,0,1,-0.666666667,0
0.4,0,1.666666667,-0.333333333,0
0.5,0,0.333333333,-1.333333333,0
0.6,-0.333333333,0.666666667,0.333333333,0
0.7,-1,1,0,1
0.8,-1.666666667,1.666666667,0.666666667,-0.666666667
0.9,0,0.666666667,0,-0.333333333
1,-0.333333333,1.333333333,-0.333333333,-1.333333333
1.1,-0.333333333,2.333333333,-0.666666667,-0.333333333
1.2,0,0.333333333,1,-1.333333333
1.3,-0.666666667,1.333333333,0.333333333,0.333333333
1.4,-2,1,-0.333333333,0.333333333
1.5,-0.333333333,1.666666667,0,0
1.6,-0.333333333,0.666666667,-0.333333333,1
1.7,-0.333333333,1.666666667,-0.666666667,-0.333333333
1.8,-0.333333333,1.333333333,0,0.666666667
1.9,-0.333333333,0.333333333,0,0.333333333
2,-1.333333333,1.333333333,-0.333333333,0
2.1,-1.333333333,2.666666667,-1,0.333333333
2.2,-0.666666667,1,0,0.666666667
2.3,0,0.666666667,0.333333333,0
2.4,-1.666666667,1.666666667,0,0.666666667
2.5,-2,0,0.666666667,-0.333333333
2.6,-0.333333333,0,1.333333333,0.333333333
2.7,-0.666666667,1.666666667,-0.333333333,0.333333333
2.8,-0.333333333,1.666666667,0.333333333,0.333333333
2.9,0,0,0.333333333,0
3,0,1.666666667,-0.666666667,-0.333333333
3.1,-1.666666667,1.666666667,0.333333333,0
3.2,0,2,0.333333333,0.666666667
3.3,0.333333333,1,-0.333333333,-0.666666667
3.4,-0.666666667,2.666666667,0.333333333,-0.333333333
3.5,-0.666666667,1.333333333,0.666666667,0
3.6,0,1.666666667,-0.666666667,0.333333333
3.7,-1.333333333,2.666666667,-0.666666667,-0.666666667
3.8,-1.333333333,1,0.666666667,0.666666667
3.9,0.333333333,2,-0.333333333,0.666666667
4,0,1.333333333,-1.333333333,0.333333333
4.1,-0.666666667,0.333333333,-0.333333333,0
4.2,0.333333333,0.666666667,0,0.666666667
4.3,0,2.666666667,-2.333333333,0.333333333
4.4,-0.666666667,3,0.333333333,0.333333333
4.5,1,1.666666667,-1.333333333,-0.333333333
4.6,0.333333333,1.333333333,1,0
4.7,-0.333333333,1.333333333,0.333333333,0
4.8,-2.333333333,0,-0.333333333,0
4.9,0.333333333,1.333333333,0,-0.333333333
5,-1.333333333,1.666666667,0.333333333,0.333333333
5.1,-0.666666667,1.666666667,0.333333333,0.333333333
5.2,0,1,-0.333333333,-0.333333333
5.3,-0.666666667,2.333333333,-0.666666667,0.666666667
5.4,-0.666666667,2.333333333,1,0
5.5,-1.666666667,2.333333333,-0.666666667,0.333333333
5.6,-0.666666667,2,0.333333333,0
5.7,-1,1,1.666666667,-0.333333333
5.8,-1.666666667,1.666666667,1,0.333333333
5.9,-1.666666667,2,-0.666666667,-0.666666667
6,-1.666666667,2.666666667,0,0.333333333
6.1,0.333333333,0.666666667,0.666666667,0
6.2,-1,2.333333333,-0.333333333,0.333333333
6.3,-0.666666667,2,0.333333333,-1
6.4,-0.666666667,2,1,-1.666666667
6.5,-2,2,0,-0.333333333
6.6,-2.333333333,3,0,0.333333333
6.7,-0.666666667,2,1.333333333,0.333333333
6.8,-2.333333333,0.666666667,0.666666667,0.666666667
6.9,-1,2,0.666666667,-0.666666667
7,0.333333333,2,0.333333333,-1.333333333
7.1,-2.333333333,1.666666667,-1.666666667,-1.333333333
7.2,-0.333333333,2.333333333,-0.333333333,-1
7.3,-2.333333333,1.666666667,0.666666667,0
7.4,-0.333333333,1.333333333,-0.333333333,-0.666666667
7.5,0,2.333333333,0,-0.666666667
7.6,-0.666666667,1.333333333,1,0.666666667
7.7,-0.666666667,2,-0.333333333,0.333333333
7.8,-0.333333333,1.666666667,-0.333333333,-0.333333333
7.9,-1,1,0,-0.666666667
8,-1,1.666666667,0.333333333,-1.333333333
8.1,-1,2.666666667,0,0
8.2,-0.333333333,2,0,0
8.3,-0.666666667,0.333333333,0.666666667,0
8.4,-0.666666667,0.666666667,0,-0.333333333
8.5,-1.333333333,1.333333333,-1.333333333,0
8.6,-0.666666667,1,1.666666667,0.333333333
8.7,-1.666666667,1.666666667,-0.333333333,0.333333333
8.8,-1,1,-0.333333333,-0.666666667
8.9,-0.333333333,1.333333333,0.333333333,0.333333333
9,-1.666666667,1.333333333,0,0.333333333
9.1,-2.666666667,2.333333333,-0.666666667,0
9.2,-0.333333333,1.333333333,2,-0.333333333
9.3,-0.333333333,1.333333333,0.666666667,-1
9.4,-0.666666667,1.666666667,-0.666666667,-0.333333333
9.5,0,2.333333333,1.333333333,-0.666666667
9.6,-2,1,0.666666667,0
9.7,-0.333333333,2,-0.666666667,0.333333333
9.8,0,2.333333333,-1,0.333333333
9.9,-1,1.333333333,0.333333333,-0.666666667
10,0,1.666666667,0.666666667,0
10.1,-3,2.333333333,0,-0.333333333
10.2,-0.333333333,0.666666667,1.333333333,-1.333333333
10.3,-2,1.666666667,0,1
10.4,-0.333333333,2,1,-0.333333333
10.5,-0.333333333,2,-0.666666667,0.666666667
10.6,-0.666666667,2,0,-0.333333333
10.7,-2.333333333,2.333333333,0,-0.333333333
10.8,-3,1.666666667,-0.333333333,-2.333333333
10.9,-0.333333333,2,0.333333333,-1.666666667
11,0,2,-0.666666667,0
11.1,-2.666666667,-0.333333333,0,0
11.2,-0.333333333,1.333333333,1.333333333,0.333333333
11.3,-1,2,-0.666666667,1
11.4,-1.333333333,2,1,-1.333333333
11.5,-0.666666667,1.666666667,0.666666667,0.666666667
11.6,-1.333333333,2.666666667,-1,0
11.7,-1.333333333,0.666666667,-1,-0.333333333
11.8,-1.333333333,1.333333333,0.333333333,0
11.9,-0.333333333,2,0.333333333,0.333333333
12,-2.333333333,1.666666667,0.666666667,-0.666666667
12.1,0,3,0.333333333,0.333333333
12.2,0,0.333333333,-1,0.333333333
12.3,-1,2,-1.333333333,0.333333333
12.4,-1,2,1,0
12.5,0,1,0,-1
12.6,0.333333333,1.666666667,0,-0.333333333
12.7,0.666666667,2.333333333,1.333333333,0.666666667
12.8,0,2,0,0.333333333
12.9,0,2.333333333,-0.666666667,-0.666666667
13,-1.333333333,1.333333333,0.666666667,-0.333333333
13.1,-0.666666667,2.333333333,-0.333333333,0
13.2,-0.333333333,3.333333333,-0.666666667,-1
13.3,0.333333333,1.666666667,0.333333333,-2
13.4,0.333333333,2,0.666666667,0.333333333
13.5,0,2,-1.333333333,0
13.6,-1,2,1,0.333333333
13.7,-1.333333333,2,1,1
13.8,0.333333333,2,-1.666666667,-1
13.9,-1.333333333,2,0,0.333333333
14,-2.333333333,1,0.666666667,-1
14.1,-0.333333333,1.333333333,-1,0
14.2,-0.333333333,2,0,0.666666667
14.3,-0.333333333,2,0.333333333,0
14.4,0,1.333333333,-1.333333333,1
14.5,-0.666666667,2,-0.333333333,-1.666666667
14.6,-0.333333333,2.333333333,0.666666667,-0.333333333
14.7,-0.666666667,2,-2.333333333,0.333333333
14.8,0.333333333,2.333333333,-1,0
14.9,-0.666666667,2,1,0
15,-1.333333333,1,0.333333333,0.666666667
15.1,0.333333333,1,0.333333333,-0.333333333
15.2,-0.666666667,0.666666667,0.666666667,-1
15.3,-1,1.333333333,0.666666667,-1
15.4,0.666666667,2,-1.333333333,0
15.5,0,0.333333333,0.333333333,0
15.6,-0.666666667,2,0,-1.333333333
15.7,0.666666667,0.333333333,0.333333333,0
15.8,0,1.666666667,0,-0.333333333
15.9,-2,1.666666667,0.666666667,0.333333333
16,0.333333333,0.666666667,0.666666667,-0.666666667
16.1,-0.333333333,2,-1,-2.666666667
16.2,-1,2.333333333,-0.333333333,-1
16.3,0.333333333,2,0.333333333,-0.666666667
16.4,0,2.666666667,0,0
16.5,-0.666666667,0.666666667,0.666666667,0.333333333
16.6,0.666666667,1.666666667,-1,-1.333333333
16.7,-1.666666667,1.333333333,-0.333333333,-0.666666667
16.8,-1.666666667,1.333333333,0.333333333,-1.333333333
16.9,0.333333333,2.333333333,1,0
17,-1,2.333333333,1,0
17.1,-0.666666667,1.666666667,0.333333333,-0.333333333
17.2,0,1.666666667,0.333333333,0
17.3,0.333333333,1.666666667,-0.666666667,-1
17.4,-0.333333333,1,-0.333333333,0
17.5,0.333333333,2,0,-1.333333333
17.6,0.333333333,1.666666667,-1.333333333,0
17.7,-0.666666667,2,-2,0
17.8,-0.666666667,1.666666667,0.333333333,-0.666666667
17.9,0.333333333,2.333333333,-0.666666667,-0.333333333
18,0.666666667,1.333333333,-2.333333333,0
18.1,-1.666666667,1.666666667,0,-0.666666667
18.2,0.333333333,2,0.333333333,0
18.3,-0.666666667,2.333333333,-0.333333333,-0.666666667
18.4,-1,2.666666667,-0.333333333,-0.666666667
18.5,1.333333333,1.333333333,0,0
18.6,-0.333333333,0,0,-0.666666667
18.7,-0.333333333,3.333333333,-0.333333333,-0.666666667
18.8,-1.666666667,1.333333333,0.333333333,-1.666666667
18.9,-1,1.666666667,0,-0.333333333
19,0.333333333,2,-0.666666667,-0.666666667
