Class,N1,N2,N3
1,78.17,79.65,76.22
2,73.79,72.82,72.33
3,74.75,75.27,66.99
4,76.25,69.93,74.32
5,70.9,77.24,73.35
6,62.1,76.82,67.97
7,72.87,80.72,68.99
8,75.37,81.25,73.9
9,78.83,86.18,75.85
10,84.67,90.13,82.79
11,88.62,101.85,95.97
12,87.66,97.49,92.56
13,101.37,111.69,101.87
14,100.43,126.87,104.82
15,111.19,135.67,125.41
16,125.91,137.66,138.16
17,147.95,150.86,149.42
18,152.38,185.07,166.49
19,167.03,208.61,183.62
20,186.56,215.95,207.14
21,205.17,244.78,222.8
22,237.02,273.18,260.42
23,260.42,296.17,285.43
24,286.84,338.65,314.75
25,319.1,378.27,355.77
26,353.31,408.66,385.62
27,395.91,457.08,428.26
28,439.02,498.62,472.76
29,476.73,535.34,513.82
30,527.96,594.99,560.8
31,564.14,638.12,596.96
32,624.83,683.17,649.37
33,664.58,735.95,698.32
34,715.91,779.44,731.04
35,765.77,835.71,797.01
36,821.54,878.35,838.65
37,869.01,920.42,889.12
38,926.21,977.56,931.64
39,972.76,1025.59,982.46
40,1031.96,1074.59,1028.04
41,1088.69,1123.85,1081.45
42,1133.74,1167.83,1124.77
43,1200.17,1229.57,1169.3
44,1250.52,1280.43,1232.5
45,1304.91,1326.38,1276.02
46,1366.54,1373.36,1335.66
47,1422.27,1439.91,1386.61
48,1485.47,1482.51,1431.1
49,1547.04,1538.18,1475.15
50,1605.22,1587.53,1532.3
51,1662.96,1631.14,1585.57
52,1708.44,1686.47,1622.32
53,1767.73,1728.01,1681.1
54,1831.27,1777.91,1726.02
55,1876.2,1829.3,1766.14
56,1940.82,1875.77,1822.98
57,1991.68,1913.47,1857.17
58,2044.08,1955.01,1900.76
59,2098.77,1997.06,1938.42
60,2146.76,2045.45,1977.49
61,2197.68,2063.46,2026.85
62,2247.09,2101.68,2058.59
63,2290.66,2143.79,2085.02
64,2337.02,2176.53,2119.32
65,2385.47,2215.24,2146.19
66,2423.64,2231.39,2187.31
67,2461.72,2264.09,2221.61
68,2502.88,2285.64,2247.5
69,2533.14,2321.34,2265.59
70,2563.97,2345.74,2292.49
71,2600.11,2376.58,2326.24
72,2635.31,2395.69,2345.24
73,2663.24,2418.15,2368.74
74,2694.56,2432.81,2388.33
75,2714.57,2445.52,2401.51
76,2740.54,2467.01,2408.77
77,2765.46,2489.93,2439.57
78,2778.15,2500.22,2456.71
79,2795.3,2520.31,2466.51
80,2818.83,2537.51,2480.76
81,2833.58,2548.9,2496.38
82,2856.52,2561.65,2516.08
83,2858.52,2569.9,2525.42
84,2877.07,2594.39,2542.61
85,2885.44,2599.24,2543.1
86,2894.75,2605.12,2550.42
87,2896.73,2606.61,2550.87
88,2894.77,2612.5,2548.82
89,2907.89,2617.33,2553.14
90,2912.79,2623.59,2561.93
91,2912.83,2622.6,2558.51
92,2901.56,2620.69,2547.82
93,2902.57,2617.3,2563.04
94,2901.56,2618.32,2563.59
95,2891.72,2614.96,2555.31
96,2883.91,2612.52,2548.44
97,2878.68,2615.83,2558.57
98,2885.08,2604.47,2563.36
99,2881.57,2610.45,2549.29
100,2880.58,2614.47,2561.07
101,2891.24,2614.49,2569.95
102,2889.32,2621.42,2583.58
103,2911.31,2641.25,2595.25
104,2923.02,2654.46,2613.95
105,2945.13,2661.89,2631.08
106,2965.25,2680.93,2644.22
107,2985.24,2710.21,2668.2
108,3021.39,2723.06,2700.57
109,3039.94,2745.06,2711.77
110,3072.24,2768.49,2738.67
111,3088.51,2792.97,2773.86
112,3128.54,2822.81,2792.83
113,3148.63,2851.46,2817.38
114,3174.59,2871.71,2851.66
115,3199.6,2898.7,2865.89
116,3210.28,2910.89,2882.92
117,3231.74,2927.42,2899.09
118,3225.9,2953.96,2906
119,3232.68,2962.3,2911.31
120,3231.4,2981.26,2917.21
121,3240.66,2986.64,2911.84
122,3223.87,2983.86,2917.79
123,3212.64,2996.02,2908.47
124,3192.66,2990.09,2910.21
125,3181.48,2982.8,2892.36
126,3155.93,2983.74,2884.92
127,3135.47,2970.49,2862.39
128,3107.55,2957.35,2854.62
129,3073.73,2941.71,2821.29
130,3039.49,2923.04,2799.78
131,3007.34,2907.5,2774.84
132,2960.73,2881.48,2740.61
133,2925.06,2848.71,2704.88
134,2879.15,2814.08,2673.65
135,2825.69,2779.74,2633.97
136,2780.27,2738.7,2588.06
137,2719.04,2696.52,2552.21
138,2665.22,2653.14,2502.93
139,2604.6,2588.39,2446.06
140,2532.25,2533.7,2386.98
141,2470.61,2473.49,2329.07
142,2409.36,2412.82,2275.9
143,2329.69,2340.49,2202.94
144,2255.84,2268.96,2135.5
145,2176.99,2191.28,2067.88
146,2094.41,2097.31,1979.39
147,2000.37,2012.18,1901.63
148,1913.81,1925.05,1815.52
149,1811.07,1828.23,1728.91
150,1719.13,1731.8,1622.71
