Class,Amp
1,75.24
2,75.39333333
3,73.13333333
4,74.45666667
5,79.18333333
6,68.64
7,72.38
8,75.51
9,79.13333333
10,85.16333333
11,84.04333333
12,97.12
13,100.7233333
14,107.2766667
15,120.3466667
16,135.53
17,142.2266667
18,154.14
19,172.2166667
20,197.17
21,217.26
22,239.88
23,266.9366667
24,299.4166667
25,330.53
26,363.43
27,397.57
28,443.9133333
29,483.4733333
30,525.5366667
31,569.22
32,612.7966667
33,656.0533333
34,697.8333333
35,750.5733333
36,798.0166667
37,847.8033333
38,893.18
39,939.46
40,993.4433333
41,1042.93
42,1093.68
43,1144.043333
44,1194.803333
45,1248.64
46,1291.383333
47,1352.823333
48,1403.513333
49,1454.573333
50,1506.916667
51,1554.636667
52,1609.823333
53,1660.39
54,1710.596667
55,1758.153333
56,1808.053333
57,1853.063333
58,1902.166667
59,1953.546667
60,1990.24
61,2034.36
62,2071.086667
63,2109.903333
64,2149.98
65,2186.026667
66,2218.48
67,2247.803333
68,2276.81
69,2305.663333
70,2331.91
71,2358.003333
72,2377.746667
73,2405.093333
74,2420.07
75,2446.656667
76,2462.806667
77,2475.83
78,2489.51
79,2511.36
80,2525.776667
81,2549.296667
82,2560.116667
83,2573.476667
84,2583.436667
85,2597.616667
86,2594.363333
87,2607.9
88,2613.25
89,2620.903333
90,2621.516667
91,2621.566667
92,2622.4
93,2625.643333
94,2626.936667
95,2625.31
96,2627.28
97,2635.293333
98,2640.89
99,2652.57
100,2663.34
101,2675.86
102,2696.693333
103,2724.793333
104,2745.206667
105,2772.72
106,2809.4
107,2839.43
108,2867.783333
109,2900.403333
110,2935.113333
111,2964.993333
112,2993.223333
113,3019.8
114,3036.446667
115,3061.38
116,3073.09
117,3081.456667
118,3084.4
119,3088.763333
120,3085.303333
121,3082.1
122,3071.7
123,3061.07
124,3045.336667
125,3026.163333
126,3001.063333
127,2979.816667
128,3095.09
129,2924.373333
130,2891
131,2860.766667
132,2824.653333
133,2782.85
134,2741.78
135,2702.126667
136,2654.956667
137,2610.813333
138,2553.053333
139,2500.4
140,2440.75
141,2377.926667
142,2312.88
143,2242.726667
144,2171.496667
145,2095.993333
146,2020.47
147,1938.103333
148,1848.916667
149,1758.753333
150,1664.806667
151,1558.996667
152,1456.24
153,1349.743333
154,1233.706667
155,1117.51
156,991.1966667
157,864.5833333
158,728.1433333
159,589.15
160,445.5266667
161,238.7033333
162,66.18666667
163,102.8233333
164,102.3233333
165,102.6433333
166,102.9733333
167,103.63
168,104.1133333
169,108.0233333
170,105.26
171,106.0633333
172,109.9966667
173,110.9633333
174,114.5433333
175,116.3266667
176,114.6966667
177,122.4966667
178,122.9733333
179,127.7066667
180,130.1633333
181,132.9233333
182,139.7866667
183,143.38
184,146.97
185,151.0566667
186,157.0933333
187,161.9966667
188,168.04
189,179.3066667
190,184.0433333
191,190.74
192,196.1266667
193,199.71
194,203.12
195,212.7133333
196,221.0133333
197,236.03
198,243.0466667
199,246.1533333
200,253.6466667
201,273.3766667
202,280.5466667
203,286.58
204,294.74
205,307.63
206,321.3333333
207,327.0466667
208,342.5633333
209,362.44
210,370.4166667
211,382.8066667
212,394.3633333
213,405.6033333
214,420.64
215,436.92
216,452.1
217,462.3366667
218,469.6733333
219,484.8233333
220,503.88
221,509.2633333
222,527.05
223,542.2166667
224,561.6233333
225,573.3766667
226,589.06
227,608.4466667
228,627.2066667
229,648.2366667
230,669.1
231,690.6566667
232,707.4866667
233,729.0233333
234,744.8666667
235,768.38
236,789.6266667
237,809.6866667
238,830.4166667
239,855.0133333
240,873.7666667
241,899.71
242,916.08
243,945.4133333
244,965.4833333
245,983.9133333
246,1017.526667
247,1040.996667
248,1076.85
249,1104.523333
250,1139.41
251,1179.69
252,1224.883333
253,1262.673333
254,1294.916667
255,1339.406667
256,1383.13
257,1421.6
258,1461.786667
259,1499.37
260,1537.326667
261,1583.476667
262,1619.356667
263,1655.793333
264,1692.7
265,1731.193333
266,1764.3
267,1809.186667
268,1849.55
269,1889.236667
270,1933.903333
271,1977.76
272,2020.296667
273,2065.62
274,2105.016667
275,2147.52
276,2185.646667
277,2215.85
278,2245.893333
279,2266.746667
280,2285.433333
281,2297.57
282,2298.5
283,2289.713333
284,2280.426667
285,2264.626667
286,2235.096667
287,2204.246667
288,2164.6
289,2128.346667
290,2084.926667
291,2041.753333
292,1988.94
293,1937.986667
294,1891.656667
295,1837.246667
296,1784.713333
297,1736.113333
298,1680.83
299,1632.523333
300,1576.226667
301,1526.04
302,1476.786667
303,1429.033333
304,1375.36
305,1323.256667
306,1283.546667
307,1225.63
308,1176.72
309,1125.693333
310,1071.876667
311,1018.41
312,964.1166667
313,901.3066667
314,844.54
315,778.0466667
316,715.08
317,644.7433333
318,572.0966667
319,499.61
320,425.7966667
321,312.9133333
