Time[s],Membrane1,Membrane2,Membrane3,Membrane4,Membrane5
0,3048,3111,3038,3289,2927
0.1,3049,3112,3040,3289,2928
0.2,3048,3111,3038,3288,2926
0.3,3048,3111,3040,3288,2926
0.4,3049,3111,3038,3288,2927
0.5,3045,3108,3036,3285,2923
0.6,3047,3111,3038,3287,2926
0.7,3049,3112,3040,3289,2928
0.8,3048,3110,3040,3288,2926
0.9,3048,3112,3039,3289,2927
1,3048,3112,3040,3289,2928
1.1,3049,3112,3039,3289,2927
1.2,3047,3110,3038,3288,2926
1.4,3049,3112,3041,3289,2927
1.5,3047,3111,3038,3288,2925
1.6,3048,3112,3039,3289,2927
1.7,3048,3113,3039,3290,2928
1.8,3048,3111,3038,3288,2926
1.9,3047,3111,3038,3289,2928
2,3044,3107,3035,3284,2923
2.1,3047,3111,3039,3288,2926
2.2,3049,3112,3040,3289,2927
2.3,3048,3112,3039,3288,2927
2.4,3048,3111,3039,3288,2926
2.5,3047,3111,3039,3288,2925
2.6,3048,3112,3040,3289,2927
2.7,3047,3111,3038,3287,2926
2.8,3048,3111,3038,3287,2926
2.9,3048,3112,3040,3289,2927
3,3049,3112,3040,3289,2927
3.1,3048,3112,3039,3289,2927
3.2,3048,3113,3039,3289,2927
3.3,3048,3112,3040,3288,2927
3.4,3046,3110,3036,3286,2924
3.5,3049,3112,3040,3290,2927
3.6,3048,3112,3040,3290,2927
3.7,3047,3112,3039,3288,2926
3.8,3048,3113,3040,3289,2926
3.9,3048,3112,3040,3288,2929
4,3049,3115,3040,3289,2927
4.1,3047,3111,3039,3288,2926
4.2,3049,3114,3040,3289,2928
4.3,3046,3109,3037,3286,2924
4.4,3049,3113,3040,3290,2927
4.5,3052,3116,3043,3292,2930
4.6,3052,3115,3042,3292,2930
4.7,3049,3112,3040,3289,2927
4.8,3050,3115,3041,3290,2928
4.9,3048,3112,3039,3289,2928
5,3048,3112,3038,3289,2926
5.1,3049,3112,3040,3289,2927
5.2,3049,3113,3040,3289,2928
5.3,3047,3111,3038,3288,2926
5.4,3048,3111,3039,3289,2927
5.5,3049,3112,3040,3290,2928
5.6,3048,3112,3039,3289,2927
5.7,3047,3112,3039,3289,2926
5.8,3048,3113,3040,3290,2927
5.9,3048,3112,3039,3290,2926
6,3048,3111,3039,3290,2926
6.1,3049,3113,3040,3291,2928
6.2,3049,3112,3040,3290,2928
6.3,3047,3111,3039,3288,2926
6.4,3048,3112,3040,3289,2928
6.5,3049,3114,3040,3289,2928
6.6,3048,3112,3039,3290,2926
6.7,3050,3114,3041,3291,2928
6.8,3049,3113,3040,3289,2928
6.9,3048,3111,3040,3289,2926
7,3048,3112,3039,3289,2927
7.1,3048,3112,3040,3290,2927
7.2,3048,3112,3039,3289,2927
7.3,3048,3112,3040,3289,2926
7.4,3048,3113,3040,3289,2928
7.5,3048,3112,3039,3289,2927
7.6,3049,3112,3039,3289,2927
7.7,3049,3112,3040,3291,2928
7.8,3050,3113,3041,3290,2927
7.9,3047,3111,3038,3287,2927
8,3048,3110,3038,3288,2927
8.1,3050,3114,3040,3290,2928
8.2,3048,3111,3040,3288,2927
8.3,3048,3112,3040,3290,2927
8.4,3048,3112,3039,3288,2926
8.5,3047,3111,3039,3289,2925
8.6,3047,3110,3037,3288,2925
8.7,3047,3110,3038,3289,2926
8.8,3048,3112,3039,3289,2926
8.9,3049,3112,3040,3290,2926
9,3048,3111,3039,3289,2927
9.1,3047,3111,3038,3288,2926
9.2,3048,3111,3039,3289,2925
9.3,3047,3111,3039,3289,2927
9.4,3049,3111,3039,3289,2926
9.5,3048,3111,3039,3289,2926
9.6,3049,3111,3041,3289,2928
9.7,3048,3112,3040,3290,2927
9.8,3049,3113,3040,3291,2929
9.9,3049,3112,3040,3290,2927
10,3048,3111,3040,3289,2927
10.1,3047,3112,3039,3289,2926
10.2,3048,3112,3039,3289,2928
10.3,3048,3110,3038,3288,2926
10.4,3046,3110,3039,3288,2926
10.5,3048,3111,3039,3290,2927
10.6,3049,3113,3040,3290,2928
10.7,3046,3109,3038,3287,2925
10.8,3047,3110,3038,3288,2925
10.9,3049,3113,3040,3289,2928
11,3047,3111,3039,3289,2927
11.1,3048,3111,3039,3289,2925
11.2,3046,3110,3038,3288,2926
11.3,3049,3112,3040,3290,2927
11.4,3046,3110,3038,3288,2925
11.5,3049,3112,3041,3291,2927
11.6,3049,3112,3040,3290,2927
11.7,3048,3110,3039,3289,2926
11.8,3048,3112,3039,3289,2928
11.9,3048,3112,3039,3289,2927
12,3048,3111,3038,3288,2925
12.1,3048,3113,3039,3289,2927
12.2,3047,3112,3040,3289,2927
12.3,3047,3112,3039,3289,2926
12.4,3048,3111,3039,3290,2926
12.5,3048,3113,3041,3290,2928
12.6,3048,3113,3040,3290,2927
12.7,3047,3111,3039,3288,2927
12.8,3048,3114,3041,3290,2928
12.9,3047,3112,3040,3289,2927
13,3048,3113,3040,3290,2926
13.1,3047,3110,3038,3289,2926
13.2,3048,3111,3040,3290,2927
13.3,3048,3112,3040,3289,2926
13.4,3049,3113,3039,3291,2927
13.5,3049,3113,3041,3290,2928
13.6,3048,3112,3040,3289,2926
13.7,3047,3112,3039,3289,2927
13.8,3048,3112,3040,3289,2928
13.9,3046,3109,3038,3287,2924
14,3049,3111,3040,3290,2926
14.1,3049,3112,3040,3289,2928
14.2,3048,3112,3039,3290,2926
14.3,3048,3113,3039,3289,2926
14.4,3049,3113,3040,3290,2927
14.5,3049,3112,3040,3290,2927
14.6,3048,3112,3039,3289,2926
14.7,3049,3113,3041,3290,2928
14.8,3049,3113,3041,3291,2928
14.9,3046,3111,3039,3288,2926
15,3048,3111,3039,3289,2928
15.1,3048,3112,3040,3290,2927
15.2,3045,3109,3036,3284,2922
