,Degree_of_roasting,Acid_taste,Bitter_taste,Astrigency_mouthfeel,Cup_strength,Body,Aromatic_impact,Floral,Earthy,Tarry,Nutty,Pruney
Brix_1,0.025289296465411584,-0.018502512361498608,0.025289296465411584,-0.04283093095298555,-0.012164209295743463,0.04458105658840129,-0.0220448519576463,0.06359653584963322,0.009070350737753644,0.025609589090053262,-0.12164209295743475,-0.05143232655388977
Brix_n2,0.011830528691683825,0.010583433328929309,0.011830528691683825,0.00864919753839497,-0.0009671178952671656,0.0008646797185090138,-0.013807159646486529,0.006540138466161813,0.010541038164660935,0.015129292992067021,-0.009671178952671682,-0.005573020570894667
pH,0.022672975882394905,-0.06168592679332133,0.022672975882394905,-0.044529087329267476,0.008578419732026912,0.02862624358001585,0.09028065923341101,0.13907080066685465,0.03411086885843079,0.035949580997877796,0.08578419732026918,-0.14764922039888148
Conductivity,-0.026087604163561307,0.061255714745054556,-0.026087604163561307,0.05978381732752723,-0.0007359487087636526,-0.0447818602886743,-0.06370887710760005,-0.13786469687431424,-0.02706886910857952,-0.0352741046905909,-0.007359487087636522,0.13860064558307786
orp_bin_06,-0.012588295081069852,0.054592297802023404,-0.012588295081069852,0.03212954968946392,-0.01123137405627973,-0.015197488909653308,-0.09203021132295584,-0.11212842116061002,-0.027563460489442818,-0.024271976145612908,-0.1123137405627974,0.1233597952168897
orp_bin_07,-0.012150418122194757,0.05563134717419631,-0.012150418122194757,0.03577892343776704,-0.00992621186821462,-0.018089593069596337,-0.08871872006824502,-0.11159786502903603,-0.025385367279814247,-0.022818032075069387,-0.09926211868214627,0.12152407689725064
orp_max,-0.014507984542102328,0.049317266863402175,-0.014507984542102328,0.02766272014568542,-0.010827273358858375,-0.013775625185019593,-0.08540817805959676,-0.10788359911449844,-0.02894434902058015,-0.026562161628708645,-0.10827273358858382,0.1187108724733568
orp_class_at_max,-0.02627556849607168,0.05232410441953777,-0.02627556849607168,0.03836900528278242,-0.006977549568377667,-0.027869875560190056,-0.07558260298079664,-0.13111044353467508,-0.03557896792057523,-0.039685791040347355,-0.06977549568377671,0.13808799310305273
cmos_m4_delta_30s,0.01360555090014178,-0.05175137569556263,0.01360555090014178,-0.04219017203385673,0.004780601830852948,0.02629725681970998,0.06768671513173911,0.1041711781742265,0.019979686674612376,0.021327802420757668,0.04780601830852952,-0.10895178000507942
cmos_m4_slope_30s,-0.012569340712018564,0.009711346013397933,-0.012569340712018564,0.02753346527967041,0.008911059633136232,-0.027909647804494873,0.01999218609705619,-0.029752565516813965,-0.0006879278678369292,-0.010818414527267345,0.0891105963313624,0.020841505883677745
cmos_m4_auc_30s,-0.016221754163634774,0.050687524838547035,-0.016221754163634774,0.024642786442574387,-0.013022369197986314,-0.011111967505515423,-0.09409542216516809,-0.11509147268874007,-0.03358491309428318,-0.030310585016837185,-0.13022369197986322,0.12811384188672634
cmos_m4_max_30s,-0.01618274241065813,0.04968208577743552,-0.01618274241065813,0.02379083730480794,-0.01294562423631378,-0.010666892455837964,-0.0928341665651481,-0.11351138715425486,-0.03344357472574316,-0.030207406038419975,-0.1294562423631379,0.1264570113905686
cmos_m4_baseline_30s,-0.016748073988350733,0.052569537286762565,-0.016748073988350733,0.027182439369799274,-0.012693548958481633,-0.013039293095097193,-0.094881367148368,-0.11848507182609792,-0.033672805932992905,-0.030793131290122018,-0.12693548958481643,0.13117862078457954
qcm_graph_03_slope_30s,0.004319705245946306,-0.03747494556694254,0.004319705245946306,-0.03988498328121547,-0.0012050188571364716,0.025560830871537446,0.03345821604315427,0.06067339136002549,0.002713013436431015,0.004956261089837437,-0.012050188571364714,-0.059468372502889
qcm_graph_12_auc_30s,-0.021608223519140237,0.06106803353641044,-0.021608223519140237,0.04296427755341171,-0.009051877991499358,-0.026915014021391067,-0.09124096017474159,-0.13658836327125765,-0.0336773941744727,-0.034845550019853205,-0.09051877991499364,0.145640241262757
qcm_graph_11_slope_30s,-0.0026477040752498175,-0.030562802576955903,-0.0026477040752498175,-0.025501099292098345,0.002530851642428775,0.011509058502336739,0.03899897471838514,0.04090771883356337,0.0007267647813218815,-0.001843037672047265,0.025308516424287775,-0.04343857047599211
qcm_graph_14_slope_30s,0.002789067893948386,-0.04219416046957461,0.002789067893948386,-0.03076693833064208,0.0057136110694662534,0.014423194947703824,0.06123953070112877,0.07075934000785866,0.010407215986570054,0.007527831238241984,0.057136110694662595,-0.0764729510773249
qcm_graph_01_slope_30s,-0.0013988068252657854,-0.03143821544935254,-0.0013988068252657854,-0.028688238629252988,0.001374988410049772,0.0147461803601356,0.03602151014951843,0.043491379536232874,0.0004345110548005787,-0.0009484168269878821,0.013749884100497739,-0.04486636794628261
qcm_graph_12_max_30s,-0.0216799575013586,0.061800728084666835,-0.0216799575013586,0.04542709446151954,-0.008186816811573643,-0.02901217533644206,-0.089090117456579,-0.13698903152448802,-0.032595713250123455,-0.03436448787619389,-0.08186816811573648,0.14517584833606165
qcm_graph_12_slope_30s,0.004118420812951285,-0.03692989177143444,0.004118420812951285,-0.039736665056814516,-0.0014033866426900387,0.025540950203875087,0.03225193629580097,0.059331868545236865,0.0022472386226979053,0.004555636655475035,-0.014033866426900386,-0.05792848190254681
qcm_graph_12_baseline_30s,-0.020962373777016954,0.060571320183005435,-0.020962373777016954,0.04136563743093377,-0.009602841376035828,-0.02530493100703734,-0.0925807914364582,-0.1351470734626439,-0.03376616227839805,-0.03435172595337979,-0.09602841376035832,0.14474991483867972
qcm_graph_12_delta_30s,-0.00973484904609959,0.019789814665136386,-0.00973484904609959,0.0453465223780776,0.012778353856470597,-0.03982026531692181,0.022804698189765632,-0.03525236564405405,0.007302956095861195,-0.004460896157152485,0.1277835385647061,0.02247401178758346
qcm_graph_07_slope_30s,0.0017062043456409059,-0.029426009839710904,0.0017062043456409059,-0.03677287663152558,-0.003673433395907337,0.024543109191599667,0.0171812318533531,0.041963487356891635,-0.0031917068489022036,-0.00017401646975032602,-0.03673433395907339,-0.03829005396098429
is_time0,0.013449284488871342,-0.052491186845916374,0.013449284488871342,-0.023258162514504667,0.014616512165705843,0.007917967424885897,0.10121289406493585,0.1138295579086074,0.032937967376479124,0.027676720762298948,0.14616512165705853,-0.1284460700743132
