feature,importance
Conductivity,36.07284607876365
pH,19.57531887182443
qcm_graph_10_max_30s,4.728568504809691
qcm_graph_07_baseline_30s,0.30640331097999507
orp_bin_06,0.05892771546168464
qcm_graph_13_baseline_30s,9.516860217451526e-11
orp_bin_07,9.836030204463264e-13
Brix_1,1.5040900684291669e-15
cmos_m2_slope_30s,1.2002135197971614e-15
Brix_n2,2.2809422365157575e-16
cmos_m3_slope_30s,1.8062842064102228e-16
orp_bin_00,1.6887958152681642e-16
cmos_m4_baseline_30s,2.949785657955735e-17
orp_bin_01,1.4365681693969534e-18
cmos_m3_delta_30s,1.08420023390193e-19
orp_bin_02,2.710509957087017e-20
qcm_graph_06_slope_30s,2.326444055351044e-25
cmos_m4_slope_30s,3.196202641474798e-29
cmos_m1_slope_30s,2.8399130073775697e-30
cmos_m5_slope_30s,2.1211830355220962e-30
orp_bin_12,1.6852538237640943e-30
cmos_m1_auc_30s,1.4199499679401943e-30
orp_bin_11,1.3147689903777696e-30
orp_bin_14,1.1586120420183285e-30
orp_bin_03,5.610230166418095e-31
cmos_m3_auc_30s,4.93098192288415e-32
qcm_graph_07_slope_30s,9.629639964414712e-35
qcm_graph_21_slope_30s,1.2037069685800768e-35
qcm_graph_04_delta_30s,4.1847636163812586e-36
qcm_graph_22_delta_30s,1.1754937734873202e-36
qcm_graph_16_max_30s,0.0
qcm_graph_10_delta_30s,0.0
qcm_graph_01_slope_30s,0.0
qcm_graph_21_max_30s,0.0
qcm_graph_12_delta_30s,0.0
qcm_graph_21_auc_30s,0.0
qcm_graph_04_max_30s,0.0
qcm_graph_14_auc_30s,0.0
qcm_graph_20_baseline_30s,0.0
qcm_graph_14_max_30s,0.0
qcm_graph_03_auc_30s,0.0
qcm_graph_09_slope_30s,0.0
qcm_graph_15_max_30s,0.0
qcm_graph_13_delta_30s,0.0
qcm_graph_04_auc_30s,0.0
qcm_graph_03_delta_30s,0.0
qcm_graph_10_auc_30s,0.0
qcm_graph_05_max_30s,0.0
qcm_graph_11_delta_30s,0.0
qcm_graph_05_baseline_30s,0.0
qcm_graph_08_baseline_30s,0.0
qcm_graph_07_delta_30s,0.0
qcm_graph_14_delta_30s,0.0
qcm_graph_16_delta_30s,0.0
qcm_graph_16_auc_30s,0.0
qcm_graph_06_max_30s,0.0
qcm_graph_20_auc_30s,0.0
qcm_graph_20_delta_30s,0.0
group_id,0.0
qcm_graph_13_slope_30s,0.0
qcm_graph_11_baseline_30s,0.0
qcm_graph_05_delta_30s,0.0
qcm_graph_16_slope_30s,0.0
qcm_graph_15_baseline_30s,0.0
qcm_graph_07_max_30s,0.0
qcm_graph_08_auc_30s,0.0
qcm_graph_04_slope_30s,0.0
qcm_graph_13_max_30s,0.0
qcm_graph_09_auc_30s,0.0
qcm_graph_13_auc_30s,0.0
qcm_graph_09_baseline_30s,0.0
qcm_graph_16_baseline_30s,0.0
qcm_graph_20_max_30s,0.0
qcm_graph_01_max_30s,0.0
qcm_graph_01_baseline_30s,0.0
qcm_graph_06_baseline_30s,0.0
qcm_graph_15_slope_30s,0.0
qcm_graph_11_slope_30s,0.0
qcm_graph_09_delta_30s,0.0
qcm_graph_09_max_30s,0.0
qcm_graph_14_slope_30s,0.0
qcm_graph_12_max_30s,0.0
qcm_graph_12_auc_30s,0.0
qcm_graph_08_max_30s,0.0
qcm_graph_10_slope_30s,0.0
qcm_graph_06_auc_30s,0.0
qcm_graph_08_slope_30s,0.0
qcm_graph_12_slope_30s,0.0
cmos_m5_max_30s,0.0
cmos_m1_delta_30s,0.0
cmos_m4_auc_30s,0.0
cmos_m3_max_30s,0.0
cmos_m4_delta_30s,0.0
cmos_m5_baseline_30s,0.0
cmos_m2_max_30s,0.0
cmos_m3_baseline_30s,0.0
cmos_m2_delta_30s,0.0
cmos_m5_auc_30s,0.0
cmos_m2_baseline_30s,0.0
cmos_m4_max_30s,0.0
cmos_m1_baseline_30s,0.0
orp_class_at_max,0.0
orp_max,0.0
orp_std,0.0
orp_mean,0.0
orp_sum,0.0
orp_bin_15,0.0
orp_bin_13,0.0
orp_bin_10,0.0
orp_bin_09,0.0
orp_bin_08,0.0
orp_bin_05,0.0
orp_bin_04,0.0
cmos_m5_delta_30s,0.0
cmos_m1_max_30s,0.0
cmos_m2_auc_30s,0.0
qcm_graph_05_auc_30s,0.0
qcm_graph_15_delta_30s,0.0
qcm_graph_20_slope_30s,0.0
qcm_graph_21_delta_30s,0.0
qcm_graph_01_delta_30s,0.0
qcm_graph_22_auc_30s,0.0
qcm_graph_03_max_30s,0.0
qcm_graph_11_max_30s,0.0
qcm_graph_07_auc_30s,0.0
qcm_graph_14_baseline_30s,0.0
qcm_graph_03_baseline_30s,0.0
qcm_graph_12_baseline_30s,0.0
qcm_graph_22_baseline_30s,0.0
qcm_graph_01_auc_30s,0.0
qcm_graph_04_baseline_30s,0.0
qcm_graph_03_slope_30s,0.0
qcm_graph_21_baseline_30s,0.0
qcm_graph_05_slope_30s,0.0
qcm_graph_10_baseline_30s,0.0
qcm_graph_06_delta_30s,0.0
qcm_graph_08_delta_30s,0.0
qcm_graph_11_auc_30s,0.0
qcm_graph_22_slope_30s,0.0
qcm_graph_22_max_30s,0.0
qcm_graph_15_auc_30s,0.0
is_time0,0.0
