feature,importance
Conductivity,552.8707143090096
pH,237.1794787133396
qcm_graph_10_max_30s,52.53959387562846
qcm_graph_07_baseline_30s,3.4044820028649103
orp_bin_06,2.4400480437692824
qcm_graph_13_baseline_30s,1.0574300325250597e-09
orp_bin_07,1.399278597566922e-11
Brix_1,2.487017958700763e-12
cmos_m2_slope_30s,1.587484352753132e-14
orp_bin_00,6.20250285685987e-15
cmos_m4_baseline_30s,4.883606323400449e-16
cmos_m3_slope_30s,4.614401317704514e-16
cmos_m3_delta_30s,2.2209921207065707e-16
Brix_n2,6.961350203176818e-17
orp_bin_01,8.678120404360174e-19
cmos_m1_slope_30s,2.0194869988537012e-27
cmos_m2_baseline_30s,5.050250542439305e-29
orp_bin_02,1.0894031329900242e-30
cmos_m3_auc_30s,2.465196059350622e-32
orp_bin_12,1.5407439555097887e-33
qcm_graph_11_baseline_30s,0.0
qcm_graph_04_max_30s,0.0
qcm_graph_13_slope_30s,0.0
group_id,0.0
qcm_graph_21_auc_30s,0.0
qcm_graph_12_delta_30s,0.0
qcm_graph_03_auc_30s,0.0
qcm_graph_09_slope_30s,0.0
qcm_graph_15_max_30s,0.0
qcm_graph_13_delta_30s,0.0
qcm_graph_20_baseline_30s,0.0
qcm_graph_03_delta_30s,0.0
qcm_graph_14_max_30s,0.0
qcm_graph_10_auc_30s,0.0
qcm_graph_16_max_30s,0.0
qcm_graph_05_max_30s,0.0
qcm_graph_11_delta_30s,0.0
qcm_graph_05_baseline_30s,0.0
qcm_graph_08_baseline_30s,0.0
qcm_graph_07_delta_30s,0.0
qcm_graph_14_delta_30s,0.0
qcm_graph_16_delta_30s,0.0
qcm_graph_04_auc_30s,0.0
qcm_graph_16_auc_30s,0.0
qcm_graph_10_slope_30s,0.0
qcm_graph_09_delta_30s,0.0
qcm_graph_08_slope_30s,0.0
qcm_graph_12_slope_30s,0.0
qcm_graph_14_auc_30s,0.0
qcm_graph_10_delta_30s,0.0
qcm_graph_08_auc_30s,0.0
qcm_graph_01_slope_30s,0.0
qcm_graph_04_slope_30s,0.0
qcm_graph_13_max_30s,0.0
qcm_graph_09_auc_30s,0.0
qcm_graph_13_auc_30s,0.0
qcm_graph_20_delta_30s,0.0
qcm_graph_09_baseline_30s,0.0
qcm_graph_20_max_30s,0.0
qcm_graph_07_max_30s,0.0
qcm_graph_15_baseline_30s,0.0
qcm_graph_16_slope_30s,0.0
qcm_graph_01_max_30s,0.0
qcm_graph_01_baseline_30s,0.0
qcm_graph_06_baseline_30s,0.0
qcm_graph_15_slope_30s,0.0
qcm_graph_11_slope_30s,0.0
qcm_graph_06_max_30s,0.0
qcm_graph_21_slope_30s,0.0
qcm_graph_09_max_30s,0.0
qcm_graph_14_slope_30s,0.0
qcm_graph_05_delta_30s,0.0
qcm_graph_20_slope_30s,0.0
qcm_graph_12_max_30s,0.0
qcm_graph_12_auc_30s,0.0
qcm_graph_08_max_30s,0.0
qcm_graph_16_baseline_30s,0.0
qcm_graph_20_auc_30s,0.0
qcm_graph_21_max_30s,0.0
qcm_graph_15_delta_30s,0.0
qcm_graph_06_auc_30s,0.0
qcm_graph_21_delta_30s,0.0
cmos_m1_delta_30s,0.0
cmos_m3_max_30s,0.0
cmos_m4_delta_30s,0.0
cmos_m5_baseline_30s,0.0
cmos_m2_max_30s,0.0
cmos_m3_baseline_30s,0.0
cmos_m2_delta_30s,0.0
cmos_m5_auc_30s,0.0
cmos_m4_max_30s,0.0
cmos_m1_baseline_30s,0.0
cmos_m1_auc_30s,0.0
cmos_m4_slope_30s,0.0
cmos_m5_slope_30s,0.0
orp_class_at_max,0.0
orp_max,0.0
orp_std,0.0
orp_mean,0.0
orp_sum,0.0
orp_bin_15,0.0
orp_bin_14,0.0
orp_bin_13,0.0
orp_bin_11,0.0
orp_bin_10,0.0
orp_bin_09,0.0
orp_bin_08,0.0
orp_bin_05,0.0
orp_bin_04,0.0
orp_bin_03,0.0
cmos_m4_auc_30s,0.0
cmos_m5_max_30s,0.0
qcm_graph_01_delta_30s,0.0
cmos_m5_delta_30s,0.0
qcm_graph_22_auc_30s,0.0
qcm_graph_03_max_30s,0.0
qcm_graph_11_max_30s,0.0
qcm_graph_07_auc_30s,0.0
qcm_graph_14_baseline_30s,0.0
qcm_graph_06_slope_30s,0.0
qcm_graph_03_baseline_30s,0.0
qcm_graph_12_baseline_30s,0.0
qcm_graph_05_auc_30s,0.0
qcm_graph_22_baseline_30s,0.0
qcm_graph_04_baseline_30s,0.0
qcm_graph_03_slope_30s,0.0
qcm_graph_21_baseline_30s,0.0
qcm_graph_05_slope_30s,0.0
qcm_graph_10_baseline_30s,0.0
qcm_graph_06_delta_30s,0.0
qcm_graph_08_delta_30s,0.0
qcm_graph_11_auc_30s,0.0
qcm_graph_22_slope_30s,0.0
qcm_graph_22_max_30s,0.0
qcm_graph_15_auc_30s,0.0
qcm_graph_01_auc_30s,0.0
qcm_graph_07_slope_30s,0.0
qcm_graph_22_delta_30s,0.0
qcm_graph_04_delta_30s,0.0
cmos_m2_auc_30s,0.0
cmos_m1_max_30s,0.0
is_time0,0.0
