feature,mean_abs_shap
Conductivity,0.3431515356766273
pH,0.19103367683979497
qcm_graph_10_max_30s,0.10622400072732475
Brix_1,0.01455636189346411
qcm_graph_07_baseline_30s,0.013338879608218413
orp_bin_06,0.0013922983640094224
Brix_n2,0.000533423266613914
qcm_graph_13_baseline_30s,9.381653767716398e-08
orp_bin_07,1.142933811479148e-08
cmos_m2_slope_30s,8.2333637990449e-17
cmos_m4_slope_30s,3.786368459018726e-17
orp_bin_01,2.351060522711235e-17
cmos_m4_baseline_30s,1.8097199382493704e-17
cmos_m3_slope_30s,9.939861623535926e-18
orp_bin_02,3.1057219275602512e-18
cmos_m3_delta_30s,1.5451128738941944e-18
orp_bin_00,1.0212517209437726e-18
cmos_m1_slope_30s,2.158667635259069e-24
qcm_graph_06_slope_30s,4.524392132454578e-25
qcm_graph_04_delta_30s,7.646824262273623e-29
qcm_graph_22_delta_30s,1.7046749533743722e-29
qcm_graph_10_auc_30s,0.0
qcm_graph_21_auc_30s,0.0
qcm_graph_05_delta_30s,0.0
qcm_graph_04_max_30s,0.0
qcm_graph_11_baseline_30s,0.0
qcm_graph_13_slope_30s,0.0
qcm_graph_14_max_30s,0.0
qcm_graph_03_auc_30s,0.0
qcm_graph_09_slope_30s,0.0
qcm_graph_15_max_30s,0.0
qcm_graph_13_delta_30s,0.0
qcm_graph_20_baseline_30s,0.0
qcm_graph_03_delta_30s,0.0
qcm_graph_13_max_30s,0.0
qcm_graph_05_max_30s,0.0
qcm_graph_05_baseline_30s,0.0
qcm_graph_08_baseline_30s,0.0
qcm_graph_07_delta_30s,0.0
qcm_graph_14_delta_30s,0.0
group_id,0.0
qcm_graph_16_delta_30s,0.0
qcm_graph_04_auc_30s,0.0
qcm_graph_16_auc_30s,0.0
qcm_graph_10_slope_30s,0.0
qcm_graph_09_delta_30s,0.0
qcm_graph_08_slope_30s,0.0
qcm_graph_12_slope_30s,0.0
qcm_graph_11_delta_30s,0.0
qcm_graph_12_delta_30s,0.0
qcm_graph_09_auc_30s,0.0
qcm_graph_06_max_30s,0.0
qcm_graph_13_auc_30s,0.0
qcm_graph_20_delta_30s,0.0
qcm_graph_09_baseline_30s,0.0
qcm_graph_20_max_30s,0.0
qcm_graph_01_max_30s,0.0
qcm_graph_04_slope_30s,0.0
qcm_graph_08_auc_30s,0.0
qcm_graph_07_max_30s,0.0
qcm_graph_01_baseline_30s,0.0
qcm_graph_15_baseline_30s,0.0
qcm_graph_06_baseline_30s,0.0
qcm_graph_15_slope_30s,0.0
qcm_graph_11_slope_30s,0.0
qcm_graph_21_slope_30s,0.0
qcm_graph_14_auc_30s,0.0
qcm_graph_09_max_30s,0.0
qcm_graph_14_slope_30s,0.0
qcm_graph_12_max_30s,0.0
qcm_graph_12_auc_30s,0.0
qcm_graph_16_slope_30s,0.0
qcm_graph_20_slope_30s,0.0
qcm_graph_08_max_30s,0.0
qcm_graph_16_baseline_30s,0.0
qcm_graph_20_auc_30s,0.0
qcm_graph_21_max_30s,0.0
qcm_graph_01_slope_30s,0.0
qcm_graph_10_delta_30s,0.0
qcm_graph_16_max_30s,0.0
qcm_graph_15_delta_30s,0.0
qcm_graph_06_auc_30s,0.0
qcm_graph_21_delta_30s,0.0
qcm_graph_01_delta_30s,0.0
cmos_m5_baseline_30s,0.0
cmos_m2_max_30s,0.0
cmos_m3_baseline_30s,0.0
cmos_m2_delta_30s,0.0
cmos_m5_auc_30s,0.0
cmos_m2_baseline_30s,0.0
cmos_m3_auc_30s,0.0
cmos_m4_max_30s,0.0
cmos_m1_baseline_30s,0.0
cmos_m1_auc_30s,0.0
cmos_m5_slope_30s,0.0
orp_class_at_max,0.0
orp_max,0.0
orp_std,0.0
orp_mean,0.0
orp_sum,0.0
orp_bin_15,0.0
orp_bin_14,0.0
orp_bin_13,0.0
orp_bin_12,0.0
orp_bin_11,0.0
orp_bin_10,0.0
orp_bin_09,0.0
orp_bin_08,0.0
orp_bin_05,0.0
orp_bin_04,0.0
orp_bin_03,0.0
cmos_m4_delta_30s,0.0
cmos_m3_max_30s,0.0
cmos_m4_auc_30s,0.0
qcm_graph_05_slope_30s,0.0
qcm_graph_22_auc_30s,0.0
qcm_graph_03_max_30s,0.0
qcm_graph_11_max_30s,0.0
qcm_graph_07_auc_30s,0.0
qcm_graph_14_baseline_30s,0.0
qcm_graph_03_baseline_30s,0.0
qcm_graph_12_baseline_30s,0.0
qcm_graph_05_auc_30s,0.0
qcm_graph_22_baseline_30s,0.0
qcm_graph_04_baseline_30s,0.0
qcm_graph_03_slope_30s,0.0
qcm_graph_21_baseline_30s,0.0
qcm_graph_10_baseline_30s,0.0
cmos_m1_delta_30s,0.0
qcm_graph_06_delta_30s,0.0
qcm_graph_08_delta_30s,0.0
qcm_graph_11_auc_30s,0.0
qcm_graph_22_slope_30s,0.0
qcm_graph_22_max_30s,0.0
qcm_graph_15_auc_30s,0.0
qcm_graph_01_auc_30s,0.0
qcm_graph_07_slope_30s,0.0
cmos_m2_auc_30s,0.0
cmos_m1_max_30s,0.0
cmos_m5_delta_30s,0.0
cmos_m5_max_30s,0.0
is_time0,0.0
