feature,mean_abs_shap
Conductivity,0.18571686387490996
pH,0.13585908784592035
qcm_graph_10_max_30s,0.12142031067201249
qcm_graph_07_baseline_30s,0.013339037793642783
orp_bin_06,0.0024881940460609237
qcm_graph_13_baseline_30s,9.381653257308248e-08
orp_bin_07,6.912352244316856e-09
Brix_1,1.4748581300635986e-09
Brix_n2,1.7369831633203644e-10
cmos_m2_slope_30s,1.6740403725237013e-16
orp_bin_00,1.2265682919866904e-16
cmos_m4_baseline_30s,1.1971232171461082e-16
orp_bin_01,9.960061392828306e-17
cmos_m1_slope_30s,9.831707640408724e-17
cmos_m4_slope_30s,7.143160427428182e-17
cmos_m3_delta_30s,7.092180907503691e-17
orp_bin_02,2.9891677388258855e-17
orp_bin_12,1.4838101000277623e-17
cmos_m5_slope_30s,1.391762448821237e-17
orp_bin_03,5.2029857767234586e-18
cmos_m3_slope_30s,4.551577233019225e-18
orp_bin_14,3.0665055973237677e-18
orp_bin_11,2.175258718879276e-18
cmos_m1_auc_30s,1.3061447347839513e-18
qcm_graph_06_slope_30s,7.439951229564728e-23
cmos_m3_auc_30s,1.1356339258145767e-26
qcm_graph_21_slope_30s,1.3782544855752687e-27
qcm_graph_07_slope_30s,1.3713976277805825e-27
qcm_graph_04_delta_30s,3.8221827290719405e-29
qcm_graph_22_delta_30s,3.7898194234339257e-29
qcm_graph_04_max_30s,0.0
qcm_graph_21_auc_30s,0.0
qcm_graph_01_slope_30s,0.0
qcm_graph_12_delta_30s,0.0
qcm_graph_10_delta_30s,0.0
qcm_graph_21_max_30s,0.0
qcm_graph_16_max_30s,0.0
qcm_graph_14_auc_30s,0.0
qcm_graph_20_baseline_30s,0.0
qcm_graph_14_max_30s,0.0
qcm_graph_03_auc_30s,0.0
qcm_graph_09_slope_30s,0.0
qcm_graph_15_max_30s,0.0
qcm_graph_13_delta_30s,0.0
qcm_graph_04_auc_30s,0.0
qcm_graph_03_delta_30s,0.0
qcm_graph_10_auc_30s,0.0
qcm_graph_05_max_30s,0.0
qcm_graph_11_delta_30s,0.0
qcm_graph_05_baseline_30s,0.0
qcm_graph_08_baseline_30s,0.0
qcm_graph_07_delta_30s,0.0
qcm_graph_14_delta_30s,0.0
qcm_graph_16_delta_30s,0.0
qcm_graph_16_auc_30s,0.0
qcm_graph_06_max_30s,0.0
qcm_graph_20_auc_30s,0.0
qcm_graph_20_delta_30s,0.0
group_id,0.0
qcm_graph_13_slope_30s,0.0
qcm_graph_11_baseline_30s,0.0
qcm_graph_05_delta_30s,0.0
qcm_graph_16_slope_30s,0.0
qcm_graph_15_baseline_30s,0.0
qcm_graph_07_max_30s,0.0
qcm_graph_08_auc_30s,0.0
qcm_graph_04_slope_30s,0.0
qcm_graph_13_max_30s,0.0
qcm_graph_09_auc_30s,0.0
qcm_graph_13_auc_30s,0.0
qcm_graph_09_baseline_30s,0.0
qcm_graph_16_baseline_30s,0.0
qcm_graph_20_max_30s,0.0
qcm_graph_01_max_30s,0.0
qcm_graph_01_baseline_30s,0.0
qcm_graph_06_baseline_30s,0.0
qcm_graph_15_slope_30s,0.0
qcm_graph_11_slope_30s,0.0
qcm_graph_09_delta_30s,0.0
qcm_graph_09_max_30s,0.0
qcm_graph_14_slope_30s,0.0
qcm_graph_12_max_30s,0.0
qcm_graph_12_auc_30s,0.0
qcm_graph_08_max_30s,0.0
qcm_graph_10_slope_30s,0.0
qcm_graph_06_auc_30s,0.0
qcm_graph_08_slope_30s,0.0
qcm_graph_12_slope_30s,0.0
cmos_m5_max_30s,0.0
cmos_m1_delta_30s,0.0
cmos_m4_auc_30s,0.0
cmos_m3_max_30s,0.0
cmos_m4_delta_30s,0.0
cmos_m5_baseline_30s,0.0
cmos_m2_max_30s,0.0
cmos_m3_baseline_30s,0.0
cmos_m2_delta_30s,0.0
cmos_m5_auc_30s,0.0
cmos_m2_baseline_30s,0.0
cmos_m4_max_30s,0.0
cmos_m1_baseline_30s,0.0
orp_class_at_max,0.0
orp_max,0.0
orp_std,0.0
orp_mean,0.0
orp_sum,0.0
orp_bin_15,0.0
orp_bin_13,0.0
orp_bin_10,0.0
orp_bin_09,0.0
orp_bin_08,0.0
orp_bin_05,0.0
orp_bin_04,0.0
cmos_m5_delta_30s,0.0
cmos_m1_max_30s,0.0
cmos_m2_auc_30s,0.0
qcm_graph_05_auc_30s,0.0
qcm_graph_15_delta_30s,0.0
qcm_graph_20_slope_30s,0.0
qcm_graph_21_delta_30s,0.0
qcm_graph_01_delta_30s,0.0
qcm_graph_22_auc_30s,0.0
qcm_graph_03_max_30s,0.0
qcm_graph_11_max_30s,0.0
qcm_graph_07_auc_30s,0.0
qcm_graph_14_baseline_30s,0.0
qcm_graph_03_baseline_30s,0.0
qcm_graph_12_baseline_30s,0.0
qcm_graph_22_baseline_30s,0.0
qcm_graph_01_auc_30s,0.0
qcm_graph_04_baseline_30s,0.0
qcm_graph_03_slope_30s,0.0
qcm_graph_21_baseline_30s,0.0
qcm_graph_05_slope_30s,0.0
qcm_graph_10_baseline_30s,0.0
qcm_graph_06_delta_30s,0.0
qcm_graph_08_delta_30s,0.0
qcm_graph_11_auc_30s,0.0
qcm_graph_22_slope_30s,0.0
qcm_graph_22_max_30s,0.0
qcm_graph_15_auc_30s,0.0
is_time0,0.0
