feature,mean_abs_shap
Conductivity,0.07605831481173128
pH,0.029180164578156125
orp_bin_06,0.0006439408631316536
orp_bin_07,5.577046024441929e-12
cmos_m4_baseline_30s,2.2530150332273115e-16
qcm_graph_04_delta_30s,1.3717636652013475e-16
orp_bin_00,4.234911252927642e-17
cmos_m2_slope_30s,2.01504392176635e-17
orp_bin_01,1.581921272891889e-17
qcm_graph_22_slope_30s,7.077974130222472e-18
cmos_m1_slope_30s,6.748414463240614e-18
cmos_m5_delta_30s,3.4063660984134088e-18
cmos_m3_delta_30s,2.844468575130433e-18
qcm_graph_10_max_30s,2.0680624968090006e-18
qcm_graph_05_slope_30s,1.1333621127055902e-18
orp_bin_02,1.0007954773253273e-18
Brix_1,3.822911254531877e-19
qcm_graph_08_delta_30s,5.14995013087749e-20
Brix_n2,4.5494421432589387e-20
orp_bin_03,1.0210883046277684e-20
orp_bin_04,6.388179456535227e-21
qcm_graph_09_slope_30s,7.373674439139784e-23
qcm_graph_21_delta_30s,8.034607167724005e-24
qcm_graph_08_slope_30s,2.856218525058817e-25
qcm_graph_06_slope_30s,3.7987400466661674e-27
orp_class_at_max,1.684831640930523e-27
cmos_m3_slope_30s,1.0416365463446242e-27
qcm_graph_10_slope_30s,4.0144846717440065e-29
qcm_graph_07_slope_30s,8.859404628977624e-30
qcm_graph_14_max_30s,0.0
qcm_graph_07_delta_30s,0.0
qcm_graph_04_max_30s,0.0
qcm_graph_21_auc_30s,0.0
qcm_graph_03_auc_30s,0.0
qcm_graph_14_auc_30s,0.0
qcm_graph_12_delta_30s,0.0
qcm_graph_15_max_30s,0.0
qcm_graph_08_baseline_30s,0.0
qcm_graph_16_auc_30s,0.0
qcm_graph_13_delta_30s,0.0
qcm_graph_20_baseline_30s,0.0
qcm_graph_03_delta_30s,0.0
qcm_graph_10_auc_30s,0.0
qcm_graph_04_auc_30s,0.0
qcm_graph_16_delta_30s,0.0
qcm_graph_14_delta_30s,0.0
qcm_graph_05_max_30s,0.0
qcm_graph_11_delta_30s,0.0
qcm_graph_05_baseline_30s,0.0
qcm_graph_16_max_30s,0.0
qcm_graph_12_max_30s,0.0
qcm_graph_10_delta_30s,0.0
qcm_graph_01_slope_30s,0.0
group_id,0.0
qcm_graph_13_slope_30s,0.0
qcm_graph_11_baseline_30s,0.0
qcm_graph_05_delta_30s,0.0
qcm_graph_16_slope_30s,0.0
qcm_graph_15_baseline_30s,0.0
qcm_graph_07_max_30s,0.0
qcm_graph_08_auc_30s,0.0
qcm_graph_04_slope_30s,0.0
qcm_graph_13_max_30s,0.0
qcm_graph_09_auc_30s,0.0
qcm_graph_13_auc_30s,0.0
qcm_graph_20_delta_30s,0.0
qcm_graph_09_baseline_30s,0.0
qcm_graph_20_max_30s,0.0
qcm_graph_01_max_30s,0.0
qcm_graph_01_baseline_30s,0.0
qcm_graph_06_baseline_30s,0.0
qcm_graph_15_slope_30s,0.0
qcm_graph_11_slope_30s,0.0
qcm_graph_06_max_30s,0.0
qcm_graph_21_slope_30s,0.0
qcm_graph_09_max_30s,0.0
qcm_graph_14_slope_30s,0.0
qcm_graph_12_auc_30s,0.0
qcm_graph_08_max_30s,0.0
qcm_graph_16_baseline_30s,0.0
qcm_graph_20_auc_30s,0.0
qcm_graph_21_max_30s,0.0
qcm_graph_09_delta_30s,0.0
qcm_graph_06_auc_30s,0.0
qcm_graph_12_slope_30s,0.0
cmos_m5_slope_30s,0.0
cmos_m4_delta_30s,0.0
cmos_m5_baseline_30s,0.0
cmos_m2_max_30s,0.0
cmos_m3_baseline_30s,0.0
cmos_m2_delta_30s,0.0
cmos_m5_auc_30s,0.0
cmos_m2_baseline_30s,0.0
cmos_m3_auc_30s,0.0
cmos_m4_max_30s,0.0
cmos_m1_baseline_30s,0.0
cmos_m1_auc_30s,0.0
cmos_m4_slope_30s,0.0
orp_max,0.0
qcm_graph_15_delta_30s,0.0
orp_std,0.0
orp_mean,0.0
orp_sum,0.0
orp_bin_15,0.0
orp_bin_14,0.0
orp_bin_13,0.0
orp_bin_12,0.0
orp_bin_11,0.0
orp_bin_10,0.0
orp_bin_09,0.0
orp_bin_08,0.0
orp_bin_05,0.0
cmos_m3_max_30s,0.0
cmos_m4_auc_30s,0.0
cmos_m1_delta_30s,0.0
cmos_m5_max_30s,0.0
qcm_graph_20_slope_30s,0.0
qcm_graph_01_delta_30s,0.0
qcm_graph_22_auc_30s,0.0
qcm_graph_03_max_30s,0.0
qcm_graph_11_max_30s,0.0
qcm_graph_07_auc_30s,0.0
qcm_graph_14_baseline_30s,0.0
qcm_graph_03_baseline_30s,0.0
qcm_graph_12_baseline_30s,0.0
qcm_graph_05_auc_30s,0.0
qcm_graph_22_baseline_30s,0.0
qcm_graph_04_baseline_30s,0.0
qcm_graph_03_slope_30s,0.0
qcm_graph_21_baseline_30s,0.0
qcm_graph_10_baseline_30s,0.0
qcm_graph_06_delta_30s,0.0
qcm_graph_11_auc_30s,0.0
qcm_graph_22_max_30s,0.0
qcm_graph_15_auc_30s,0.0
qcm_graph_13_baseline_30s,0.0
qcm_graph_07_baseline_30s,0.0
qcm_graph_01_auc_30s,0.0
qcm_graph_22_delta_30s,0.0
cmos_m2_auc_30s,0.0
cmos_m1_max_30s,0.0
is_time0,0.0
