feature,importance
Conductivity,5.5703531693269355
pH,1.5906666446178181
orp_bin_06,0.006408466754289931
cmos_m2_slope_30s,5.717647774178253e-17
Brix_1,5.204392630723273e-17
qcm_graph_15_slope_30s,3.806290579363447e-17
orp_bin_02,3.5157638677739744e-17
orp_bin_00,2.622301386797564e-17
cmos_m3_delta_30s,1.2144288915250519e-17
Brix_n2,3.46944990125843e-18
cmos_m1_delta_30s,1.7347199604626192e-18
cmos_m3_baseline_30s,1.0367684045835493e-18
orp_bin_07,7.75512016361917e-19
qcm_graph_16_delta_30s,8.576532916043708e-20
cmos_m1_slope_30s,6.776259862972856e-20
qcm_graph_13_slope_30s,2.901104380214389e-20
orp_bin_03,2.5410991446854886e-21
orp_bin_01,1.694069945515489e-21
orp_bin_04,2.6469823777857925e-23
cmos_m5_baseline_30s,8.07793952132305e-28
qcm_graph_20_delta_30s,2.168054068083378e-29
qcm_graph_12_delta_30s,2.1474600362403777e-30
qcm_graph_20_baseline_30s,7.099749839700971e-31
cmos_m5_delta_30s,5.808879777949996e-31
qcm_graph_06_auc_30s,4.840739809426318e-31
qcm_graph_06_slope_30s,4.092593185182599e-33
orp_class_at_max,9.62964972193618e-35
qcm_graph_10_slope_30s,0.0
qcm_graph_03_auc_30s,0.0
qcm_graph_05_auc_30s,0.0
qcm_graph_22_baseline_30s,0.0
qcm_graph_14_delta_30s,0.0
qcm_graph_03_max_30s,0.0
qcm_graph_09_baseline_30s,0.0
qcm_graph_22_delta_30s,0.0
qcm_graph_06_baseline_30s,0.0
qcm_graph_20_slope_30s,0.0
qcm_graph_04_slope_30s,0.0
qcm_graph_07_delta_30s,0.0
qcm_graph_04_max_30s,0.0
qcm_graph_11_slope_30s,0.0
qcm_graph_15_auc_30s,0.0
qcm_graph_08_max_30s,0.0
qcm_graph_16_baseline_30s,0.0
qcm_graph_09_max_30s,0.0
qcm_graph_15_delta_30s,0.0
qcm_graph_06_delta_30s,0.0
qcm_graph_14_baseline_30s,0.0
qcm_graph_04_auc_30s,0.0
qcm_graph_12_baseline_30s,0.0
qcm_graph_09_slope_30s,0.0
qcm_graph_10_delta_30s,0.0
qcm_graph_21_auc_30s,0.0
qcm_graph_21_delta_30s,0.0
group_id,0.0
qcm_graph_11_auc_30s,0.0
qcm_graph_21_baseline_30s,0.0
qcm_graph_12_max_30s,0.0
qcm_graph_11_max_30s,0.0
qcm_graph_08_slope_30s,0.0
qcm_graph_16_slope_30s,0.0
qcm_graph_15_baseline_30s,0.0
qcm_graph_09_auc_30s,0.0
qcm_graph_20_auc_30s,0.0
qcm_graph_15_max_30s,0.0
qcm_graph_22_auc_30s,0.0
qcm_graph_06_max_30s,0.0
qcm_graph_08_delta_30s,0.0
qcm_graph_13_delta_30s,0.0
qcm_graph_16_max_30s,0.0
qcm_graph_07_slope_30s,0.0
qcm_graph_14_max_30s,0.0
qcm_graph_04_delta_30s,0.0
qcm_graph_22_slope_30s,0.0
qcm_graph_05_max_30s,0.0
qcm_graph_08_auc_30s,0.0
qcm_graph_08_baseline_30s,0.0
qcm_graph_03_delta_30s,0.0
qcm_graph_03_slope_30s,0.0
qcm_graph_12_slope_30s,0.0
qcm_graph_07_max_30s,0.0
qcm_graph_07_baseline_30s,0.0
qcm_graph_21_max_30s,0.0
qcm_graph_11_delta_30s,0.0
qcm_graph_14_auc_30s,0.0
qcm_graph_05_slope_30s,0.0
cmos_m1_max_30s,0.0
cmos_m4_slope_30s,0.0
cmos_m2_delta_30s,0.0
cmos_m4_max_30s,0.0
cmos_m3_slope_30s,0.0
cmos_m2_baseline_30s,0.0
cmos_m1_auc_30s,0.0
cmos_m2_auc_30s,0.0
cmos_m5_slope_30s,0.0
cmos_m4_baseline_30s,0.0
cmos_m5_max_30s,0.0
cmos_m3_max_30s,0.0
cmos_m2_max_30s,0.0
orp_max,0.0
orp_std,0.0
orp_mean,0.0
orp_sum,0.0
orp_bin_15,0.0
orp_bin_14,0.0
orp_bin_13,0.0
orp_bin_12,0.0
orp_bin_11,0.0
orp_bin_10,0.0
orp_bin_09,0.0
orp_bin_08,0.0
orp_bin_05,0.0
cmos_m4_delta_30s,0.0
cmos_m3_auc_30s,0.0
qcm_graph_09_delta_30s,0.0
cmos_m1_baseline_30s,0.0
qcm_graph_13_auc_30s,0.0
qcm_graph_20_max_30s,0.0
qcm_graph_03_baseline_30s,0.0
qcm_graph_12_auc_30s,0.0
qcm_graph_10_auc_30s,0.0
qcm_graph_13_baseline_30s,0.0
qcm_graph_16_auc_30s,0.0
qcm_graph_11_baseline_30s,0.0
qcm_graph_01_baseline_30s,0.0
qcm_graph_01_slope_30s,0.0
qcm_graph_01_delta_30s,0.0
qcm_graph_05_baseline_30s,0.0
qcm_graph_05_delta_30s,0.0
qcm_graph_13_max_30s,0.0
qcm_graph_14_slope_30s,0.0
qcm_graph_01_max_30s,0.0
qcm_graph_22_max_30s,0.0
qcm_graph_10_baseline_30s,0.0
qcm_graph_21_slope_30s,0.0
qcm_graph_01_auc_30s,0.0
qcm_graph_04_baseline_30s,0.0
qcm_graph_10_max_30s,0.0
qcm_graph_07_auc_30s,0.0
cmos_m5_auc_30s,0.0
cmos_m4_auc_30s,0.0
is_time0,0.0
