feature,importance
Conductivity,570.3683350793847
pH,144.00936390392482
orp_bin_06,2.364529588251064
orp_bin_07,1.2655199830726478e-11
orp_bin_00,7.37920428463742e-15
cmos_m3_delta_30s,4.016949120873016e-15
qcm_graph_15_slope_30s,3.1489963366278243e-15
cmos_m2_slope_30s,2.187588058553174e-15
Brix_1,1.546865553094124e-15
orp_bin_02,5.879113347240516e-16
cmos_m1_slope_30s,5.585804459989624e-16
qcm_graph_13_slope_30s,1.1113041847116954e-16
orp_bin_01,1.11021998060152e-16
Brix_n2,2.775644581054524e-17
orp_bin_04,1.7348262530477157e-18
cmos_m3_baseline_30s,3.811646207872907e-21
qcm_graph_16_delta_30s,1.65468505218987e-23
cmos_m1_delta_30s,2.6355849107126217e-26
orp_bin_03,4.092235644140405e-31
orp_bin_05,1.0486988729731298e-31
cmos_m4_baseline_30s,4.388125955039736e-32
qcm_graph_04_max_30s,1.5557863070103162e-33
cmos_m5_baseline_30s,1.6851899640769035e-34
qcm_graph_20_max_30s,3.6111200806556947e-35
cmos_m3_max_30s,2.8588000370588806e-35
qcm_graph_20_delta_30s,7.523159809523063e-37
qcm_graph_07_delta_30s,0.0
qcm_graph_04_slope_30s,0.0
qcm_graph_03_auc_30s,0.0
qcm_graph_20_slope_30s,0.0
qcm_graph_06_baseline_30s,0.0
qcm_graph_11_slope_30s,0.0
qcm_graph_09_baseline_30s,0.0
qcm_graph_16_baseline_30s,0.0
qcm_graph_03_max_30s,0.0
qcm_graph_05_auc_30s,0.0
qcm_graph_15_delta_30s,0.0
qcm_graph_06_delta_30s,0.0
qcm_graph_14_baseline_30s,0.0
qcm_graph_12_baseline_30s,0.0
qcm_graph_22_baseline_30s,0.0
qcm_graph_04_auc_30s,0.0
qcm_graph_09_max_30s,0.0
qcm_graph_21_auc_30s,0.0
qcm_graph_08_max_30s,0.0
qcm_graph_10_slope_30s,0.0
qcm_graph_09_slope_30s,0.0
qcm_graph_15_auc_30s,0.0
qcm_graph_22_delta_30s,0.0
qcm_graph_14_delta_30s,0.0
qcm_graph_11_delta_30s,0.0
qcm_graph_08_auc_30s,0.0
qcm_graph_21_delta_30s,0.0
qcm_graph_08_delta_30s,0.0
group_id,0.0
qcm_graph_11_auc_30s,0.0
qcm_graph_21_baseline_30s,0.0
qcm_graph_12_max_30s,0.0
qcm_graph_11_max_30s,0.0
qcm_graph_08_slope_30s,0.0
qcm_graph_16_slope_30s,0.0
qcm_graph_15_baseline_30s,0.0
qcm_graph_09_auc_30s,0.0
qcm_graph_20_auc_30s,0.0
qcm_graph_15_max_30s,0.0
qcm_graph_22_auc_30s,0.0
qcm_graph_06_max_30s,0.0
qcm_graph_13_delta_30s,0.0
qcm_graph_21_max_30s,0.0
qcm_graph_16_max_30s,0.0
qcm_graph_07_slope_30s,0.0
qcm_graph_14_max_30s,0.0
qcm_graph_04_delta_30s,0.0
qcm_graph_22_slope_30s,0.0
qcm_graph_05_max_30s,0.0
qcm_graph_05_slope_30s,0.0
qcm_graph_08_baseline_30s,0.0
qcm_graph_03_delta_30s,0.0
qcm_graph_10_delta_30s,0.0
qcm_graph_12_slope_30s,0.0
qcm_graph_07_max_30s,0.0
qcm_graph_07_baseline_30s,0.0
qcm_graph_03_slope_30s,0.0
qcm_graph_14_auc_30s,0.0
qcm_graph_09_delta_30s,0.0
cmos_m2_max_30s,0.0
cmos_m3_auc_30s,0.0
cmos_m1_max_30s,0.0
cmos_m4_delta_30s,0.0
cmos_m4_slope_30s,0.0
cmos_m2_delta_30s,0.0
cmos_m4_max_30s,0.0
cmos_m3_slope_30s,0.0
cmos_m2_baseline_30s,0.0
cmos_m1_auc_30s,0.0
cmos_m2_auc_30s,0.0
cmos_m5_slope_30s,0.0
cmos_m5_max_30s,0.0
orp_class_at_max,0.0
qcm_graph_13_auc_30s,0.0
orp_max,0.0
orp_std,0.0
orp_mean,0.0
orp_sum,0.0
orp_bin_15,0.0
orp_bin_14,0.0
orp_bin_13,0.0
orp_bin_12,0.0
orp_bin_11,0.0
orp_bin_10,0.0
orp_bin_09,0.0
orp_bin_08,0.0
cmos_m1_baseline_30s,0.0
cmos_m5_delta_30s,0.0
cmos_m4_auc_30s,0.0
cmos_m5_auc_30s,0.0
qcm_graph_03_baseline_30s,0.0
qcm_graph_12_auc_30s,0.0
qcm_graph_10_auc_30s,0.0
qcm_graph_13_baseline_30s,0.0
qcm_graph_16_auc_30s,0.0
qcm_graph_11_baseline_30s,0.0
qcm_graph_01_baseline_30s,0.0
qcm_graph_01_slope_30s,0.0
qcm_graph_01_delta_30s,0.0
qcm_graph_05_baseline_30s,0.0
qcm_graph_06_slope_30s,0.0
qcm_graph_05_delta_30s,0.0
qcm_graph_13_max_30s,0.0
qcm_graph_14_slope_30s,0.0
qcm_graph_01_max_30s,0.0
qcm_graph_22_max_30s,0.0
qcm_graph_10_baseline_30s,0.0
qcm_graph_21_slope_30s,0.0
qcm_graph_01_auc_30s,0.0
qcm_graph_12_delta_30s,0.0
qcm_graph_04_baseline_30s,0.0
qcm_graph_10_max_30s,0.0
qcm_graph_06_auc_30s,0.0
qcm_graph_07_auc_30s,0.0
qcm_graph_20_baseline_30s,0.0
is_time0,0.0
