2026-07-28 11:29:42 | 監視開始 | Targets=4台 | Interval=10s | Offline threshold=3 | Online threshold=1
2026-07-28 11:29:42 | 監視対象 | Name=装置PC | IP=10.165.200.46
2026-07-28 11:29:42 | 監視対象 | Name=Ubuntuダミー | IP=10.165.203.235
2026-07-28 11:29:42 | 監視対象 | Name=HP候補1 | IP=10.165.202.138
2026-07-28 11:29:42 | 監視対象 | Name=HP候補2 | IP=10.165.202.61
2026-07-28 11:29:42 | ONLINE | Name=装置PC | IP=10.165.200.46
2026-07-28 11:29:43 | ONLINE | Name=Ubuntuダミー | IP=10.165.203.235
2026-07-28 11:29:45 | ONLINE | Name=HP候補1 | IP=10.165.202.138
2026-07-28 11:29:45 | ONLINE | Name=HP候補2 | IP=10.165.202.61
2026-07-28 11:30:25 | OFFLINE | Name=Ubuntuダミー | IP=10.165.203.235
2026-07-28 11:30:27 | OFFLINE | Name=HP候補1 | IP=10.165.202.138
2026-07-28 11:37:34 | 監視終了 | Ctrl+C
