IPアドレス,DNSホスト名,NetBIOS名,MACアドレス,メーカー,分類候補,分類理由,確認時刻
10.165.200.5,g-matsuno,G-MATSUNO,00:A5:54:F3:55:02,,要確認,明確な分類条件に一致しない,2026-07-29 09:25:40
10.165.200.27,yuichi_muto,YUICHI_MUTO,4C:49:6C:3F:85:DB,,除外候補,個人名または組織名候補: YUICHI,2026-07-29 09:25:41
10.165.200.81,,,F0:62:81:C4:EB:C0,,要確認,ホスト名とメーカーを取得できない,2026-07-29 09:25:50
10.165.200.82,,,CC:28:AA:A9:B2:8A,,要確認,ホスト名とメーカーを取得できない,2026-07-29 09:26:00
10.165.200.220,host.docker.internal,,,,要確認,明確な分類条件に一致しない,2026-07-29 09:26:04
10.165.200.230,GIJUTSUBU-OKADA,GIJUTSUBU-OKADA,E8:C8:29:02:9B:BC,,除外候補,個人名または組織名候補: OKADA,2026-07-29 09:26:05
10.165.200.246,,,58:27:8C:5A:BC:20,,要確認,ホスト名とメーカーを取得できない,2026-07-29 09:26:14
10.165.201.34,DESKTOP-NCVNPPK,DESKTOP-NCVNPPK,D4:A2:CD:AA:79:B5,,要確認,Windowsデスクトップ形式のホスト名,2026-07-29 09:26:15
10.165.201.151,DESKTOP-6MRF9OP,DESKTOP-6MRF9OP,58:96:1D:80:6D:1C,,要確認,Windowsデスクトップ形式のホスト名,2026-07-29 09:26:15
10.165.201.243,,,B8:6B:23:B6:5B:21,,要確認,ホスト名とメーカーを取得できない,2026-07-29 09:26:25
10.165.201.246,,,4C:85:8A:C4:CE:A0,,要確認,ホスト名とメーカーを取得できない,2026-07-29 09:26:34
10.165.202.28,DESKTOP-8AIGA97,DESKTOP-8AIGA97,10:3D:1C:97:A1:B2,,要確認,Windowsデスクトップ形式のホスト名,2026-07-29 09:26:34
10.165.202.40,,,74:03:BD:BF:CD:40,,要確認,ホスト名とメーカーを取得できない,2026-07-29 09:26:44
10.165.202.46,,,34:76:C5:B4:FB:F1,,要確認,ホスト名とメーカーを取得できない,2026-07-29 09:26:53
10.165.202.48,YAMALABO-41,YAMALABO-41,D0:AD:08:5F:8D:9B,,要確認,明確な分類条件に一致しない,2026-07-29 09:26:54
10.165.202.51,,,34:76:C5:B4:FB:F4,,要確認,ホスト名とメーカーを取得できない,2026-07-29 09:27:03
10.165.202.61,DESKTOP-MU9JULB,,50:65:F3:2E:F9:6B,Hewlett Packard,HP候補,HP系メーカー: Hewlett Packard,2026-07-29 09:27:04
10.165.202.71,KimuraLab-mouse,KIMURALAB-MOUSE,A0:A4:C5:CA:30:CD,,除外候補,個人名または組織名候補: KIMURA,2026-07-29 09:27:04
10.165.202.92,shindai-gijutsu,SHINDAI-GIJUTSU,58:CE:2A:32:82:C8,,除外候補,個人名または組織名候補: SHINDAI,2026-07-29 09:27:05
10.165.202.199,,,F8:0D:60:E2:0B:27,,要確認,ホスト名とメーカーを取得できない,2026-07-29 09:27:14
10.165.202.225,,,E4:7F:B2:1B:DF:E7,,要確認,ホスト名とメーカーを取得できない,2026-07-29 09:27:24
10.165.203.92,SCANNERMAC,SCANNERMAC,D8:30:62:64:9D:21,,要確認,明確な分類条件に一致しない,2026-07-29 09:27:25
10.165.203.112,,,00:D0:24:AB:16:6C,,要確認,ホスト名とメーカーを取得できない,2026-07-29 09:27:35
10.165.203.211,,,B8:27:EB:E3:E9:D3,,要確認,ホスト名とメーカーを取得できない,2026-07-29 09:27:44
10.165.203.228,TaharaPC2025,TAHARAPC2025,E8:CF:83:9D:F1:41,,要確認,明確な分類条件に一致しない,2026-07-29 09:27:45
