x,z
0,10.94220232
0.25,10.602646
0.5,8.109029298
0.75,5.201578333
1,7.610305957
1.25,7.451138934
1.5,5.804290796
1.75,3.616274777
2,4.569154692
2.25,5.101833665
2.5,6.920582188
2.75,4.912955463
3,4.800477433
3.25,9.354776537
3.5,10.15485611
3.75,9.405709984
4,9.282620819
4.25,9.044931397
4.5,8.921842232
4.75,8.890008828
5,8.677786129
5.25,8.947308956
5.5,9.274131911
5.75,9.284743046
6,9.210465102
6.25,9.117087115
6.5,9.104353753
6.75,9.023709127
7,9.034320262
7.25,9.482110156
7.5,9.46513234
7.75,9.356898764
8,9.344165402
8.25,9.463010113
8.5,10.12726716
8.75,10.19517842
9,10.04237808
9.25,10.34797876
9.5,10.37981217
9.75,10.26096746
10,10.32463427
10.25,10.50290133
10.5,10.36707881
10.75,10.34797876
11,11.07802485
11.25,11.22870296
11.5,11.26902527
11.75,11.28600309
12,11.37725885
12.25,11.40909226
12.5,11.46851461
12.75,11.36028103
13,11.31995872
13.25,10.79364643
13.5,11.86749328
13.75,11.97572686
14,12.11791607
14.25,12.07547153
14.5,12.0966938
14.75,11.92054896
15,11.97572686
15.25,12.06061594
15.5,12.87767333
15.75,12.14550502
16,12.10730493
16.25,12.10730493
16.5,12.20280515
16.75,12.37894999
17,12.23251632
17.25,12.31103872
17.5,12.37258331
17.75,12.74821748
18,12.61663941
18.25,12.63361722
18.5,12.64847281
18.75,12.81612874
19,13.17266288
19.25,12.90526228
19.5,12.97317354
19.75,12.94982904
20,13.3870078
20.25,13.40398562
20.5,13.5673971
20.75,14.12342057
21,14.1658651
21.25,14.0788538
21.5,14.21892078
21.75,14.28258759
22,14.28046536
22.25,14.27622091
22.5,14.48419915
22.75,14.5903105
23,14.56059932
23.25,14.78343316
23.5,14.8577111
23.75,14.93411127
24,14.98504472
24.25,15.11662279
24.5,15.15057842
24.75,15.33945663
25,15.37341226
25.25,15.35218999
25.5,15.72357971
25.75,15.75541311
26,15.90821346
26.25,16.03130262
26.5,16.12043616
26.75,16.27748095
27,16.26474759
27.25,16.4854592
27.5,16.50031479
27.75,17.28978322
28,17.30251658
28.25,17.21550528
28.5,17.93069577
28.75,18.01346262
29,18.0983517
29.25,18.26812986
29.5,18.21719641
29.75,18.10896284
30,18.27237432
30.25,18.34240781
30.5,18.35089671
30.75,18.67135299
31,18.76897543
31.25,18.88357569
31.5,18.97270922
31.75,19.09579838
32,19.24435427
32.25,19.36532121
32.5,19.31863222
32.75,19.48416592
33,19.89375573
33.25,19.9383225
33.5,19.99774485
33.75,20.04443384
34,20.09961175
34.25,20.15478965
34.5,20.17176746
34.75,20.17176746
35,20.22482314
35.25,20.3160789
35.5,20.40945689
35.75,20.45826811
36,20.48585706
36.25,20.57074614
36.5,20.68534639
36.75,20.74689098
37,20.80631333
37.25,20.89544686
37.5,20.86361346
37.75,20.94425809
38,21.01004712
38.25,20.25453432
38.5,16.45999247
38.75,16.13316952
39,16.19895855
39.25,16.13316952
39.5,16.09921389
39.75,16.07374716
40,16.07799162
40.25,16.07162493
40.5,16.09496943
40.75,16.20956969
41,16.29658099
41.25,16.29233654
41.5,16.39208121
41.75,16.48333697
42,16.5406371
42.25,16.76983761
42.5,16.79105988
42.75,16.84411556
43,16.92051573
43.25,16.97144918
43.5,16.95022691
43.75,17.07968275
44,17.1306162
44.25,17.15820515
44.5,17.21126082
44.75,17.3746723
45,17.44895025
45.25,17.57203941
45.5,17.586895
45.75,17.65692849
46,17.73332866
46.25,17.79487324
46.5,17.90522905
46.75,17.94979581
47,18.06015162
47.25,18.16414074
47.5,18.17899633
47.75,18.25327427
48,18.32542999
48.25,18.4209302
48.5,18.4209302
48.75,18.49733038
49,18.61193063
49.25,18.69257526
49.5,18.66074185
49.75,18.74138648
50,18.82627556
50.25,18.91753132
50.5,19.05972053
50.75,19.15097629
51,19.28892104
51.25,19.33136558
51.5,19.30802108
51.75,19.3801768
52,19.4586992
52.25,19.50538819
52.5,19.52236601
52.75,19.7812777
53,19.86404455
53.25,20.00835599
53.5,19.95742254
53.75,20.16327856
54,20.25877877
54.25,20.32244558
54.5,20.35640121
54.75,20.4264347
55,20.49222374
55.25,20.56650168
55.5,20.62592404
55.75,20.75962434
56,20.81480224
56.25,20.89120241
56.5,20.97821372
56.75,21.06522502
57,21.10979179
57.25,21.17558083
57.5,21.21165869
57.75,21.23924764
58,21.27956995
58.25,21.43237029
58.5,21.56182614
58.75,21.61488181
59,21.71674871
59.25,21.79739333
59.5,21.72523761
59.75,21.82922674
60,21.95443813
60.25,22.00537158
60.5,22.09662734
60.75,22.20910537
61,22.26003881
61.25,22.31946117
61.5,22.41071693
61.75,22.46589483
62,22.63142854
62.25,22.7311732
62.5,22.81394006
62.75,22.95612926
63,23.03677389
63.25,23.08346288
63.5,22.91580695
63.75,22.9900849
64,23.42726365
64.25,23.60340849
64.5,23.61401963
64.75,23.61614186
65,23.64797526
65.25,23.75408661
65.5,23.74984216
65.75,23.73498657
66,23.73923102
66.25,23.76681997
66.5,23.86868687
66.75,23.96206485
67,24.00875385
67.25,24.06605398
67.5,24.03846503
67.75,24.0363428
68,24.09364293
68.25,24.12547633
68.5,24.14882083
68.75,24.12547633
69,24.07878734
69.25,24.04058725
69.5,24.12123188
69.75,24.10849852
70,24.17853201
70.25,24.27827667
70.5,24.33133235
70.75,24.32072121
71,24.34194348
71.25,24.36953243
71.5,24.36316575
71.75,24.37165466
72,24.36316575
72.25,24.38863248
72.5,24.37589912
72.75,24.41834365
73,24.49898828
73.25,24.55628841
73.5,24.52657723
73.75,24.60509963
74,24.72394434
74.25,24.7833667
74.5,24.83430014
74.75,24.917067
75,25.01468944
75.25,25.08896738
75.5,25.13353415
75.75,25.13353415
76,25.21842323
76.25,25.27572336
76.5,25.30543453
76.75,25.39669029
77,25.52402391
77.25,25.64286862
77.5,25.65984644
77.75,25.71077989
78,25.72351325
78.25,25.75959111
78.5,25.78505783
78.75,25.79354674
79,25.86358023
79.25,25.90390254
79.5,25.92300259
79.75,25.93573595
80,25.96969158
80.25,26.06094734
80.5,26.11824747
80.75,26.11824747
81,26.22011436
81.25,26.26892558
81.5,26.30712567
81.75,26.4514371
82,26.55118177
82.25,26.61060413
82.5,26.65729312
82.75,26.71671548
83,26.76977115
83.25,26.80160456
83.5,26.81646014
83.75,26.7973601
84,26.8207046
84.25,26.85466023
84.5,26.899227
84.75,26.93742708
85,26.98199385
85.25,27.03080507
85.5,27.06900516
85.75,27.24090554
86,27.28759453
86.25,27.31093903
86.5,27.31306126
86.75,27.28759453
87,27.24090554
87.25,27.27910563
87.5,27.33852798
87.75,27.37460584
88,27.4892061
88.25,27.48496164
88.5,27.46798383
88.75,27.61017304
89,27.64412867
89.25,27.74175111
89.5,27.90516259
89.75,27.88181809
90,27.87332918
90.25,27.97519608
90.5,28.04310734
90.75,28.06432961
91,28.09191856
91.25,28.23198554
91.5,28.2998968
91.75,28.23623
92,28.2447189
92.25,28.31475239
92.5,28.42086374
92.75,28.52273064
93,28.52060841
93.25,28.65643094
93.5,28.69887548
93.75,29.03843179
94,28.99386503
94.25,28.78376456
94.5,29.01084284
94.75,29.14666537
95,28.57366409
95.25,28.73283111
95.5,27.75448447
95.75,33.95350949
96,33.85376482
96.25,34.73024456
96.5,33.90257604
96.75,30.62161312
97,29.50532173
97.25,29.61779976
97.5,29.71117775
97.75,29.47985501
98,29.89368927
98.25,29.99767839
98.5,30.08256747
98.75,30.04648961
99,30.13350092
99.25,30.21839
99.5,30.44971274
99.75,30.34784584
100,30.44546828
100.25,30.44334606
100.5,30.37755702
100.75,30.4072682
101,30.39453484
101.25,30.43061269
101.5,30.96965835
101.75,30.88476927
102,30.88052482
102.25,30.88476927
102.5,30.92721381
102.75,30.90174708
103,30.98875839
103.25,31.01634734
103.5,31.14368096
103.75,31.08001415
104,31.14792541
104.25,31.10335865
104.5,31.15641432
104.75,31.15216987
105,31.30709244
105.25,31.5872264
105.5,31.65089321
105.75,31.78459351
106,31.81218246
106.25,31.92678272
106.5,32.2557279
106.75,32.26633903
107,32.24936122
107.25,32.37032816
107.5,32.31939471
107.75,32.35122811
108,32.39155043
108.25,32.33637252
108.5,32.37032816
108.75,32.8690515
109,32.93484053
109.25,33.01124071
109.5,33.14918546
109.75,33.13220764
110,33.10674092
110.25,33.18950777
110.5,33.2149745
110.75,33.26803017
111,33.537553
111.25,33.48025287
111.5,33.537553
111.75,33.6797422
112,33.81556473
112.25,33.84103145
112.5,33.90469826
112.75,33.93440944
113,33.93440944
113.25,33.94926503
113.5,33.98534289
113.75,33.97260953
114,34.11904319
114.25,34.15299882
114.5,34.16360996
114.75,34.28882135
115,34.36522152
115.25,34.36522152
115.5,34.32065475
115.75,34.3397548
116,34.27396576
116.25,34.28457689
116.5,34.27184353
116.75,34.43525501
117,34.52438854
117.25,34.57319976
117.5,34.5604664
117.75,34.57956644
118,34.50741073
118.25,34.46284396
118.5,34.46284396
118.75,34.51165518
119,34.60078871
119.25,34.6623333
119.5,34.75783351
119.75,34.89153381
120,34.93185612
120.25,34.97005621
120.5,34.91063385
120.75,34.57956644
121,34.75995574
121.25,34.75571128
121.5,34.77693355
121.75,35.01462298
122,34.92548944
122.25,34.91275608
122.5,34.99340071
122.75,34.97430066
123,35.02735634
123.25,35.1186121
123.5,35.18652336
123.75,35.33720148
124,35.34356816
124.25,35.43270169
124.5,35.56427976
124.75,35.54517972
125,35.71708011
125.25,35.818947
125.5,35.93354726
125.75,36.02904747
126,35.99721407
126.25,36.34313707
126.5,36.38982606
126.75,36.44500396
127,36.43439283
127.25,36.52777081
127.5,36.71877124
127.75,36.74848242
128,36.61902657
128.25,36.58507094
128.5,36.67420448
128.75,36.79729364
129,36.82063814
129.25,36.86308268
129.5,37.59949544
129.75,37.57190649
130,37.41486169
130.25,37.85416268
130.5,37.9581518
130.75,38.07911874
131,38.10882992
131.25,38.35713047
131.5,38.69456456
131.75,38.72427574
132,38.79006478
132.25,38.81340927
132.5,39.26544362
132.75,39.42036619
133,39.93818957
133.25,42.38299506
133.5,42.55277322
133.75,42.30447266
134,42.13681673
134.25,41.89912731
134.5,42.20260576
134.75,42.15591677
135,42.41058401
135.25,44.18052131
135.5,43.99800979
135.75,43.90675403
136,43.94070966
136.25,43.90250958
136.5,43.95556525
136.75,44.87236731
137,45.0761011
137.25,45.24587926
137.5,45.14189013
137.75,45.29044602
138,45.22677921
138.25,46.02261433
138.5,46.72719369
138.75,46.68474915
139,47.03279438
139.25,47.5378844
139.5,47.46997313
139.75,47.95384089
140,48.85578735
