x,z
0,-2.146466114
0.25,-2.186825652
0.5,-2.19516563
0.75,-2.196617686
1,-2.167390519
1.25,-2.143413087
1.5,-2.089203215
1.75,-1.943998208
2,-1.826828946
2.25,-1.801622843
2.5,-1.671459586
2.75,-1.550827737
3,-1.466162048
3.25,-1.210079996
3.5,-1.159816725
3.75,-1.077496652
4,-0.972465034
4.25,-0.894017097
4.5,-0.888730146
4.75,-0.732355533
5,-0.655843663
5.25,-0.602378436
5.5,-0.521473191
5.75,-0.332036507
6,-0.23169612
6.25,-0.082209435
6.5,-0.054508787
6.75,-0.042743459
7,-0.031797237
7.25,-0.037084191
7.5,0.006179461
7.75,-0.020553159
8,0.016381044
8.25,0.045906059
8.5,-0.014409864
8.75,-0.016122543
9,-0.019101105
9.25,0.001488216
9.5,-0.074539635
9.75,-0.074763019
10,-0.036153387
10.25,-0.031834465
10.5,-0.137499034
10.75,-0.131839758
11,-0.121787103
11.25,-0.105181608
11.5,-0.037382038
11.75,-0.021372256
12,0.042890262
12.25,0.009865432
12.5,-0.090735576
12.75,-0.095836365
13,-0.093490744
13.25,-0.123090229
13.5,-0.178975535
13.75,0.005509282
14,0.012881226
14.25,0.082244545
14.5,-0.044158275
14.75,0.086191142
15,0.106073054
15.25,0.095015135
15.5,0.054469429
15.75,0.049294173
16,0.038273489
16.25,0.035257688
16.5,0.0176097
16.75,0.071745104
17,0.047283644
17.25,0.04523588
17.5,0.058155406
17.75,0.069213319
18,0.031571718
18.25,0.013551408
18.5,-0.032765264
18.75,-0.08511353
19,-0.123685939
19.25,-0.049221837
19.5,0.00271688
19.75,-0.021893511
20,0.003498754
20.25,0.008562307
20.5,-0.140142512
20.75,-0.114042835
21,-0.062997694
21.25,-0.085783707
21.5,-0.065231615
21.75,-0.024313589
22,-0.04233391
22.25,-0.05074835
22.5,-0.02662198
22.75,-0.037568205
23,0.063889143
23.25,0.101381812
23.5,0.121784984
23.75,0.202876386
24,0.22354018
24.25,0.20946646
24.5,-0.018542626
24.75,-0.002905159
25,0.376787303
25.25,0.49574371
25.5,0.450432308
25.75,0.397116012
26,0.374143831
26.25,0.425710225
26.5,0.369824918
26.75,0.304854986
27,0.258501076
27.25,0.23627354
27.5,0.290260021
27.75,0.333114106
28,0.329018587
28.25,0.336688391
28.5,0.259469115
28.75,0.207865488
29,0.215944845
29.25,0.198147919
29.5,0.172122717
29.75,0.101009494
30,0.006030532
30.25,-0.078560695
30.5,-0.043078544
30.75,-0.101123312
31,-0.076140605
31.25,-0.022116905
31.5,-0.014260937
31.75,-0.07390669
32,-0.100639303
32.25,-0.113968379
32.5,-0.158609609
32.75,-0.188358016
33,-0.23627567
33.25,-0.250386611
33.5,-0.301171129
33.75,-0.297075613
34,-0.255636334
34.25,-0.239068069
34.5,-0.310032363
34.75,-0.270975938
35,-0.191746132
35.25,-0.171975908
35.5,-0.160359515
35.75,-0.119925498
36,-0.06642304
36.25,-0.036302314
36.5,-0.036153383
36.75,-0.081204166
37,-0.042706223
37.25,-0.033174816
37.5,-0.052163171
37.75,-0.007857029
38,0.071894029
38.25,0.143789121
38.5,0.114785356
38.75,0.119997846
39,0.086042212
39.25,0.074947062
39.5,0.053054611
39.75,0.011056858
40,0.029933508
40.25,0.018540497
40.5,-0.013665221
40.75,-0.052014236
41,-0.067577236
41.25,-0.025095464
41.5,-0.016606555
41.75,-0.066571969
42,-0.015303438
42.25,-0.014931118
42.5,-0.023829574
42.75,0.071782331
43,0.123683814
43.25,0.135262987
43.5,0.132545043
43.75,0.143751895
44,0.148740986
44.25,0.13220996
44.5,0.098514944
44.75,0.031013236
45,0.007073029
45.25,-0.00647944
45.5,-0.008527199
45.75,-0.015526831
46,-0.015415131
46.25,-0.012064247
46.5,-0.02055315
46.75,0.103317882
47,0.102163685
47.25,0.076510804
47.5,0.029598421
47.75,-0.050524961
48,-0.150865339
48.25,-0.16203495
48.5,-0.154365153
48.75,-0.171417431
49,-0.099894656
49.25,-0.148221866
49.5,-0.191262113
49.75,-0.183219987
50,-0.279129756
50.25,-0.324999645
50.5,-0.289517497
50.75,-0.382411471
51,-0.439823298
51.25,-0.387921812
51.5,-0.371055695
51.75,-0.396559651
52,-0.423292266
52.25,-0.338961668
52.5,-0.32768036
52.75,-0.446562293
53,-0.494144864
53.25,-0.480890254
53.5,-0.43475974
53.75,-0.390416361
54,-0.44875899
54.25,-0.368300522
54.5,-0.379656297
54.75,-0.09438432
55,-0.193458804
55.25,-0.459519049
55.5,-0.297187308
55.75,-0.223579537
56,-0.858088168
56.25,-0.758492431
56.5,-1.79722946
56.75,4.341554099
57,4.182536002
57.25,4.999854011
57.5,4.112502511
57.75,0.775840441
58,-0.397751078
58.25,-0.341940231
58.5,-0.304373088
58.75,-0.590240784
59,-0.2332971
59.25,-0.19062917
59.5,-0.165720927
59.75,-0.262933817
60,-0.238658515
60.25,-0.218367046
60.5,-0.056184227
60.75,-0.225515606
61,-0.19327265
61.25,-0.262933813
61.5,-0.392985375
61.75,-0.427350557
62,-0.49891056
62.25,-0.521473192
62.5,-0.0453497
62.75,-0.197926651
63,-0.268630315
63.25,-0.342238086
63.5,-0.377273447
63.75,-0.497086198
64,-0.395219299
64.25,-0.355976716
64.5,-0.202059411
64.75,-0.254593837
65,-0.237839417
65.25,-0.352141811
65.5,-0.367853742
65.75,-0.44172213
66,-0.362864643
66.25,-0.1519823
66.5,-0.156859698
66.75,-0.090735573
67,-0.131355743
67.25,-0.083698713
67.5,0.179159575
67.75,0.127965498
68,0.044826331
68.25,0.100748875
68.5,-0.015452363
68.75,-0.052237635
69,-0.081353093
69.25,-0.206192172
69.5,-0.240482884
69.75,0.199115957
70,0.205445399
70.25,0.222125367
70.5,0.300647762
70.75,0.222125359
71,0.133103526
71.25,0.15298544
71.5,0.116274642
71.75,0.10905162
72,0.318444685
72.25,0.202988089
72.5,0.201349881
72.75,0.284675206
73,0.359995651
73.25,0.326598496
73.5,0.33464062
73.75,0.307498456
74,0.252283323
74.25,0.211737619
74.5,0.195467213
74.75,0.141964756
75,0.244650755
75.25,0.234635331
75.5,0.203025324
75.75,0.280952007
76,0.312189698
76.25,0.26795802
76.5,0.17677672
76.75,0.150193042
77,0.046539005
77.25,0.018838353
77.5,-0.032057861
77.75,0.092967373
78,0.143305105
78.25,0.151309996
78.5,0.096913969
78.75,0.075133216
79,-0.039988283
79.25,-0.124579509
79.5,-0.167619761
79.75,-0.162518971
80,-0.114042842
80.25,-0.096841626
80.5,-0.046057111
80.75,0.043076422
81,0.039539375
81.25,0.032241897
81.5,-0.075768292
81.75,-0.455311834
82,-0.321350903
82.25,-0.368859008
82.5,-0.391868416
82.75,-0.200383963
83,-0.333935341
83.25,-0.390490827
83.5,-0.366587844
83.75,-0.442727399
84,-0.443620962
84.25,-0.415175675
84.5,-0.411713097
84.75,-0.327829279
85,-0.385911282
85.25,-0.364018838
85.5,-0.304745414
85.75,-0.396894741
86,-0.298862743
