x,z
0,2.000106593
0.25,1.997611322
0.5,2.038783295
0.75,2.029095772
1,2.038783295
1.25,2.038783295
1.5,2.029095772
1.75,2.031517653
2,2.058158342
2.25,2.060580223
2.5,2.046048938
2.75,2.077533388
3,2.113054307
3.25,2.113054307
3.5,2.079955269
3.75,2.048470819
4,2.043553667
4.25,2.026600501
4.5,2.014491097
4.75,2.067772475
5,2.016912978
5.25,2.050819309
5.5,2.108137155
5.75,2.077459998
6,2.075038117
6.25,2.091183989
6.5,2.098449632
6.75,2.09360587
7,2.087147521
7.25,2.045975547
7.5,2.007152064
7.75,2.02410523
8,2.077386608
8.25,2.077386608
8.5,2.058011561
8.75,2.043480276
9,2.021683349
9.25,2.014417707
9.5,2.031297482
9.75,2.045828767
10,2.053094409
10.25,2.057938171
10.5,2.08700074
10.75,2.084505469
11,2.077239827
11.25,2.110338865
11.5,2.144245196
11.75,2.122448269
12,2.072322675
12.25,2.084432079
12.5,2.129640521
12.75,2.124723369
13,2.079514927
13.25,2.026233549
13.5,2.047957086
13.75,2.067332133
14,2.0599931
14.25,2.045461815
14.5,2.013977365
14.75,1.994528928
15,1.983153427
15.25,1.989611776
15.5,2.004143061
15.75,1.983006647
16,1.984547843
16.25,1.982933256
16.5,1.973172343
16.75,1.961062939
17,1.941614502
17.25,1.929431708
17.5,1.931853588
17.75,1.953577125
18,1.958347497
18.25,1.960695987
18.5,1.946091312
18.75,1.982419524
19,2.056690535
19.25,2.061460907
19.5,2.066231278
19.75,2.135585137
20,2.123402343
20.25,2.099110144
20.5,2.063515836
20.75,2.098963364
21,2.110999378
21.25,2.08024883
21.5,2.05111287
21.75,2.036508195
22,2.038783295
22.25,2.033866143
22.5,2.074964727
22.75,2.103146612
23,2.124796759
23.25,2.134410892
23.5,2.062488371
23.75,2.090596866
24,2.107476642
24.25,2.107329861
24.5,2.074157433
24.75,1.994088586
25,1.953577125
25.25,1.998712177
25.5,2.008252919
25.75,2.022710814
26,2.032251556
26.25,2.04663606
26.5,2.078047121
26.75,2.086780569
27,2.09147755
27.25,2.067919255
27.5,2.050819309
27.75,2.02645372
28,2.060213271
28.25,2.09800929
28.5,2.06234159
28.75,2.023444717
29,2.03540734
29.25,2.03768244
29.5,2.035113779
29.75,2.047003012
30,2.044434351
30.25,2.032178166
30.5,2.019848591
30.75,2.010014287
31,1.992914341
31.25,1.976474907
31.5,1.997391151
31.75,2.033499192
32,2.093092138
32.25,2.112247013
32.5,2.129053398
32.75,2.150703545
33,2.128613056
33.25,2.096908435
33.5,2.101605416
33.75,2.113494649
34,2.137566676
34.25,2.100944903
34.5,2.086193447
34.75,2.074671165
35,2.05991971
35.25,2.054855777
35.5,2.008619871
35.75,2.020509104
36,2.046929622
36.25,2.032178166
36.5,1.993207902
36.75,1.988070579
37,1.99269417
37.25,2.004583403
37.5,2.013977365
37.75,2.00164779
38,1.994161976
38.25,1.998712177
38.5,2.046929622
38.75,2.099110144
39,2.106155616
39.25,2.101018293
39.5,2.078927804
39.75,2.052874238
40,2.025939988
40.25,1.986896334
40.5,1.943816212
40.75,1.909616319
41,1.928697804
41.25,1.980951717
41.5,2.002455083
41.75,1.990052118
42,2.038196173
42.25,2.071075039
42.5,2.085312763
42.75,2.06887333
43,2.056470364
43.25,2.041645518
43.5,2.024325401
43.75,2.019188078
44,2.023738278
44.25,2.03313224
44.5,2.03768244
44.75,2.018013833
45,1.998345225
45.25,2.019775201
45.5,2.019481639
45.75,2.014344316
46,2.038269563
46.25,2.071001649
46.5,2.099770657
46.75,2.089789573
47,2.067699084
47.25,2.029389333
47.5,2.026673891
47.75,2.043333496
48,2.047810306
48.25,2.057204268
48.5,2.061754468
48.75,2.061387516
49,2.048984551
49.25,2.048617599
49.5,2.050745919
49.75,2.014124145
50,1.996804028
50.25,2.020729275
50.5,1.991373144
50.75,1.981318669
51,2.034306485
51.25,2.069460452
51.5,2.090963818
51.75,2.112467184
52,2.112100232
52.25,2.097275386
52.5,2.104247467
52.75,2.101458635
53,2.08905567
53.25,2.076652704
53.5,2.071441991
53.75,2.063882787
54,2.042599592
54.25,2.030196627
54.5,2.04436096
54.75,2.05779139
55,2.05103948
55.25,2.050745919
55.5,2.054415435
55.75,2.061387516
56,2.082890882
56.25,2.118998923
56.5,2.121127243
56.75,2.125677443
57,2.118118239
57.25,2.105568493
57.5,2.088321766
57.75,2.066231278
58,2.056250193
58.25,2.058378513
58.5,2.058084951
58.75,2.060213271
59,2.064763471
59.25,2.059626148
59.5,2.038342953
59.75,2.03078375
60,2.042599592
60.25,2.04883777
60.5,2.067919255
60.75,2.065203813
61,2.079441537
61.25,2.081569856
61.5,2.074010652
61.75,2.078634243
62,2.061387516
62.25,2.068359597
62.5,2.092284844
62.75,2.094486554
63,2.05786478
63.25,1.995409612
63.5,1.951522196
63.75,2.019114688
64,2.066451449
64.25,2.068579768
64.5,2.073203359
64.75,2.058378513
65,2.05331458
65.25,2.094192993
65.5,2.103660345
65.75,2.086413618
66,2.044948083
66.25,2.023664888
66.5,2.035554121
66.75,2.044140789
67,2.025352865
67.25,2.022637423
67.5,2.050672528
67.75,2.074597775
68,2.096101141
68.25,2.071662162
68.5,2.059259197
68.75,2.035627511
69,2.04421418
69.25,2.053608141
69.5,2.032398337
69.75,2.012729729
70,1.983446988
70.25,1.980731546
70.5,1.990125508
70.75,1.999592861
71,1.999299299
71.25,1.991740095
71.5,2.003629329
71.75,2.01302329
72,2.012729729
72.25,1.995483002
72.5,1.958934619
72.75,1.961062939
73,2.004363232
73.25,2.030710359
73.5,2.030416798
73.75,2.01074819
74,2.008032748
74.25,1.998051664
74.5,1.99056585
74.75,2.016912978
75,2.035113779
75.25,2.056617145
75.5,2.07569863
75.75,2.10938479
76,2.092138063
76.25,2.024765743
76.5,2.014784658
76.75,2.021683349
77,2.061754468
77.25,2.112393794
77.5,2.128980008
77.75,2.156941722
78,2.190481102
78.25,2.195031302
78.5,2.168023662
78.75,2.170151981
79,2.14072246
79.25,2.095147067
79.5,2.072909798
79.75,2.065350594
80,2.055296119
80.25,2.054929167
80.5,2.056984097
80.75,2.034820218
81,2.013463632
81.25,2.013096681
81.5,2.0175001
81.75,2.026013378
82,2.028068308
82.25,2.018747736
82.5,2.061167345
82.75,2.075258288
83,2.060360052
83.25,2.033279021
83.5,2.032912069
83.75,2.018747736
84,2.001354228
84.25,1.996070125
84.5,2.007739187
84.75,2.018600955
85,2.014124145
85.25,2.037095318
85.5,2.039076857
85.75,2.02645372
86,2.023591498
86.25,2.027921527
86.5,2.049278112
86.75,2.065717545
87,2.072616236
87.25,2.084211908
87.5,2.116797213
87.75,2.121127243
88,2.114155162
88.25,2.079735098
88.5,2.016179074
88.75,1.948659973
89,1.928771195
89.25,1.986382602
89.5,2.040691444
89.75,2.049865235
90,2.068726549
90.25,2.065790936
90.5,2.009427164
90.75,1.975741004
91,1.950935073
91.25,1.938311937
91.5,1.935302934
91.75,1.941981453
92,1.941320941
92.25,1.940733818
92.5,1.940146695
92.75,1.949247096
93,1.994602318
93.25,2.041645518
93.5,2.058084951
93.75,2.059846319
94,2.076138972
94.25,2.085239373
94.5,2.099110144
94.75,2.100064219
95,2.078414072
95.25,2.065644155
95.5,2.067405523
95.75,2.064323129
96,2.063662616
96.25,2.067845865
96.5,2.064763471
96.75,2.059259197
97,2.068286207
97.25,2.074817946
97.5,2.062048029
97.75,2.04428757
98,2.033939534
98.25,2.033279021
