 ,Area,Mean,Min,Max
1,89,2.865,0,255
2,45,0.000,0,0
3,21,0.000,0,0
4,21,0.000,0,0
5,33,0.000,0,0
6,26,0.000,0,0
7,27,0.000,0,0
8,32,0.000,0,0
9,21,0.000,0,0
10,80,6.375,0,255
11,87,0.000,0,0
12,64,0.000,0,0
13,71,0.000,0,0
14,36,0.000,0,0
15,143,0.000,0,0
16,61,4.180,0,255
17,33,0.000,0,0
18,93,2.742,0,255
19,30,0.000,0,0
20,67,0.000,0,0
21,63,0.000,0,0
22,158,4.842,0,255
23,84,24.286,0,255
24,237,16.139,0,255
25,38,6.711,0,255
26,87,0.000,0,0
27,149,0.000,0,0
28,45,0.000,0,0
29,34,0.000,0,0
30,29,0.000,0,0
31,20,0.000,0,0
32,206,4.951,0,255
33,27,0.000,0,0
34,168,9.107,0,255
35,45,0.000,0,0
36,21,0.000,0,0
37,21,0.000,0,0
