"ITO_unprocesesd_2nd_3.spc - RawData"
"”g’· (nm)","T%"
350.00,66.220
351.00,66.564
352.00,67.084
353.00,67.667
354.00,68.249
355.00,68.835
356.00,69.374
357.00,69.928
358.00,70.492
359.00,71.075
360.00,71.687
361.00,72.375
362.00,73.090
363.00,73.790
364.00,74.438
365.00,75.065
366.00,75.711
367.00,76.337
368.00,76.950
369.00,77.530
370.00,78.133
371.00,78.720
372.00,79.499
373.00,80.257
374.00,81.045
375.00,81.617
376.00,82.196
377.00,82.729
378.00,83.303
379.00,83.892
380.00,84.521
381.00,85.132
382.00,85.725
383.00,86.344
384.00,86.990
385.00,87.628
386.00,88.201
387.00,88.752
388.00,89.243
389.00,89.740
390.00,90.156
391.00,90.541
392.00,90.864
393.00,91.150
394.00,91.370
395.00,91.536
396.00,91.674
397.00,91.764
398.00,91.874
399.00,91.912
400.00,91.948
401.00,91.875
402.00,91.779
403.00,91.653
404.00,91.484
405.00,91.301
406.00,91.108
407.00,90.922
408.00,90.795
409.00,90.639
410.00,90.465
411.00,90.207
412.00,89.964
413.00,89.720
414.00,89.492
415.00,89.243
416.00,88.990
417.00,88.694
418.00,88.395
419.00,88.141
420.00,87.904
421.00,87.679
422.00,87.391
423.00,87.121
424.00,86.835
425.00,86.572
426.00,86.292
427.00,86.027
428.00,85.786
429.00,85.537
430.00,85.338
431.00,85.113
432.00,84.907
433.00,84.628
434.00,84.374
435.00,84.126
436.00,83.921
437.00,83.700
438.00,83.464
439.00,83.238
440.00,83.037
441.00,82.895
442.00,82.807
443.00,82.731
444.00,82.660
445.00,82.570
446.00,82.478
447.00,82.400
448.00,82.337
449.00,82.309
450.00,82.280
451.00,82.241
452.00,82.228
453.00,82.224
454.00,82.254
455.00,82.324
456.00,82.411
457.00,82.492
458.00,82.559
459.00,82.630
460.00,82.709
461.00,82.780
462.00,82.872
463.00,82.987
464.00,83.096
465.00,83.205
466.00,83.319
467.00,83.454
468.00,83.654
469.00,83.836
470.00,84.047
471.00,84.213
472.00,84.413
473.00,84.598
474.00,84.790
475.00,85.003
476.00,85.208
477.00,85.408
478.00,85.577
479.00,85.750
480.00,85.897
481.00,86.075
482.00,86.216
483.00,86.369
484.00,86.527
485.00,86.704
486.00,86.880
487.00,87.017
488.00,87.180
489.00,87.346
490.00,87.495
491.00,87.645
492.00,87.776
493.00,87.940
494.00,88.085
495.00,88.265
496.00,88.450
497.00,88.649
498.00,88.842
499.00,89.031
500.00,89.216
501.00,89.445
502.00,89.693
503.00,89.954
504.00,90.169
505.00,90.346
506.00,90.521
507.00,90.666
508.00,90.823
509.00,90.962
510.00,91.122
511.00,91.286
512.00,91.440
513.00,91.609
514.00,91.749
515.00,91.917
516.00,92.066
517.00,92.232
518.00,92.367
519.00,92.469
520.00,92.579
521.00,92.695
522.00,92.877
523.00,93.026
524.00,93.176
525.00,93.281
526.00,93.401
527.00,93.488
528.00,93.567
529.00,93.619
530.00,93.670
531.00,93.715
532.00,93.753
533.00,93.798
534.00,93.843
535.00,93.881
536.00,93.898
537.00,93.912
538.00,93.898
539.00,93.904
540.00,93.920
541.00,93.937
542.00,93.964
543.00,93.957
544.00,93.985
545.00,93.984
546.00,93.981
547.00,93.965
548.00,93.978
549.00,93.977
550.00,93.941
551.00,93.876
552.00,93.827
553.00,93.852
554.00,93.877
555.00,93.873
556.00,93.834
557.00,93.785
558.00,93.753
559.00,93.695
560.00,93.641
561.00,93.561
562.00,93.475
563.00,93.396
564.00,93.373
565.00,93.360
566.00,93.371
567.00,93.385
568.00,93.401
569.00,93.416
570.00,93.424
571.00,93.436
572.00,93.439
573.00,93.421
574.00,93.358
575.00,93.258
576.00,93.131
577.00,92.983
578.00,92.789
579.00,92.562
580.00,92.307
581.00,92.052
582.00,91.781
583.00,91.537
584.00,91.262
585.00,91.016
586.00,90.780
587.00,90.611
588.00,90.436
589.00,90.273
590.00,90.110
591.00,89.987
592.00,89.866
593.00,89.775
594.00,89.658
595.00,89.563
596.00,89.467
597.00,89.382
598.00,89.288
599.00,89.181
600.00,89.079
601.00,88.982
602.00,88.860
603.00,88.753
604.00,88.630
605.00,88.542
606.00,88.437
607.00,88.349
608.00,88.267
609.00,88.204
610.00,88.164
611.00,88.116
612.00,88.054
613.00,87.995
614.00,87.952
615.00,87.916
616.00,87.872
617.00,87.804
618.00,87.727
619.00,87.629
620.00,87.533
621.00,87.449
622.00,87.354
623.00,87.270
624.00,87.180
625.00,87.096
626.00,87.011
627.00,86.881
628.00,86.761
629.00,86.636
630.00,86.547
631.00,86.503
632.00,86.476
633.00,86.445
634.00,86.407
635.00,86.396
636.00,86.408
637.00,86.407
638.00,86.368
639.00,86.338
640.00,86.295
641.00,86.251
642.00,86.185
643.00,86.140
644.00,86.089
645.00,86.068
646.00,86.009
647.00,85.974
648.00,85.927
649.00,85.889
650.00,85.831
651.00,85.775
652.00,85.731
653.00,85.679
654.00,85.616
655.00,85.572
656.00,85.508
657.00,85.433
658.00,85.347
659.00,85.278
660.00,85.234
661.00,85.168
662.00,85.131
663.00,85.083
664.00,85.058
665.00,85.033
666.00,85.017
667.00,84.999
668.00,85.005
669.00,85.005
670.00,85.004
671.00,84.973
672.00,84.951
673.00,84.952
674.00,84.978
675.00,84.948
676.00,84.926
677.00,84.881
678.00,84.888
679.00,84.891
680.00,84.894
681.00,84.909
682.00,84.910
683.00,84.913
684.00,84.919
685.00,84.930
686.00,84.909
687.00,84.889
688.00,84.866
689.00,84.889
690.00,84.843
691.00,84.816
692.00,84.785
693.00,84.833
694.00,84.893
695.00,84.986
696.00,85.077
697.00,85.135
698.00,85.158
699.00,85.171
700.00,85.191
701.00,85.187
702.00,85.174
703.00,85.083
704.00,84.998
705.00,84.914
706.00,84.888
707.00,84.884
