"ITO_unprocesesd_6.spc - RawData"
"”g’· (nm)","T%"
350.00,54.346
351.00,54.564
352.00,54.903
353.00,55.217
354.00,55.554
355.00,55.895
356.00,56.268
357.00,56.639
358.00,57.022
359.00,57.414
360.00,57.824
361.00,58.217
362.00,58.637
363.00,59.071
364.00,59.556
365.00,60.033
366.00,60.516
367.00,60.982
368.00,61.446
369.00,61.893
370.00,62.326
371.00,62.746
372.00,63.425
373.00,64.115
374.00,64.833
375.00,65.303
376.00,65.786
377.00,66.266
378.00,66.758
379.00,67.218
380.00,67.694
381.00,68.193
382.00,68.733
383.00,69.276
384.00,69.821
385.00,70.362
386.00,70.887
387.00,71.385
388.00,71.853
389.00,72.274
390.00,72.677
391.00,73.063
392.00,73.462
393.00,73.802
394.00,74.117
395.00,74.379
396.00,74.649
397.00,74.866
398.00,75.038
399.00,75.166
400.00,75.268
401.00,75.378
402.00,75.460
403.00,75.540
404.00,75.564
405.00,75.545
406.00,75.495
407.00,75.439
408.00,75.349
409.00,75.246
410.00,75.096
411.00,74.956
412.00,74.786
413.00,74.606
414.00,74.417
415.00,74.229
416.00,74.016
417.00,73.764
418.00,73.526
419.00,73.285
420.00,73.054
421.00,72.814
422.00,72.609
423.00,72.411
424.00,72.206
425.00,72.010
426.00,71.811
427.00,71.604
428.00,71.418
429.00,71.220
430.00,71.008
431.00,70.769
432.00,70.544
433.00,70.325
434.00,70.139
435.00,69.960
436.00,69.810
437.00,69.651
438.00,69.525
439.00,69.390
440.00,69.259
441.00,69.158
442.00,69.027
443.00,68.900
444.00,68.767
445.00,68.674
446.00,68.594
447.00,68.515
448.00,68.460
449.00,68.419
450.00,68.369
451.00,68.309
452.00,68.256
453.00,68.217
454.00,68.201
455.00,68.150
456.00,68.104
457.00,68.067
458.00,68.069
459.00,68.077
460.00,68.089
461.00,68.140
462.00,68.200
463.00,68.259
464.00,68.282
465.00,68.320
466.00,68.358
467.00,68.408
468.00,68.437
469.00,68.488
470.00,68.554
471.00,68.637
472.00,68.722
473.00,68.803
474.00,68.882
475.00,68.965
476.00,69.051
477.00,69.160
478.00,69.266
479.00,69.399
480.00,69.513
481.00,69.661
482.00,69.790
483.00,69.944
484.00,70.051
485.00,70.190
486.00,70.333
487.00,70.499
488.00,70.656
489.00,70.820
490.00,70.991
491.00,71.171
492.00,71.329
493.00,71.503
494.00,71.664
495.00,71.840
496.00,72.009
497.00,72.173
498.00,72.320
499.00,72.462
500.00,72.608
501.00,72.740
502.00,72.892
503.00,73.033
504.00,73.214
505.00,73.375
506.00,73.566
507.00,73.723
508.00,73.882
509.00,74.030
510.00,74.195
511.00,74.353
512.00,74.506
513.00,74.659
514.00,74.793
515.00,74.907
516.00,74.999
517.00,75.124
518.00,75.235
519.00,75.353
520.00,75.450
521.00,75.583
522.00,75.685
523.00,75.782
524.00,75.863
525.00,75.981
526.00,76.087
527.00,76.175
528.00,76.249
529.00,76.340
530.00,76.417
531.00,76.526
532.00,76.615
533.00,76.731
534.00,76.802
535.00,76.861
536.00,76.868
537.00,76.892
538.00,76.923
539.00,76.969
540.00,77.033
541.00,77.081
542.00,77.138
543.00,77.150
544.00,77.162
545.00,77.164
546.00,77.184
547.00,77.207
548.00,77.242
549.00,77.270
550.00,77.277
551.00,77.285
552.00,77.306
553.00,77.325
554.00,77.326
555.00,77.293
556.00,77.265
557.00,77.227
558.00,77.179
559.00,77.126
560.00,77.086
561.00,77.030
562.00,76.987
563.00,76.927
564.00,76.900
565.00,76.861
566.00,76.832
567.00,76.766
568.00,76.655
569.00,76.538
570.00,76.429
571.00,76.349
572.00,76.278
573.00,76.213
574.00,76.156
575.00,76.075
576.00,76.007
577.00,75.971
578.00,75.935
579.00,75.937
580.00,75.915
581.00,75.908
582.00,75.886
583.00,75.882
584.00,75.867
585.00,75.837
586.00,75.800
587.00,75.801
588.00,75.790
589.00,75.743
590.00,75.665
591.00,75.592
592.00,75.514
593.00,75.443
594.00,75.361
595.00,75.292
596.00,75.210
597.00,75.134
598.00,75.065
599.00,75.005
600.00,74.937
601.00,74.862
602.00,74.768
603.00,74.678
604.00,74.618
605.00,74.543
606.00,74.489
607.00,74.408
608.00,74.337
609.00,74.236
610.00,74.142
611.00,74.056
612.00,73.957
613.00,73.848
614.00,73.755
615.00,73.691
616.00,73.621
617.00,73.533
618.00,73.461
619.00,73.385
620.00,73.346
621.00,73.288
622.00,73.252
623.00,73.198
624.00,73.161
625.00,73.102
626.00,73.047
627.00,72.995
628.00,72.970
629.00,72.944
630.00,72.900
631.00,72.855
632.00,72.804
633.00,72.715
634.00,72.623
635.00,72.529
636.00,72.472
637.00,72.407
638.00,72.346
639.00,72.303
640.00,72.261
641.00,72.217
642.00,72.159
643.00,72.119
644.00,72.082
645.00,72.041
646.00,71.970
647.00,71.904
648.00,71.860
649.00,71.818
650.00,71.794
651.00,71.749
652.00,71.713
653.00,71.665
654.00,71.623
655.00,71.584
656.00,71.573
657.00,71.561
658.00,71.564
659.00,71.547
660.00,71.531
661.00,71.508
662.00,71.486
663.00,71.455
664.00,71.430
665.00,71.406
666.00,71.376
667.00,71.363
668.00,71.356
669.00,71.345
670.00,71.310
671.00,71.244
672.00,71.206
673.00,71.184
674.00,71.185
675.00,71.189
676.00,71.194
677.00,71.175
678.00,71.139
679.00,71.108
680.00,71.079
681.00,71.062
682.00,71.031
683.00,71.015
684.00,71.010
685.00,71.017
686.00,71.006
687.00,70.994
688.00,70.957
689.00,70.960
690.00,70.953
691.00,70.981
692.00,70.970
693.00,70.967
694.00,70.935
695.00,70.926
