"ITO_030PER_5.spc - RawData"
"”g’· (nm)","T%"
350.00,64.835
351.00,65.550
352.00,66.573
353.00,67.574
354.00,68.516
355.00,69.397
356.00,70.143
357.00,70.819
358.00,71.468
359.00,72.061
360.00,72.621
361.00,73.161
362.00,73.691
363.00,74.158
364.00,74.540
365.00,74.839
366.00,75.114
367.00,75.333
368.00,75.516
369.00,75.668
370.00,75.839
371.00,75.977
372.00,75.941
373.00,75.804
374.00,75.658
375.00,75.627
376.00,75.621
377.00,75.596
378.00,75.584
379.00,75.592
380.00,75.622
381.00,75.675
382.00,75.748
383.00,75.856
384.00,75.974
385.00,76.106
386.00,76.229
387.00,76.378
388.00,76.489
389.00,76.635
390.00,76.748
391.00,76.886
392.00,76.985
393.00,77.080
394.00,77.161
395.00,77.215
396.00,77.281
397.00,77.321
398.00,77.417
399.00,77.499
400.00,77.608
401.00,77.651
402.00,77.699
403.00,77.749
404.00,77.786
405.00,77.814
406.00,77.833
407.00,77.890
408.00,77.998
409.00,78.112
410.00,78.227
411.00,78.306
412.00,78.390
413.00,78.472
414.00,78.570
415.00,78.667
416.00,78.780
417.00,78.875
418.00,78.969
419.00,79.084
420.00,79.207
421.00,79.364
422.00,79.464
423.00,79.567
424.00,79.652
425.00,79.772
426.00,79.867
427.00,79.971
428.00,80.092
429.00,80.230
430.00,80.406
431.00,80.566
432.00,80.739
433.00,80.842
434.00,80.965
435.00,81.057
436.00,81.184
437.00,81.280
438.00,81.367
439.00,81.422
440.00,81.467
441.00,81.567
442.00,81.707
443.00,81.854
444.00,81.989
445.00,82.093
446.00,82.202
447.00,82.311
448.00,82.440
449.00,82.583
450.00,82.720
451.00,82.850
452.00,83.001
453.00,83.161
454.00,83.323
455.00,83.495
456.00,83.668
457.00,83.853
458.00,84.014
459.00,84.162
460.00,84.296
461.00,84.426
462.00,84.558
463.00,84.706
464.00,84.815
465.00,84.941
466.00,85.056
467.00,85.215
468.00,85.422
469.00,85.612
470.00,85.829
471.00,85.988
472.00,86.162
473.00,86.336
474.00,86.519
475.00,86.722
476.00,86.884
477.00,87.043
478.00,87.166
479.00,87.306
480.00,87.424
481.00,87.552
482.00,87.648
483.00,87.723
484.00,87.820
485.00,87.929
486.00,88.055
487.00,88.160
488.00,88.272
489.00,88.378
490.00,88.470
491.00,88.570
492.00,88.660
493.00,88.750
494.00,88.817
495.00,88.934
496.00,89.038
497.00,89.154
498.00,89.244
499.00,89.327
500.00,89.415
501.00,89.527
502.00,89.683
503.00,89.850
504.00,89.960
505.00,90.045
506.00,90.108
507.00,90.177
508.00,90.259
509.00,90.333
510.00,90.420
511.00,90.502
512.00,90.586
513.00,90.690
514.00,90.761
515.00,90.869
516.00,90.945
517.00,91.074
518.00,91.152
519.00,91.215
520.00,91.247
521.00,91.308
522.00,91.413
523.00,91.522
524.00,91.608
525.00,91.706
526.00,91.799
527.00,91.882
528.00,91.914
529.00,91.941
530.00,91.967
531.00,92.009
532.00,92.031
533.00,92.079
534.00,92.116
535.00,92.162
536.00,92.208
537.00,92.272
538.00,92.333
539.00,92.383
540.00,92.444
541.00,92.490
542.00,92.553
543.00,92.587
544.00,92.655
545.00,92.695
546.00,92.745
547.00,92.782
548.00,92.826
549.00,92.858
550.00,92.848
551.00,92.850
552.00,92.841
553.00,92.922
554.00,92.961
555.00,93.002
556.00,93.021
557.00,93.057
558.00,93.085
559.00,93.089
560.00,93.090
561.00,93.085
562.00,93.077
563.00,93.081
564.00,93.125
565.00,93.175
566.00,93.230
567.00,93.295
568.00,93.348
569.00,93.408
570.00,93.465
571.00,93.531
572.00,93.613
573.00,93.660
574.00,93.678
575.00,93.667
576.00,93.643
577.00,93.640
578.00,93.585
579.00,93.513
580.00,93.394
581.00,93.296
582.00,93.200
583.00,93.110
584.00,92.977
585.00,92.866
586.00,92.759
587.00,92.720
588.00,92.669
589.00,92.621
590.00,92.555
591.00,92.523
592.00,92.490
593.00,92.478
594.00,92.456
595.00,92.439
596.00,92.415
597.00,92.359
598.00,92.328
599.00,92.278
600.00,92.250
601.00,92.218
602.00,92.182
603.00,92.143
604.00,92.100
605.00,92.088
606.00,92.073
607.00,92.065
608.00,92.061
609.00,92.075
610.00,92.108
611.00,92.131
612.00,92.148
613.00,92.173
614.00,92.206
615.00,92.249
616.00,92.261
617.00,92.267
618.00,92.279
619.00,92.264
620.00,92.249
621.00,92.212
622.00,92.198
623.00,92.184
624.00,92.175
625.00,92.157
626.00,92.136
627.00,92.063
628.00,92.006
629.00,91.934
630.00,91.894
631.00,91.871
632.00,91.871
633.00,91.872
634.00,91.859
635.00,91.866
636.00,91.874
637.00,91.882
638.00,91.850
639.00,91.838
640.00,91.828
641.00,91.827
642.00,91.797
643.00,91.766
644.00,91.725
645.00,91.728
646.00,91.703
647.00,91.684
648.00,91.650
649.00,91.626
650.00,91.595
651.00,91.562
652.00,91.539
653.00,91.488
654.00,91.436
655.00,91.370
656.00,91.311
657.00,91.231
658.00,91.158
659.00,91.076
660.00,90.997
661.00,90.914
662.00,90.866
663.00,90.820
664.00,90.804
665.00,90.766
666.00,90.743
667.00,90.718
668.00,90.726
669.00,90.726
670.00,90.709
671.00,90.679
672.00,90.651
673.00,90.639
674.00,90.637
675.00,90.608
676.00,90.575
677.00,90.543
678.00,90.541
679.00,90.553
680.00,90.538
681.00,90.556
682.00,90.546
683.00,90.560
684.00,90.548
685.00,90.525
686.00,90.477
687.00,90.415
688.00,90.386
