"ITO_100PER_true1.spc - RawData"
"”g’· (nm)","T%"
350.00,18.191
351.00,18.303
352.00,18.471
353.00,18.642
354.00,18.812
355.00,18.971
356.00,19.126
357.00,19.279
358.00,19.443
359.00,19.609
360.00,19.777
361.00,19.943
362.00,20.108
363.00,20.276
364.00,20.446
365.00,20.605
366.00,20.772
367.00,20.936
368.00,21.109
369.00,21.270
370.00,21.435
371.00,21.604
372.00,21.843
373.00,22.092
374.00,22.344
375.00,22.535
376.00,22.734
377.00,22.931
378.00,23.149
379.00,23.369
380.00,23.603
381.00,23.844
382.00,24.093
383.00,24.360
384.00,24.640
385.00,24.923
386.00,25.200
387.00,25.464
388.00,25.727
389.00,25.985
390.00,26.244
391.00,26.493
392.00,26.746
393.00,26.984
394.00,27.219
395.00,27.437
396.00,27.652
397.00,27.857
398.00,28.065
399.00,28.254
400.00,28.438
401.00,28.613
402.00,28.786
403.00,28.965
404.00,29.116
405.00,29.268
406.00,29.406
407.00,29.557
408.00,29.706
409.00,29.846
410.00,29.980
411.00,30.105
412.00,30.226
413.00,30.354
414.00,30.473
415.00,30.595
416.00,30.698
417.00,30.793
418.00,30.879
419.00,30.967
420.00,31.057
421.00,31.148
422.00,31.231
423.00,31.315
424.00,31.397
425.00,31.481
426.00,31.551
427.00,31.627
428.00,31.704
429.00,31.784
430.00,31.855
431.00,31.917
432.00,31.985
433.00,32.048
434.00,32.126
435.00,32.194
436.00,32.263
437.00,32.329
438.00,32.394
439.00,32.467
440.00,32.532
441.00,32.617
442.00,32.687
443.00,32.765
444.00,32.844
445.00,32.928
446.00,33.009
447.00,33.083
448.00,33.166
449.00,33.253
450.00,33.340
451.00,33.423
452.00,33.519
453.00,33.611
454.00,33.707
455.00,33.794
456.00,33.904
457.00,34.021
458.00,34.148
459.00,34.267
460.00,34.385
461.00,34.512
462.00,34.643
463.00,34.779
464.00,34.904
465.00,35.033
466.00,35.161
467.00,35.296
468.00,35.436
469.00,35.569
470.00,35.720
471.00,35.860
472.00,36.016
473.00,36.162
474.00,36.321
475.00,36.483
476.00,36.636
477.00,36.790
478.00,36.946
479.00,37.115
480.00,37.277
481.00,37.440
482.00,37.603
483.00,37.775
484.00,37.936
485.00,38.099
486.00,38.264
487.00,38.433
488.00,38.608
489.00,38.782
490.00,38.954
491.00,39.136
492.00,39.325
493.00,39.519
494.00,39.700
495.00,39.881
496.00,40.076
497.00,40.270
498.00,40.457
499.00,40.641
500.00,40.820
501.00,41.008
502.00,41.213
503.00,41.430
504.00,41.643
505.00,41.840
506.00,42.048
507.00,42.245
508.00,42.452
509.00,42.646
510.00,42.857
511.00,43.072
512.00,43.284
513.00,43.500
514.00,43.707
515.00,43.921
516.00,44.137
517.00,44.362
518.00,44.583
519.00,44.781
520.00,44.978
521.00,45.188
522.00,45.408
523.00,45.625
524.00,45.830
525.00,46.047
526.00,46.258
527.00,46.469
528.00,46.663
529.00,46.846
530.00,47.014
531.00,47.198
532.00,47.387
533.00,47.582
534.00,47.762
535.00,47.929
536.00,48.071
537.00,48.213
538.00,48.356
539.00,48.527
540.00,48.698
541.00,48.861
542.00,49.018
543.00,49.164
544.00,49.318
545.00,49.472
546.00,49.625
547.00,49.783
