"ITO_unprocesesd_1.spc - RawData"
"”g’· (nm)","T%"
350.00,62.797
351.00,63.111
352.00,63.624
353.00,64.291
354.00,64.957
355.00,65.577
356.00,66.054
357.00,66.547
358.00,67.058
359.00,67.602
360.00,68.169
361.00,68.916
362.00,69.680
363.00,70.438
364.00,71.021
365.00,71.584
366.00,72.148
367.00,72.695
368.00,73.200
369.00,73.659
370.00,74.246
371.00,74.826
372.00,75.505
373.00,76.068
374.00,76.642
375.00,77.143
376.00,77.625
377.00,78.107
378.00,78.546
379.00,79.151
380.00,79.751
381.00,80.431
382.00,80.974
383.00,81.578
384.00,82.191
385.00,82.800
386.00,83.372
387.00,83.928
388.00,84.399
389.00,84.933
390.00,85.373
391.00,85.795
392.00,86.061
393.00,86.286
394.00,86.459
395.00,86.512
396.00,86.530
397.00,86.486
398.00,86.570
399.00,86.578
400.00,86.561
401.00,86.337
402.00,86.101
403.00,85.845
404.00,85.543
405.00,85.235
406.00,84.918
407.00,84.681
408.00,84.609
409.00,84.540
410.00,84.459
411.00,84.217
412.00,84.024
413.00,83.834
414.00,83.684
415.00,83.502
416.00,83.332
417.00,83.082
418.00,82.809
419.00,82.663
420.00,82.543
421.00,82.452
422.00,82.213
423.00,81.974
424.00,81.710
425.00,81.446
426.00,81.179
427.00,80.930
428.00,80.703
429.00,80.448
430.00,80.291
431.00,80.110
432.00,79.912
433.00,79.541
434.00,79.151
435.00,78.770
436.00,78.429
437.00,78.062
438.00,77.684
439.00,77.321
440.00,76.989
441.00,76.725
442.00,76.651
443.00,76.616
444.00,76.602
445.00,76.456
446.00,76.328
447.00,76.221
448.00,76.144
449.00,76.086
450.00,76.023
451.00,75.977
452.00,75.973
453.00,76.002
454.00,76.042
455.00,76.186
456.00,76.349
457.00,76.537
458.00,76.642
459.00,76.733
460.00,76.793
461.00,76.856
462.00,76.955
463.00,77.080
464.00,77.177
465.00,77.300
466.00,77.410
467.00,77.576
468.00,77.895
469.00,78.240
470.00,78.619
471.00,78.876
472.00,79.165
473.00,79.465
474.00,79.763
475.00,80.113
476.00,80.416
477.00,80.700
478.00,80.900
479.00,81.061
480.00,81.153
481.00,81.218
482.00,81.215
483.00,81.182
484.00,81.240
485.00,81.313
486.00,81.402
487.00,81.371
488.00,81.377
489.00,81.382
490.00,81.374
491.00,81.371
492.00,81.384
493.00,81.415
494.00,81.444
495.00,81.515
496.00,81.645
497.00,81.804
498.00,81.952
499.00,82.097
500.00,82.240
501.00,82.551
502.00,82.896
503.00,83.263
504.00,83.455
505.00,83.600
506.00,83.725
507.00,83.812
508.00,83.904
509.00,84.005
510.00,84.148
511.00,84.297
512.00,84.439
513.00,84.590
514.00,84.738
515.00,84.937
516.00,85.142
517.00,85.329
518.00,85.461
519.00,85.540
520.00,85.630
521.00,85.712
522.00,86.001
523.00,86.287
524.00,86.568
525.00,86.693
526.00,86.812
527.00,86.880
528.00,86.888
529.00,86.869
530.00,86.834
531.00,86.812
532.00,86.802
533.00,86.837
534.00,86.849
535.00,86.884
536.00,86.870
537.00,86.892
538.00,86.839
539.00,86.824
540.00,86.803
541.00,86.833
542.00,86.868
543.00,86.887
544.00,86.904
545.00,86.909
546.00,86.926
547.00,86.921
548.00,86.932
549.00,86.917
550.00,86.861
551.00,86.761
552.00,86.663
553.00,86.765
554.00,86.880
555.00,87.012
556.00,87.021
557.00,87.046
558.00,87.056
559.00,87.008
560.00,86.950
561.00,86.878
562.00,86.818
563.00,86.798
564.00,86.875
565.00,87.032
566.00,87.256
567.00,87.514
568.00,87.799
569.00,88.122
570.00,88.438
571.00,88.752
572.00,88.985
573.00,89.117
574.00,89.075
575.00,88.899
576.00,88.595
577.00,88.204
578.00,87.658
579.00,87.023
580.00,86.285
581.00,85.528
582.00,84.776
583.00,84.063
584.00,83.373
585.00,82.760
586.00,82.230
587.00,81.825
588.00,81.461
589.00,81.151
590.00,80.896
591.00,80.692
592.00,80.551
593.00,80.449
594.00,80.369
595.00,80.305
596.00,80.243
597.00,80.181
598.00,80.097
599.00,80.006
600.00,79.903
601.00,79.819
602.00,79.699
603.00,79.596
604.00,79.492
605.00,79.450
606.00,79.389
607.00,79.335
608.00,79.285
609.00,79.263
610.00,79.272
611.00,79.303
612.00,79.340
613.00,79.368
614.00,79.409
615.00,79.450
616.00,79.493
617.00,79.477
618.00,79.424
619.00,79.298
620.00,79.199
621.00,79.113
622.00,79.036
623.00,78.949
624.00,78.834
625.00,78.737
626.00,78.647
627.00,78.412
628.00,78.196
629.00,77.975
630.00,77.925
631.00,77.912
632.00,77.936
633.00,77.992
634.00,78.070
635.00,78.190
636.00,78.319
637.00,78.438
638.00,78.497
639.00,78.530
640.00,78.527
641.00,78.494
642.00,78.466
643.00,78.435
644.00,78.395
645.00,78.362
646.00,78.307
647.00,78.263
648.00,78.194
649.00,78.105
650.00,77.985
651.00,77.875
652.00,77.765
653.00,77.626
654.00,77.465
655.00,77.358
656.00,77.152
657.00,76.932
658.00,76.684
659.00,76.538
660.00,76.409
661.00,76.292
662.00,76.182
663.00,76.110
664.00,76.038
665.00,76.013
666.00,76.017
667.00,76.044
668.00,76.072
669.00,76.073
670.00,76.064
671.00,76.051
672.00,76.054
673.00,76.066
674.00,76.107
675.00,76.020
676.00,75.942
677.00,75.873
678.00,75.937
679.00,75.983
680.00,76.033
681.00,76.106
682.00,76.171
683.00,76.231
684.00,76.231
685.00,76.208
686.00,76.139
687.00,76.077
688.00,76.085
689.00,76.150
690.00,76.082
691.00,76.011
692.00,75.946
693.00,76.067
694.00,76.228
695.00,76.461
696.00,76.682
